,All ages - fully vaccinated,,,All ages - partially vaccinated,,,All ages - not vaccinated,,,Above 60 - fully vaccinated,,,Above 60 - partially vaccinated,,,Above 60 - not vaccinated,,,Below 60 - fully vaccinated,,,Below 60 - partially vaccinated,,,Below 60 - not vaccinated,,
Date,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious,Total Amount,Daily verified,Total serious
2020-12-21T00:00:00.000Z,0,0,0,32324,0,0,9259416,3856,485,0,0,0,14373,0,0,1414851,435,373,0,0,0,17951,0,0,7844565,3369,112
2020-12-22T00:00:00.000Z,0,0,0,76945,9,0,9214795,4372,509,0,0,0,42924,0,0,1386300,479,396,0,0,0,34014,9,0,7828502,3857,113
2020-12-23T00:00:00.000Z,0,0,0,139792,19,0,9151948,4017,507,0,0,0,86995,4,0,1342229,486,383,0,0,0,52775,15,0,7809741,3507,124
2020-12-24T00:00:00.000Z,0,0,0,213135,34,0,9078605,4020,524,0,0,0,140794,9,0,1288430,475,396,0,0,0,72318,25,0,7790198,3524,128
2020-12-25T00:00:00.000Z,0,0,0,251597,34,0,9040143,3978,551,0,0,0,170426,13,0,1258798,424,408,0,0,0,81139,21,0,7781377,3539,143
2020-12-26T00:00:00.000Z,0,0,0,284179,36,0,9007561,2623,574,0,0,0,196125,12,0,1233099,354,421,0,0,0,88022,24,0,7774494,2259,153
2020-12-27T00:00:00.000Z,2,0,0,388589,77,0,8903149,3451,610,0,0,0,268182,20,0,1161042,398,442,2,0,0,120326,56,0,7742188,3028,168
2020-12-28T00:00:00.000Z,3,0,0,523448,115,1,8768289,5404,610,0,0,0,352520,47,1,1076704,553,444,3,0,0,170810,68,0,7691703,4806,166
2020-12-29T00:00:00.000Z,9,0,0,679489,164,2,8612242,5475,630,0,0,0,447708,64,2,981516,512,463,9,0,0,231615,100,0,7630892,4926,167
2020-12-30T00:00:00.000Z,29,0,0,832286,288,9,8459425,5579,650,5,0,0,536420,113,8,892799,473,478,24,0,0,295668,174,1,7566824,5081,172
2020-12-31T00:00:00.000Z,44,0,0,990553,352,9,8301143,5523,692,12,0,0,617443,146,7,811769,438,516,32,0,0,372875,206,2,7489609,5022,176
2021-01-01T00:00:00.000Z,51,0,0,1061814,426,19,8229875,5595,709,17,0,0,652331,192,17,776876,444,523,34,0,0,409239,234,2,7453243,5106,186
2021-01-02T00:00:00.000Z,53,0,0,1133448,344,25,8158239,3875,715,18,0,0,681880,164,23,747326,303,534,35,0,0,451308,180,2,7411173,3552,181
2021-01-03T00:00:00.000Z,87,0,0,1282882,554,36,8008771,4676,756,30,0,0,753479,242,33,675715,342,574,57,0,0,529135,311,3,7333324,4301,182
