,All ages - Daily verified,,,All ages - Total serious,,,All ages - New serious,,,All ages - Total deaths,,,Above 60 - Daily verified,,,Above 60 - Total serious,,,Above 60 - New serious,,,Above 60 - Total deaths,,,Below 60 - Daily verified,,,Below 60 - Total serious,,,Below 60 - New serious,,,Below 60 - Total deaths,,
Date,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated
2021-01-17T00:00:00.000Z,3.9,0,66.1,0,0,11.3,0,0,1.3,0,0,0.4,0,0,51.4,0,0,117.4,0,0,12.3,0,0,5.3,6.4,0,66.6,0,0,3.7,0,0,0.5,0,0,0.1
2021-01-18T00:00:00.000Z,13.2,0,123.4,2.2,0,11.2,2.2,0,1.4,0,0,0.4,19.8,0,74.2,5,0,119.5,5,0,14.2,0,0,3.9,7.9,0,125.7,0,0,3.5,0,0,0.5,0,0,0.1
2021-01-19T00:00:00.000Z,11,0,104.9,1.2,0,11.1,0,0,1.5,0,0,0.3,4.6,0,69.7,2.3,0,120.6,0,0,15.5,0,0,4.6,18.3,0,106.5,0,0,3.4,0,0,0.5,0,0,0
2021-01-20T00:00:00.000Z,12.9,0,103.6,1.4,0,11.1,0.7,0,1.3,0,0,0.5,10.6,0,71.3,2.4,0,119.6,1.2,0,13.9,0,0,7.5,16.4,0,105.1,0,0,3.5,0,0,0.5,0,0,0
2021-01-21T00:00:00.000Z,11,0,91.6,2.4,0,10.8,1.4,0,1.3,0,0,0.5,5.8,0,67.4,2.9,0,114.7,1.5,0,12.1,0,0,6.5,20.7,0,92.5,1.4,0,3.6,1.4,0,0.6,0,0,0
2021-01-22T00:00:00.000Z,10.5,0,92.8,2.4,0,10.7,0.4,0,1.2,0,0,0.6,10.8,0,57.6,3,0,111.4,0.6,0,11.1,0,0,8.4,8.7,0,94.8,1.2,0,3.7,0,0,0.5,0,0,0
2021-01-23T00:00:00.000Z,4.4,0,29.7,2.6,0,10.9,0.7,0,1.1,0,0,0.4,3.7,0,28,3.2,0,112.3,1.1,0,10.5,0,0,5.9,5.9,0,29.6,1.2,0,3.8,0,0,0.5,0,0,0.1
2021-01-24T00:00:00.000Z,8.3,0,61.1,2.2,0,11.1,0.6,0,1.3,0.8,0,0.5,8.3,0,45.2,2.4,0,113.1,0.8,0,11.3,1.2,0,7.2,8.4,0,61.6,1.9,0,4,0,0,0.6,0,0,0.1
2021-01-25T00:00:00.000Z,15.2,0,111.7,1.5,0,10.9,0.2,0,1.6,0.2,0,0.6,15,0,75.5,1.5,0,113.1,0.3,0,16.9,0.3,0,8.2,15.6,0,113.6,1.4,0,3.8,0,0,0.6,0,0,0.1
2021-01-26T00:00:00.000Z,15.4,0,101.2,1.5,0,11.2,0.5,0,1.5,0.2,0,0.5,15.6,0,71.2,1.7,0,112.9,0.7,0,11.9,0.2,0,6.2,14.9,0,102.4,1,0,4.2,0,0,0.8,0,0,0.1
2021-01-27T00:00:00.000Z,15.7,0,99.9,1.4,0,11.3,0.4,0,1.4,0.1,0,0.5,15.2,0,63.3,1.6,0,112.1,0.4,0,12.8,0.2,0,7.5,16.8,0,100.9,1.2,0,4.4,0.4,0,0.6,0,0,0
2021-01-28T00:00:00.000Z,18.8,0,92.2,1.5,0,11.7,0.5,0,1.5,0.3,0,0.4,19.7,0,68,1.8,0,114.5,0.7,0,13,0.3,0,6.6,17.1,0,93.1,0.9,0,4.7,0.3,0,0.8,0.3,0,0
2021-01-29T00:00:00.000Z,13,0,87.9,1.8,0,11.5,0.7,0,1.2,0.1,0,0.5,14.3,0,50.4,2.3,0,110.7,1.1,0,11.1,0.2,0,6.4,10.7,0,89.9,0.8,0,4.7,0,0,0.5,0,0,0.1
2021-01-30T00:00:00.000Z,3.5,0,34,2.7,0,11.5,1,0,1,0.3,0,0.3,3.9,0,27.9,3.6,0,110.1,1.5,0,8.1,0.4,0,3,2.9,0,34.1,1.1,0,4.7,0.3,0,0.5,0,0,0.1
2021-01-31T00:00:00.000Z,8.8,0,66.1,2.9,0,11.7,0.7,0,1.4,1,0,0.4,7.9,0,39.5,4,0,109.1,1.1,0,11.5,1.6,0,5.5,10.3,0,67.5,0.9,0,5,0,0,0.7,0,0,0
2021-02-01T00:00:00.000Z,16.4,0,118.1,3.2,0,11.8,1.1,0,1.5,0.3,0,0.3,16.1,0,72.9,4.7,0,114,1.6,0,16.5,0.5,0,4.8,16.5,0,120.5,1,0,4.8,0.2,0,0.4,0,0,0
