Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-10T14:20:07.117Z,<15,<15,,530,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,531,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,531,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,68,0,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,3,68,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,67,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,3,68,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,3,68,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,3,67,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,3,83,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,<15,3,85,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,<15,3,87,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,<15,3,83,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,<15,3,84,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,0,0,85,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,0,0,85,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,0,0,65,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,0,0,91,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,0,0,100,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,0,0,96,0,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,0,0,98,0,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,0,0,93,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,0,0,93,0,,,,,,,,,,
