Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,<15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,390,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,392,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,396,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,398,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,402,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,402,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,406,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,407,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,406,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,4,37,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,35,0,,,,,,,,,,
