Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,<15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,1227,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,1231,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,15,<15,,1236,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,15,<15,,1244,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,15,<15,,1246,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,15,<15,,1248,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,16,<15,,1265,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,16,<15,,1269,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,20,<15,,1290,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,20,<15,,1292,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,20,<15,,1293,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,20,<15,,86,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,22,<15,,80,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,22,<15,,89,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,22,<15,,119,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,22,<15,,112,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,23,<15,,117,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,24,<15,,118,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,24,<15,,100,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,24,<15,,109,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,24,<15,,109,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,24,<15,,106,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,24,<15,,116,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,24,<15,,119,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,24,<15,,119,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,25,<15,,126,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,26,15,,128,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,26,15,,73,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,32,21,,86,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,32,21,,87,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,33,21,,84,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,36,24,,88,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,36,24,,88,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,36,24,,92,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,36,24,,91,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,36,24,,94,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,36,24,,94,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,38,26,,96,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,41,29,,113,16,,,,,,,,,,
2020-07-27T19:25:32.007Z,42,30,,127,17,,,,,,,,,,
2020-07-28T04:31:31.657Z,42,29,,122,16,,,,,,,,,,
2020-07-28T07:41:01.270Z,43,30,,136,17,,,,,,,,,,
2020-07-28T08:57:27.217Z,43,30,45,137,17,,,,,,,,,,
