Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,<15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,15,<15,,869,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,15,<15,,875,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,15,<15,,883,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,15,<15,,883,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,15,<15,,893,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,15,<15,,903,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,15,<15,,909,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,15,<15,,913,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,15,<15,,920,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,17,<15,,929,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,17,<15,,939,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,17,<15,,940,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,17,<15,,940,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,17,<15,,946,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,17,<15,,953,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,17,<15,,953,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,17,<15,,956,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,16,<15,,961,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,17,<15,,972,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,17,<15,,972,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,17,<15,,976,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,22,17,,984,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,22,17,,87,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,22,17,,71,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,22,17,,86,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,22,17,,90,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,19,<15,,78,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,18,<15,,83,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,19,<15,,88,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,19,<15,,86,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,19,<15,,96,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,19,<15,,110,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,19,<15,,101,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,19,<15,,107,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,19,<15,,106,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,19,<15,,97,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,19,<15,,109,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,19,<15,,95,0,,,,,,,,,,
2020-07-21T15:44:09.447Z,19,<15,,106,0,,,,,,,,,,
2020-07-23T15:47:26.380Z,22,15,,101,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,22,15,,106,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,23,15,,84,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,23,15,,88,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,23,15,,77,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,23,15,,79,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,23,15,,88,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,24,16,,93,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,24,16,,98,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,24,16,,83,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,24,16,,88,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,24,16,,93,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,24,16,,80,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,24,16,,81,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,24,16,8,81,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,24,16,0,81,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,25,17,8,85,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,25,17,8,95,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,25,17,8,87,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,25,17,8,89,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,25,17,8,95,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,25,17,8,103,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,25,17,8,85,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,25,17,8,85,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,26,<15,3,96,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,26,<15,3,96,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,26,<15,3,102,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,26,<15,3,113,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,26,<15,3,119,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,26,<15,3,106,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,26,<15,3,107,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,26,<15,3,94,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,26,<15,3,95,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,26,<15,3,98,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,26,<15,3,102,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,26,<15,3,92,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,26,<15,3,92,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,26,<15,3,94,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,26,<15,3,94,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,26,<15,3,77,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,26,<15,3,78,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,26,<15,3,84,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,26,<15,3,92,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,28,<15,4,84,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,28,<15,4,84,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,28,<15,4,88,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,28,<15,4,95,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,29,<15,4,98,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,29,<15,4,103,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,30,<15,5,116,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,30,<15,5,120,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,31,<15,5,98,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,31,<15,5,99,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,31,<15,5,104,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,31,<15,5,101,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,31,<15,5,102,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,31,<15,4,91,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,31,<15,4,91,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,31,<15,4,92,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,31,<15,4,94,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,31,<15,4,91,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,31,<15,4,100,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,31,<15,4,102,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,31,<15,4,76,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,32,<15,4,84,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,32,<15,4,93,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,32,<15,4,101,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,32,<15,4,91,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,32,<15,4,92,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,32,<15,4,98,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,32,<15,4,101,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,32,<15,4,69,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,32,<15,4,71,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,32,<15,4,86,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,32,<15,4,92,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,32,<15,4,86,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,32,<15,4,91,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,32,<15,4,101,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,33,<15,4,107,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,33,<15,4,108,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,33,<15,4,106,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,33,<15,4,106,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,33,<15,4,110,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,34,<15,4,114,1-5,,,,,,,,,,
