Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,19,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,20,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,20,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,18,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,18,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,18,<15,,191,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,18,<15,,193,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,18,<15,,205,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,18,<15,,205,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,18,<15,,205,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,19,15,,217,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,23,19,,227,18,,,,,,,,,,
2020-07-08T15:51:46.940Z,23,19,,230,18,,,,,,,,,,
2020-07-08T19:34:17.600Z,23,19,,237,18,,,,,,,,,,
2020-07-09T07:16:21.100Z,24,20,,243,16,,,,,,,,,,
2020-07-09T15:38:11.660Z,24,20,,251,16,,,,,,,,,,
2020-07-10T04:16:29.737Z,24,20,,262,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,24,20,,263,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,24,20,,267,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,24,20,,289,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,24,20,,289,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,24,20,,289,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,24,20,,290,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,25,21,,296,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,25,21,,296,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,25,21,,298,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,26,22,,309,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,26,22,,88,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,26,22,,78,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,26,22,,78,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,26,22,,78,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,26,22,,59,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,27,23,,62,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,27,23,,64,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,27,23,,48,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,27,23,,49,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,27,20,,37,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,27,20,,37,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,27,20,,37,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,27,20,,37,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,27,20,,29,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,27,20,,31,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,27,20,,32,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,27,18,,16,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,27,18,,16,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,27,18,,16,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,28,19,,18,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,28,19,,18,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,28,19,,19,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,28,19,,17,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,28,19,,21,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,28,19,,22,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,28,<15,,20,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,28,<15,,27,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,30,<15,51,35,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,30,<15,0,36,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,30,<15,51,36,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,30,<15,51,36,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,30,<15,51,33,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,30,<15,51,35,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,31,<15,55,39,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,32,<15,60,41,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,32,<15,28,36,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,32,<15,28,36,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,31,<15,23,36,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,31,<15,23,37,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,31,<15,23,31,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,31,<15,23,31,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,31,<15,23,31,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,31,<15,23,30,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,31,<15,23,30,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,31,<15,23,25,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,31,<15,23,25,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,31,<15,23,25,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,31,<15,23,27,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,31,<15,18,22,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,31,<15,18,23,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,31,<15,18,25,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,31,<15,18,25,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,31,<15,18,20,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,31,<15,18,20,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,31,<15,18,20,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,31,<15,18,21,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,31,<15,18,15,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,31,<15,18,20,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,31,<15,18,20,0,,,,,,,,,,
2020-08-05T19:15:38.693Z,31,<15,18,21,0,,,,,,,,,,
2020-08-06T03:52:50.220Z,31,<15,14,17,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,31,<15,14,17,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,31,<15,14,19,0,,,,,,,,,,
2020-08-06T19:15:44.523Z,31,<15,14,19,0,,,,,,,,,,
2020-08-07T03:46:04.500Z,31,<15,14,16,0,,,,,,,,,,
2020-08-07T08:10:09.393Z,31,<15,14,16,0,,,,,,,,,,
2020-08-07T14:40:50.180Z,32,<15,18,19,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,32,<15,14,19,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,32,<15,14,19,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,32,<15,14,17,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,32,<15,14,17,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,32,<15,14,17,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,32,<15,14,22,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,32,<15,14,20,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,34,<15,23,25,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,34,<15,23,25,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,34,<15,23,22,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,34,<15,23,23,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,34,<15,23,23,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,34,<15,23,23,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,34,<15,18,17,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,34,<15,18,17,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,34,<15,18,18,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,34,<15,18,18,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,34,<15,18,16,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,34,<15,18,16,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,34,<15,18,23,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,34,<15,18,23,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,34,<15,18,20,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,34,<15,18,21,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,34,<15,18,22,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,34,<15,18,23,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,34,<15,18,23,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,34,<15,18,18,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,34,<15,18,18,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,34,<15,18,18,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,34,<15,18,13,0,,,,,,,,,,
2020-08-17T15:51:53.560Z,34,<15,18,18,0,,,,,,,,,,
2020-08-17T19:45:07.133Z,34,<15,18,18,0,,,,,,,,,,
2020-08-18T03:43:43.340Z,34,<15,14,17,0,,,,,,,,,,
2020-08-18T07:12:06.963Z,34,<15,14,17,0,,,,,,,,,,
2020-08-18T16:09:29.920Z,34,<15,14,16,0,,,,,,,,,,
