Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,379,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,386,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,387,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,389,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,390,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,394,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,400,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,405,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,415,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,419,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,437,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,441,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,447,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,455,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,475,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,476,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,485,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,502,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,519,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,560,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,563,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,576,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,576,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,589,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,606,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,631,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,654,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,670,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,713,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,730,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,764,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,791,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,798,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,812,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,848,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,876,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,882,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,914,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,970,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,979,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,994,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,1015,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,1021,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,1022,674,,27147,353,,,,,,,,,,
2020-07-06T15:56:00.557Z,1037,689,,27823,368,,,,,,,,,,
2020-07-07T05:00:26.417Z,1070,720,,28419,326,,,,,,,,,,
2020-07-07T07:17:42.693Z,1071,721,,28487,327,,,,,,,,,,
2020-07-07T15:43:32.247Z,1097,747,,29068,353,,,,,,,,,,
2020-07-07T19:25:00.177Z,1118,766,,29501,374,,,,,,,,,,
2020-07-08T07:31:44.197Z,1136,783,,29772,327,,,,,,,,,,
2020-07-08T15:51:46.940Z,1148,793,,30237,338,,,,,,,,,,
2020-07-08T19:34:17.600Z,1161,806,,30573,351,,,,,,,,,,
2020-07-09T07:16:21.100Z,1181,826,,31125,304,,,,,,,,,,
2020-07-09T15:38:11.660Z,1216,861,,31650,339,,,,,,,,,,
2020-07-10T04:16:29.737Z,1236,881,,32127,300,,,,,,,,,,
2020-07-10T07:28:43.630Z,1240,885,,32167,304,,,,,,,,,,
2020-07-10T14:20:07.117Z,1257,900,,32557,321,,,,,,,,,,
2020-07-11T17:08:38.350Z,1316,945,,33362,325,,,,,,,,,,
2020-07-11T19:41:22.557Z,1317,946,,33364,326,,,,,,,,,,
2020-07-12T07:32:17.937Z,1334,960,,33704,306,,,,,,,,,,
2020-07-12T15:55:03.303Z,1347,970,,34014,317,,,,,,,,,,
2020-07-13T12:16:23.697Z,1374,989,,34475,296,,,,,,,,,,
2020-07-13T13:19:16.637Z,1375,989,,34514,297,,,,,,,,,,
2020-07-13T19:28:55.597Z,1404,1006,,34713,326,,,,,,,,,,
2020-07-14T07:14:06.710Z,1418,1013,,34916,283,,,,,,,,,,
2020-07-14T20:02:00.000Z,1458,1038,,5690,323,,,,,,,,,,
2020-07-15T07:32:13.567Z,1467,1047,,4651,287,,,,,,,,,,
2020-07-15T15:35:31.323Z,1488,1064,,5308,308,,,,,,,,,,
2020-07-15T19:29:13.910Z,1513,1080,,5643,332,,,,,,,,,,
2020-07-16T07:40:17.937Z,1532,1097,,4775,294,,,,,,,,,,
2020-07-16T15:42:35.290Z,1561,1109,,5153,324,,,,,,,,,,
2020-07-16T19:09:09.317Z,1580,1112,,5301,344,,,,,,,,,,
2020-07-17T07:18:52.977Z,1598,1127,,4533,309,,,,,,,,,,
2020-07-17T15:27:31.690Z,1616,1136,,4832,327,,,,,,,,,,
2020-07-18T19:46:54.420Z,1683,1122,,4946,357,,,,,,,,,,
2020-07-19T07:20:25.537Z,1687,1122,,4414,328,,,,,,,,,,
2020-07-19T15:47:25.010Z,1700,1124,,4592,345,,,,,,,,,,
2020-07-19T19:39:30.623Z,1702,1124,,4666,349,,,,,,,,,,
2020-07-20T07:39:43.380Z,1711,1108,,4095,301,,,,,,,,,,
2020-07-20T16:08:51.117Z,1720,1109,,4462,310,,,,,,,,,,
2020-07-20T19:37:52.507Z,1730,1106,,4592,320,,,,,,,,,,
2020-07-21T07:10:01.260Z,1748,1106,,3955,291,,,,,,,,,,
2020-07-21T15:44:09.447Z,1784,1116,,4341,327,,,,,,,,,,
2020-07-21T19:34:08.533Z,1793,1122,,4512,336,,,,,,,,,,
2020-07-22T07:21:49.913Z,1806,1131,,3542,284,,,,,,,,,,
2020-07-22T16:17:18.653Z,1838,1144,,3789,315,,,,,,,,,,
2020-07-22T19:32:45.860Z,1848,1149,,4105,326,,,,,,,,,,
2020-07-23T07:43:44.770Z,1857,1134,,3589,267,,,,,,,,,,
2020-07-23T15:47:26.380Z,1875,1119,,3860,285,,,,,,,,,,
2020-07-23T19:45:09.340Z,1882,1115,,3969,292,,,,,,,,,,
2020-07-24T07:25:49.703Z,1920,1007,,3670,296,,,,,,,,,,
2020-07-24T14:58:49.413Z,1945,989,,4386,320,,,,,,,,,,
2020-07-25T16:46:57.223Z,1968,1010,,4152,281,,,,,,,,,,
2020-07-25T19:33:21.280Z,1970,1010,,4286,283,,,,,,,,,,
2020-07-26T07:34:22.503Z,1982,1022,,4240,276,,,,,,,,,,
2020-07-26T16:24:05.187Z,1991,1030,,4390,284,,,,,,,,,,
2020-07-26T19:12:10.287Z,1997,1036,,4461,290,,,,,,,,,,
2020-07-27T07:17:01.273Z,2022,1061,,4174,286,,,,,,,,,,
2020-07-27T16:04:20.010Z,2044,1082,,4419,311,,,,,,,,,,
2020-07-27T19:25:32.007Z,2054,1092,,4529,321,,,,,,,,,,
2020-07-28T04:31:31.657Z,2067,895,,3788,268,,,,,,,,,,
2020-07-28T07:41:01.270Z,2077,903,,3888,278,,,,,,,,,,
2020-07-28T08:57:27.217Z,2080,906,40,3924,279,,,,,,,,,,
2020-07-28T07:41:01.270Z,2077,903,0,3888,278,,,,,,,,,,
2020-07-28T15:57:37.887Z,2113,939,42,4183,314,,,,,,,,,,
2020-07-28T19:05:30.067Z,2122,948,42,4224,323,,,,,,,,,,
2020-07-29T04:22:45.457Z,2126,939,42,3771,274,,,,,,,,,,
2020-07-29T07:43:55.003Z,2133,946,42,4117,281,,,,,,,,,,
2020-07-29T15:54:50.897Z,2176,988,44,4396,323,,,,,,,,,,
2020-07-29T19:47:41.590Z,2206,1018,45,4593,353,,,,,,,,,,
2020-07-30T03:34:45.407Z,2207,855,38,3710,298,,,,,,,,,,
2020-07-30T07:55:24.147Z,2221,868,38,3983,312,,,,,,,,,,
2020-07-30T15:43:54.137Z,2255,720,32,4278,346,,,,,,,,,,
2020-07-30T19:25:51.573Z,2269,733,32,4379,360,,,,,,,,,,
2020-07-31T03:50:21.007Z,2284,736,33,4083,321,,,,,,,,,,
2020-07-31T07:43:12.217Z,2287,738,33,4340,324,,,,,,,,,,
2020-07-31T14:53:21.500Z,2299,749,33,4884,336,,,,,,,,,,
2020-08-01T16:50:00.920Z,2365,788,35,4721,385,,,,,,,,,,
2020-08-01T19:55:08.933Z,2365,788,35,4725,385,,,,,,,,,,
2020-08-02T03:33:43.373Z,2366,777,34,4344,344,,,,,,,,,,
2020-08-02T07:36:18.830Z,2367,778,34,4365,345,,,,,,,,,,
2020-08-02T14:56:26.230Z,2368,779,35,4405,346,,,,,,,,,,
2020-08-02T19:40:45.250Z,2388,798,35,4545,366,,,,,,,,,,
2020-08-03T04:12:58.747Z,2401,752,33,3852,329,,,,,,,,,,
2020-08-03T07:31:19.470Z,2408,759,34,3913,336,,,,,,,,,,
2020-08-03T15:51:59.413Z,2448,798,35,4172,375,,,,,,,,,,
2020-08-03T19:19:51.413Z,2482,832,37,4375,409,,,,,,,,,,
2020-08-04T04:24:01.137Z,2500,790,35,3846,373,,,,,,,,,,
2020-08-04T07:09:49.710Z,2503,792,35,3910,376,,,,,,,,,,
2020-08-04T16:04:10.740Z,2530,813,36,4207,403,,,,,,,,,,
2020-08-04T19:23:52.547Z,2542,825,37,4307,415,,,,,,,,,,
2020-08-05T04:07:11.650Z,2565,807,36,3732,358,,,,,,,,,,
2020-08-05T07:07:34.267Z,2566,808,36,3760,359,,,,,,,,,,
2020-08-05T15:57:55.180Z,2588,827,37,4012,381,,,,,,,,,,
2020-08-05T19:15:38.693Z,2600,838,37,4131,393,,,,,,,,,,
2020-08-06T03:52:50.220Z,2622,803,36,3210,339,,,,,,,,,,
2020-08-06T07:26:05.917Z,2622,803,36,3513,339,,,,,,,,,,
