Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,289,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,290,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,291,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,291,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,291,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,291,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,293,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,295,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,295,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,295,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,295,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,295,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,296,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,297,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,300,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,300,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,302,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,302,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,302,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,306,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,307,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,308,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,308,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,308,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,306,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,305,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,305,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,305,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,309,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,310,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,314,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,319,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,319,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,322,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,323,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,325,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,325,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,330,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,333,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,334,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,334,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,335,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,335,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,337,56,,15802,29,,,,,,,,,,
2020-07-06T15:56:00.557Z,340,59,,15928,32,,,,,,,,,,
2020-07-07T05:00:26.417Z,344,63,,16078,31,,,,,,,,,,
2020-07-07T07:17:42.693Z,344,63,,16087,31,,,,,,,,,,
2020-07-07T15:43:32.247Z,347,65,,16184,34,,,,,,,,,,
2020-07-07T19:25:00.177Z,349,66,,16291,36,,,,,,,,,,
2020-07-08T07:31:44.197Z,356,70,,16420,34,,,,,,,,,,
2020-07-08T15:51:46.940Z,364,78,,16563,42,,,,,,,,,,
2020-07-08T19:34:17.600Z,364,78,,16600,42,,,,,,,,,,
2020-07-09T07:16:21.100Z,367,80,,16671,40,,,,,,,,,,
2020-07-09T15:38:11.660Z,381,94,,16945,54,,,,,,,,,,
2020-07-10T04:16:29.737Z,392,105,,17127,59,,,,,,,,,,
2020-07-10T07:28:43.630Z,392,105,,17138,59,,,,,,,,,,
2020-07-10T14:20:07.117Z,401,115,,17326,69,,,,,,,,,,
2020-07-11T17:08:38.350Z,410,123,,17683,77,,,,,,,,,,
2020-07-11T19:41:22.557Z,410,123,,17683,77,,,,,,,,,,
2020-07-12T07:32:17.937Z,427,140,,18014,92,,,,,,,,,,
2020-07-12T15:55:03.303Z,429,142,,18169,94,,,,,,,,,,
2020-07-13T12:16:23.697Z,440,152,,18667,95,,,,,,,,,,
2020-07-13T13:19:16.637Z,442,153,,18703,97,,,,,,,,,,
2020-07-13T19:28:55.597Z,456,167,,18887,111,,,,,,,,,,
2020-07-14T07:14:06.710Z,467,177,,19035,116,,,,,,,,,,
2020-07-14T20:02:00.000Z,476,181,,3004,124,,,,,,,,,,
2020-07-15T07:32:13.567Z,481,185,,2828,111,,,,,,,,,,
2020-07-15T15:35:31.323Z,512,216,,3145,142,,,,,,,,,,
2020-07-15T19:29:13.910Z,517,221,,3226,147,,,,,,,,,,
2020-07-16T07:40:17.937Z,522,226,,2854,130,,,,,,,,,,
2020-07-16T15:42:35.290Z,534,235,,3297,140,,,,,,,,,,
2020-07-16T19:09:09.317Z,543,244,,3456,148,,,,,,,,,,
2020-07-17T07:18:52.977Z,553,253,,3186,147,,,,,,,,,,
2020-07-17T15:27:31.690Z,568,267,,3544,163,,,,,,,,,,
2020-07-18T19:46:54.420Z,604,300,,3503,184,,,,,,,,,,
2020-07-19T07:20:25.537Z,608,303,,3079,172,,,,,,,,,,
2020-07-19T15:47:25.010Z,610,305,,3155,174,,,,,,,,,,
2020-07-19T19:39:30.623Z,615,310,,3275,180,,,,,,,,,,
2020-07-20T07:39:43.380Z,626,317,,2773,162,,,,,,,,,,
2020-07-20T16:08:51.117Z,648,337,,3045,185,,,,,,,,,,
2020-07-20T19:37:52.507Z,654,343,,3139,191,,,,,,,,,,
2020-07-21T07:10:01.260Z,660,346,,3075,178,,,,,,,,,,
2020-07-21T15:44:09.447Z,668,353,,3254,186,,,,,,,,,,
2020-07-21T19:34:08.533Z,670,355,,3339,188,,,,,,,,,,
2020-07-22T07:21:49.913Z,684,366,,2769,157,,,,,,,,,,
2020-07-22T16:17:18.653Z,709,389,,2978,182,,,,,,,,,,
2020-07-22T19:32:45.860Z,721,401,,3129,194,,,,,,,,,,
2020-07-23T07:43:44.770Z,730,408,,2593,177,,,,,,,,,,
2020-07-23T15:47:26.380Z,739,415,,2787,186,,,,,,,,,,
2020-07-23T19:45:09.340Z,743,419,,2863,190,,,,,,,,,,
2020-07-24T07:25:49.703Z,757,411,,2721,185,,,,,,,,,,
2020-07-24T14:58:49.413Z,776,423,,2961,205,,,,,,,,,,
2020-07-25T16:46:57.223Z,787,433,,2736,180,,,,,,,,,,
2020-07-25T19:33:21.280Z,790,436,,2765,183,,,,,,,,,,
2020-07-26T07:34:22.503Z,805,450,,2901,188,,,,,,,,,,
2020-07-26T16:24:05.187Z,813,456,,2991,196,,,,,,,,,,
2020-07-26T19:12:10.287Z,814,457,,3032,197,,,,,,,,,,
2020-07-27T07:17:01.273Z,824,466,,2471,164,,,,,,,,,,
