Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,799,0,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,802,0,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,807,0,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,812,0,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,831,0,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,831,0,,,,,,,,,,
2020-07-16T07:40:17.937Z,<15,<15,,139,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,<15,<15,,149,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,<15,<15,,152,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,<15,<15,,154,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,<15,<15,,92,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,15,<15,,100,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,15,<15,,102,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,15,<15,,78,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,15,<15,,82,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,15,<15,,97,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,17,<15,,102,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,17,<15,,110,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,18,15,,112,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,18,15,,101,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,18,15,,108,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,18,15,,110,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,18,15,,91,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,19,16,,93,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,19,16,20,95,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,19,16,0,93,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,19,16,20,104,6-10,,,,,,,,,,
