Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,739,0,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,741,0,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,746,0,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,746,0,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,757,0,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,757,0,,,,,,,,,,
2020-07-16T07:40:17.937Z,<15,<15,,58,0,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,0,0,92,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,0,0,92,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,0,0,95,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,0,0,96,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,0,0,87,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,0,0,88,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,0,0,95,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,0,0,99,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,0,0,84,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,0,0,86,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,<15,1,96,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,<15,1,100,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,<15,1,84,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,<15,1,97,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,<15,1,100,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,<15,2,99,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,2,99,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,2,94,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,<15,2,94,1-5,,,,,,,,,,
