Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,750,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,756,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,759,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,760,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,763,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,767,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,771,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,772,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,772,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,16,<15,,794,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,17,<15,,810,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,17,<15,,810,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,19,<15,,831,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,21,<15,,840,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,21,<15,,847,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,21,<15,,855,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,24,15,,113,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,26,17,,118,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,26,17,,123,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,27,18,,131,15,,,,,,,,,,
2020-07-16T07:40:17.937Z,29,20,,135,16,,,,,,,,,,
2020-07-16T15:42:35.290Z,30,21,,141,17,,,,,,,,,,
2020-07-16T19:09:09.317Z,30,21,,152,17,,,,,,,,,,
2020-07-17T07:18:52.977Z,30,21,,147,15,,,,,,,,,,
2020-07-17T15:27:31.690Z,30,21,,163,15,,,,,,,,,,
2020-07-18T19:46:54.420Z,35,26,,211,20,,,,,,,,,,
2020-07-19T07:20:25.537Z,35,26,,226,20,,,,,,,,,,
2020-07-19T15:47:25.010Z,35,26,,229,20,,,,,,,,,,
2020-07-19T19:39:30.623Z,36,27,,232,21,,,,,,,,,,
2020-07-20T07:39:43.380Z,36,27,,230,15,,,,,,,,,,
2020-07-20T16:08:51.117Z,40,31,,246,16,,,,,,,,,,
2020-07-20T19:37:52.507Z,40,30,,254,16,,,,,,,,,,
2020-07-21T07:10:01.260Z,40,30,,223,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,40,30,,230,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,40,30,,235,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,42,32,,220,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,40,30,,225,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,40,30,,232,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,41,31,,214,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,41,31,,219,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,41,31,,228,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,41,31,,211,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,43,33,,223,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,45,35,,185,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,45,35,,188,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,45,35,,182,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,47,37,,189,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,47,37,,191,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,48,38,,153,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,48,38,,160,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,48,38,,161,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,51,35,,153,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,51,34,,153,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,51,34,23,158,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,51,34,0,153,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,52,35,23,165,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,55,38,25,183,16,,,,,,,,,,
2020-07-29T04:22:45.457Z,58,41,28,179,18,,,,,,,,,,
2020-07-29T07:43:55.003Z,59,42,28,193,19,,,,,,,,,,
2020-07-29T15:54:50.897Z,65,48,32,206,25,,,,,,,,,,
2020-07-29T19:47:41.590Z,66,49,33,209,26,,,,,,,,,,
2020-07-30T03:34:45.407Z,71,53,36,197,30,,,,,,,,,,
2020-07-30T07:55:24.147Z,72,54,36,203,31,,,,,,,,,,
2020-07-30T15:43:54.137Z,75,48,32,222,34,,,,,,,,,,
2020-07-30T19:25:51.573Z,76,49,33,228,35,,,,,,,,,,
2020-07-31T03:50:21.007Z,76,49,33,220,32,,,,,,,,,,
2020-07-31T07:43:12.217Z,77,50,34,235,33,,,,,,,,,,
2020-07-31T14:53:21.500Z,77,50,34,248,33,,,,,,,,,,
2020-08-01T16:50:00.920Z,79,48,32,258,34,,,,,,,,,,
2020-08-01T19:55:08.933Z,79,48,32,264,34,,,,,,,,,,
2020-08-02T03:33:43.373Z,79,48,32,251,32,,,,,,,,,,
2020-08-02T07:36:18.830Z,79,48,32,252,32,,,,,,,,,,
2020-08-02T14:56:26.230Z,79,48,32,253,32,,,,,,,,,,
2020-08-02T19:40:45.250Z,79,48,32,254,32,,,,,,,,,,
2020-08-03T04:12:58.747Z,79,46,31,229,31,,,,,,,,,,
2020-08-03T07:31:19.470Z,79,46,31,230,31,,,,,,,,,,
2020-08-03T15:51:59.413Z,79,46,31,234,31,,,,,,,,,,
2020-08-03T19:19:51.413Z,79,46,31,242,31,,,,,,,,,,
2020-08-04T04:24:01.137Z,79,46,31,208,22,,,,,,,,,,
2020-08-04T07:09:49.710Z,79,46,31,208,22,,,,,,,,,,
2020-08-04T16:04:10.740Z,79,45,30,212,22,,,,,,,,,,
2020-08-04T19:23:52.547Z,79,45,30,212,22,,,,,,,,,,
2020-08-05T04:07:11.650Z,79,41,28,176,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,79,41,28,178,11-14,,,,,,,,,,
2020-08-05T15:57:55.180Z,79,40,27,180,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,79,40,27,184,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,82,42,28,167,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,82,42,28,168,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,82,42,28,174,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,82,42,28,178,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,86,40,27,128,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,86,40,27,132,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,86,40,27,173,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,88,41,28,186,6-10,,,,,,,,,,
2020-08-08T19:27:22.153Z,88,41,28,190,6-10,,,,,,,,,,
2020-08-09T04:06:23.703Z,95,48,32,199,16,,,,,,,,,,
2020-08-09T07:14:20.263Z,96,49,33,200,17,,,,,,,,,,
2020-08-09T16:06:33.187Z,96,49,33,203,17,,,,,,,,,,
2020-08-09T19:26:37.877Z,97,50,34,207,18,,,,,,,,,,
2020-08-10T07:20:10.150Z,98,49,33,203,19,,,,,,,,,,
2020-08-10T15:48:14.683Z,99,50,34,218,20,,,,,,,,,,
2020-08-10T19:33:40.523Z,101,52,35,223,22,,,,,,,,,,
2020-08-11T03:33:09.120Z,105,53,36,220,26,,,,,,,,,,
2020-08-11T07:23:01.417Z,105,53,36,224,26,,,,,,,,,,
2020-08-11T16:01:33.767Z,106,54,36,234,27,,,,,,,,,,
2020-08-11T19:11:26.837Z,106,54,36,236,27,,,,,,,,,,
2020-08-12T03:47:07.760Z,106,53,36,236,27,,,,,,,,,,
2020-08-12T07:25:05.527Z,107,54,36,237,28,,,,,,,,,,
2020-08-12T15:17:58.400Z,107,54,36,247,28,,,,,,,,,,
2020-08-12T19:11:10.037Z,107,51,34,253,28,,,,,,,,,,
2020-08-13T03:25:43.083Z,110,53,36,220,26,,,,,,,,,,
2020-08-13T07:09:54.410Z,110,53,36,225,26,,,,,,,,,,
2020-08-13T16:00:11.437Z,111,54,36,236,27,,,,,,,,,,
2020-08-13T19:08:43.847Z,111,54,36,252,27,,,,,,,,,,
2020-08-14T04:07:12.977Z,112,55,37,188,24,,,,,,,,,,
2020-08-14T07:09:23.630Z,114,57,38,196,26,,,,,,,,,,
2020-08-14T14:40:20.690Z,114,57,38,210,26,,,,,,,,,,
2020-08-15T17:25:39.157Z,115,58,39,209,27,,,,,,,,,,
2020-08-15T19:20:16.850Z,115,58,39,209,27,,,,,,,,,,
2020-08-16T03:40:33.850Z,115,58,39,185,17,,,,,,,,,,
2020-08-16T07:05:21.820Z,115,58,39,185,17,,,,,,,,,,
2020-08-16T15:53:14.997Z,115,57,38,187,17,,,,,,,,,,
2020-08-17T07:41:16.500Z,117,59,40,184,16,,,,,,,,,,
2020-08-17T15:51:53.560Z,118,60,40,189,17,,,,,,,,,,
2020-08-17T19:45:07.133Z,118,60,40,193,17,,,,,,,,,,
2020-08-18T03:43:43.340Z,118,58,39,166,11-14,,,,,,,,,,
2020-08-18T07:12:06.963Z,119,59,40,173,11-14,,,,,,,,,,
2020-08-18T16:09:29.920Z,119,53,36,186,15,,,,,,,,,,
2020-08-18T18:55:23.410Z,126,60,40,197,22,,,,,,,,,,
2020-08-19T04:45:32.057Z,129,61,41,180,21,,,,,,,,,,
2020-08-19T07:38:12.840Z,129,61,41,182,21,,,,,,,,,,
2020-08-19T17:09:53.377Z,130,58,39,196,22,,,,,,,,,,
2020-08-19T19:17:48.483Z,130,58,39,200,22,,,,,,,,,,
2020-08-20T04:10:29.010Z,130,57,38,170,19,,,,,,,,,,
2020-08-20T07:18:04.130Z,132,58,39,176,21,,,,,,,,,,
2020-08-20T15:31:52.293Z,134,60,40,193,23,,,,,,,,,,
2020-08-20T20:06:10.983Z,137,63,42,204,26,,,,,,,,,,
2020-08-21T14:16:16.233Z,139,62,42,186,25,,,,,,,,,,
2020-08-22T16:59:01.583Z,139,62,42,196,24,,,,,,,,,,
2020-08-22T19:30:43.107Z,139,62,42,196,24,,,,,,,,,,
2020-08-23T03:21:42.033Z,139,62,42,193,23,,,,,,,,,,
2020-08-23T07:36:27.623Z,139,62,42,195,23,,,,,,,,,,
2020-08-23T16:06:03.420Z,139,61,41,207,23,,,,,,,,,,
2020-08-23T19:24:52.200Z,139,61,41,215,23,,,,,,,,,,
2020-08-24T03:42:44.113Z,139,60,40,194,21,,,,,,,,,,
2020-08-24T06:59:28.390Z,139,60,40,194,21,,,,,,,,,,
2020-08-24T15:46:46.347Z,139,57,38,201,22,,,,,,,,,,
2020-08-24T19:04:20.180Z,139,57,38,204,22,,,,,,,,,,
2020-08-25T04:04:12.517Z,139,54,36,194,11-14,,,,,,,,,,
2020-08-25T07:23:14.767Z,139,54,36,234,11-14,,,,,,,,,,
2020-08-25T15:24:02.787Z,139,52,35,237,11-14,,,,,,,,,,
2020-08-25T18:55:55.140Z,139,52,35,239,11-14,,,,,,,,,,
2020-08-26T03:18:59.150Z,139,36,24,219,6-10,,,,,,,,,,
2020-08-26T07:35:29.937Z,139,36,24,223,6-10,,,,,,,,,,
2020-08-26T19:35:18.907Z,140,35,23,242,11-14,,,,,,,,,,
2020-08-27T04:08:48.710Z,140,35,23,202,1-5,,,,,,,,,,
2020-08-27T07:26:57.270Z,140,35,23,202,1-5,,,,,,,,,,
2020-08-27T16:50:40.630Z,140,34,23,213,1-5,,,,,,,,,,
2020-08-27T18:51:47.520Z,140,34,23,233,1-5,,,,,,,,,,
2020-08-28T08:08:31.860Z,141,31,21,224,1-5,,,,,,,,,,
2020-08-28T14:24:05.103Z,141,24,16,237,1-5,,,,,,,,,,
2020-08-29T17:06:08.920Z,142,19,13,236,1-5,,,,,,,,,,
2020-08-29T19:08:02.117Z,142,19,13,237,1-5,,,,,,,,,,
2020-08-30T04:31:21.867Z,142,19,13,217,1-5,,,,,,,,,,
2020-08-30T07:15:32.680Z,140,19,13,217,1-5,,,,,,,,,,
2020-08-30T15:55:07.603Z,144,21,14,227,6-10,,,,,,,,,,
2020-08-31T07:06:04.153Z,146,22,15,219,6-10,,,,,,,,,,
2020-08-31T19:12:35.257Z,147,22,15,231,6-10,,,,,,,,,,
2020-09-01T03:44:24.423Z,147,22,15,151,6-10,,,,,,,,,,
2020-09-01T07:26:50.713Z,147,22,15,156,6-10,,,,,,,,,,
2020-09-01T15:48:54.947Z,148,20,13,163,6-10,,,,,,,,,,
2020-09-01T19:29:10.310Z,148,20,13,166,6-10,,,,,,,,,,
2020-09-02T03:48:16.603Z,150,22,15,143,6-10,,,,,,,,,,
2020-09-02T07:29:52.750Z,150,22,15,144,6-10,,,,,,,,,,
2020-09-02T16:16:58.493Z,150,21,14,149,6-10,,,,,,,,,,
2020-09-02T19:22:21.383Z,151,22,15,157,11-14,,,,,,,,,,
2020-09-03T03:39:09.817Z,151,21,14,117,11-14,,,,,,,,,,
2020-09-03T07:25:59.323Z,151,21,14,118,11-14,,,,,,,,,,
2020-09-03T15:44:32.453Z,151,20,13,124,11-14,,,,,,,,,,
2020-09-03T19:31:18.930Z,151,20,13,134,11-14,,,,,,,,,,
2020-09-04T04:02:27.220Z,151,20,13,135,6-10,,,,,,,,,,
2020-09-04T08:33:32.257Z,151,20,13,141,6-10,,,,,,,,,,
2020-09-04T14:23:25.623Z,151,18,12,148,6-10,,,,,,,,,,
2020-09-05T16:20:27.527Z,155,22,15,166,6-10,,,,,,,,,,
2020-09-05T19:40:21.500Z,155,22,15,169,6-10,,,,,,,,,,
2020-09-06T03:42:26.243Z,155,22,15,157,6-10,,,,,,,,,,
2020-09-06T06:59:52.613Z,155,22,15,160,6-10,,,,,,,,,,
2020-09-06T15:33:44.957Z,155,22,15,163,6-10,,,,,,,,,,
2020-09-06T19:27:55.423Z,155,22,15,167,6-10,,,,,,,,,,
2020-09-07T04:31:30.613Z,159,23,15,162,11-14,,,,,,,,,,
2020-09-07T07:38:04.493Z,159,23,15,160,11-14,,,,,,,,,,
2020-09-07T15:38:31.557Z,162,25,17,182,11-14,,,,,,,,,,
2020-09-07T17:31:07.610Z,162,25,17,183,11-14,,,,,,,,,,
2020-09-07T19:26:33.937Z,163,26,17,186,15,,,,,,,,,,
2020-09-08T04:10:57.787Z,164,26,17,178,16,,,,,,,,,,
2020-09-08T07:04:17.997Z,164,26,17,180,16,,,,,,,,,,
2020-09-08T10:04:17.997Z,164,26,17,180,16,,,,,,,,,,
2020-09-08T16:50:39.990Z,164,26,17,190,16,,,,,,,,,,
2020-09-08T13:50:39.990Z,164,26,17,190,16,,,,,,,,,,
2020-09-08T17:57:43.140Z,165,27,18,204,17,,,,,,,,,,
2020-09-08T19:16:01.563Z,165,27,18,205,17,,,,,,,,,,
2020-09-09T03:58:55.127Z,166,27,18,208,15,,,,,,,,,,
2020-09-09T07:10:04.400Z,166,27,18,212,15,,,,,,,,,,
2020-09-09T16:03:07.143Z,166,26,17,229,15,,,,,,,,,,
2020-09-09T19:24:24.427Z,166,26,17,236,15,,,,,,,,,,
2020-09-10T03:38:32.990Z,167,27,18,223,16,,,,,,,,,,
2020-09-10T07:15:19.630Z,168,28,19,228,17,,,,,,,,,,
2020-09-10T15:24:42.677Z,173,32,21,265,22,,,,,,,,,,
2020-09-10T19:30:55.320Z,174,33,22,297,23,,,,,,,,,,
2020-09-11T03:51:43.293Z,176,31,21,294,24,,,,,,,,,,
2020-09-11T08:42:54.063Z,176,31,21,310,24,,,,,,,,,,
2020-09-11T14:29:56.553Z,181,36,24,356,29,,,,,,,,,,
2020-09-12T15:56:23.313Z,191,45,30,460,39,,,,,,,,,,
2020-09-12T18:54:25.377Z,192,46,31,464,40,,,,,,,,,,
2020-09-13T03:53:52.697Z,193,47,32,485,38,,,,,,,,,,
2020-09-13T07:29:45.173Z,200,54,36,523,45,,,,,,,,,,
2020-09-13T19:08:27.253Z,206,60,40,569,51,,,,,,,,,,
2020-09-14T04:11:56.110Z,207,61,41,544,47,,,,,,,,,,
2020-09-14T06:59:27.110Z,208,62,42,554,48,,,,,,,,,,
2020-09-14T16:34:45.150Z,223,77,52,630,63,,,,,,,,,,
2020-09-14T19:31:17.433Z,224,78,52,640,64,,,,,,,,,,
2020-09-15T08:06:23.923Z,228,82,55,647,66,,,,,,,,,,
2020-09-15T18:10:56.213Z,232,86,58,682,70,,,,,,,,,,
2020-09-16T04:02:59.200Z,234,85,57,669,70,,,,,,,,,,
2020-09-16T15:33:14.613Z,238,88,59,693,74,,,,,,,,,,
2020-09-16T19:28:27.657Z,238,88,59,702,74,,,,,,,,,,
2020-09-17T03:52:02.707Z,241,91,61,627,68,,,,,,,,,,
2020-09-17T08:26:49.980Z,242,92,62,646,69,,,,,,,,,,
2020-09-17T18:44:47.930Z,247,97,65,690,73,,,,,,,,,,
2020-09-18T04:19:52.177Z,250,98,66,603,65,,,,,,,,,,
2020-09-18T13:53:20.213Z,250,98,66,625,65,,,,,,,,,,
2020-09-19T13:48:30.003Z,258,104,70,612,64,,,,,,,,,,
2020-09-20T16:12:55.767Z,268,108,72,589,62,,,,,,,,,,
2020-09-20T19:22:01.480Z,269,108,72,594,63,,,,,,,,,,
2020-09-21T03:36:24.980Z,271,104,70,479,45,,,,,,,,,,
2020-09-21T06:42:02.463Z,272,105,70,481,45,,,,,,,,,,
2020-09-21T15:28:22.733Z,282,115,77,513,56,,,,,,,,,,
2020-09-21T19:28:34.847Z,283,116,78,527,57,,,,,,,,,,
2020-09-23T06:41:59.770Z,303,114,76,548,64,,,,,,,,,,
2020-09-23T15:16:14.847Z,311,121,81,568,72,,,,,,,,,,
2020-09-23T19:41:03.030Z,313,123,83,577,74,,,,,,,,,,
2020-09-24T03:25:02.827Z,321,125,84,501,73,,,,,,,,,,
2020-09-24T15:11:00.710Z,324,127,85,528,76,,,,,,,,,,
2020-09-24T19:02:57.310Z,326,128,86,555,78,,,,,,,,,,
2020-09-25T03:39:17.927Z,327,114,76,523,74,,,,,,,,,,
2020-09-25T06:32:04.000Z,327,111,74,523,74,,,,,,,,,,
2020-09-25T13:23:59.210Z,332,116,78,537,79,,,,,,,,,,
2020-09-26T17:24:54.230Z,342,120,80,552,79,,,,,,,,,,
2020-09-26T19:01:59.350Z,342,120,80,552,79,,,,,,,,,,
2020-09-27T06:27:46.860Z,345,121,81,569,77,,,,,,,,,,
2020-09-27T13:38:11.377Z,345,121,81,570,77,,,,,,,,,,
2020-09-28T16:25:25.447Z,348,113,76,465,60,,,,,,,,,,
2020-09-28T19:29:29.173Z,350,114,76,468,62,,,,,,,,,,
2020-09-29T07:31:38.433Z,350,111,74,375,49,,,,,,,,,,
2020-09-29T15:20:10.623Z,350,110,74,380,49,,,,,,,,,,
2020-09-29T20:03:10.423Z,357,117,78,396,56,,,,,,,,,,
2020-09-30T03:41:07.500Z,362,114,76,368,45,,,,,,,,,,
2020-09-30T06:58:43.690Z,362,114,76,368,45,,,,,,,,,,
2020-09-30T15:56:55.587Z,363,115,77,382,46,,,,,,,,,,
2020-09-30T19:17:47.527Z,364,116,78,390,47,,,,,,,,,,
2020-10-01T04:23:29.923Z,366,106,71,311,38,,,,,,,,,,
2020-10-01T16:23:41.577Z,369,109,73,336,41,,,,,,,,,,
2020-10-01T18:59:49.017Z,369,108,72,344,41,,,,,,,,,,
2020-10-02T04:03:07.877Z,372,98,66,229,33,,,,,,,,,,
2020-10-02T06:38:41.127Z,372,98,66,260,33,,,,,,,,,,
2020-10-02T13:42:19.067Z,372,95,64,270,33,,,,,,,,,,
2020-10-03T15:01:48.953Z,376,82,55,248,30,,,,,,,,,,
2020-10-03T19:35:04.317Z,377,83,56,251,31,,,,,,,,,,
2020-10-04T03:23:43.410Z,377,79,53,233,30,,,,,,,,,,
2020-10-04T06:52:16.170Z,377,79,53,234,30,,,,,,,,,,
2020-10-04T15:45:12.993Z,377,79,53,237,30,,,,,,,,,,
2020-10-04T19:18:58.757Z,377,79,53,243,30,,,,,,,,,,
2020-10-05T04:36:06.167Z,376,62,42,245,27,,,,,,,,,,
2020-10-05T15:36:41.790Z,377,61,41,257,28,,,,,,,,,,
2020-10-05T19:08:42.103Z,377,61,41,271,28,,,,,,,,,,
2020-10-06T04:14:25.760Z,378,57,38,244,19,,,,,,,,,,
2020-10-06T07:12:48.303Z,378,57,38,246,19,,,,,,,,,,
2020-10-06T15:35:02.543Z,379,57,38,251,20,,,,,,,,,,
2020-10-06T19:06:32.717Z,379,57,38,259,20,,,,,,,,,,
2020-10-07T04:53:38.940Z,379,52,35,232,16,,,,,,,,,,
2020-10-07T06:31:21.220Z,380,53,36,237,17,,,,,,,,,,
2020-10-07T15:46:34.190Z,381,54,36,250,18,,,,,,,,,,
2020-10-07T19:20:37.117Z,383,56,38,259,20,,,,,,,,,,
2020-10-08T04:02:20.680Z,384,56,38,226,16,,,,,,,,,,
2020-10-08T07:33:44.060Z,385,57,38,232,17,,,,,,,,,,
2020-10-08T15:02:40.130Z,387,59,40,249,19,,,,,,,,,,
2020-10-08T19:33:27.153Z,387,58,39,250,19,,,,,,,,,,
2020-10-09T04:06:38.427Z,387,56,38,214, 11-14 ,,,,,,,,,,
2020-10-09T06:43:33.320Z,387,56,38,218, 11-14 ,,,,,,,,,,
2020-10-09T13:16:27.957Z,390,59,40,225,16,,,,,,,,,,
2020-10-10T15:03:40.197Z,391,60,40,228,16,,,,,,,,,,
2020-10-10T18:59:28.107Z,391,60,40,229,16,,,,,,,,,,
2020-10-11T03:42:40.760Z,391,60,40,210,16,,,,,,,,,,
2020-10-11T07:21:23.963Z,391,60,40,210,16,,,,,,,,,,
2020-10-11T15:42:03.660Z,392,52,35,224,17,,,,,,,,,,
2020-10-12T03:16:32.807Z,392,50,34,202, 11-14 ,,,,,,,,,,
2020-10-12T07:01:58.960Z,392,50,34,210, 11-14 ,,,,,,,,,,
2020-10-12T15:27:12.240Z,393,51,34,217,15,,,,,,,,,,
2020-10-12T19:10:43.703Z,395,53,36,220,17,,,,,,,,,,
2020-10-13T04:05:38.463Z,395,53,36,209,16,,,,,,,,,,
2020-10-13T09:38:53.503Z,396,54,36,214,17,,,,,,,,,,
2020-10-13T15:22:02.470Z,396,54,36,235,17,,,,,,,,,,
2020-10-13T19:28:52.873Z,398,50,34,241,19,,,,,,,,,,
2020-10-14T03:36:01.470Z,399,49,33,235,16,,,,,,,,,,
2020-10-14T06:32:36.137Z,399,44,30,237,16,,,,,,,,,,
2020-10-14T15:31:32.417Z,400,45,30,244,17,,,,,,,,,,
2020-10-15T03:58:03.073Z,400,45,30,213, 11-14 ,,,,,,,,,,
2020-10-15T06:45:55.563Z,400,45,30,214, 11-14 ,,,,,,,,,,
2020-10-15T15:01:48.260Z,399,44,30,215, 11-14 ,,,,,,,,,,
2020-10-15T17:52:47.397Z,399,42,28,219, 11-14 ,,,,,,,,,,
2020-10-16T05:18:51.633Z,401,41,28,221, 11-14 ,,,,,,,,,,
2020-10-16T07:17:42.620Z,401,41,28,222, 11-14 ,,,,,,,,,,
2020-10-16T13:06:06.527Z,402,42,28,227, 11-14 ,,,,,,,,,,
2020-10-17T15:15:41.040Z,404,41,28,196, 11-14 ,,,,,,,,,,
2020-10-17T18:23:29.967Z,404,41,28,200, 11-14 ,,,,,,,,,,
2020-10-18T03:18:46.443Z,406,42,28,220, 11-14 ,,,,,,,,,,
2020-10-18T07:09:23.643Z,406,42,28,220, 11-14 ,,,,,,,,,,
2020-10-18T14:57:14.213Z,406,42,28,220, 11-14 ,,,,,,,,,,
2020-10-19T04:09:11.843Z,406,34,23,229,  6-10  ,,,,,,,,,,
2020-10-19T10:13:56.977Z,406,34,23,236,  6-10  ,,,,,,,,,,
2020-10-19T15:11:03.883Z,406,34,23,239,  6-10  ,,,,,,,,,,
2020-10-19T19:11:45.207Z,406,26,17,244,  6-10  ,,,,,,,,,,
2020-10-20T04:50:00.180Z,407,23,15,221,  6-10  ,,,,,,,,,,
2020-10-20T06:59:42.170Z,407,23,15,225,  6-10  ,,,,,,,,,,
2020-10-20T15:52:03.357Z,407,22,15,240,  6-10  ,,,,,,,,,,
2020-10-20T18:57:53.083Z,407,20,13,240,  6-10  ,,,,,,,,,,
2020-10-21T03:17:23.007Z,410,22,15,229,  6-10  ,,,,,,,,,,
2020-10-21T06:35:52.513Z,410,22,15,233,  6-10  ,,,,,,,,,,
