Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-10T14:20:07.117Z,<15,<15,,833,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,<15,<15,,111,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,<15,<15,,109,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,<15,<15,,125,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,<15,<15,,129,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,15,<15,,123,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,16,15,,129,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,16,15,,139,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,18,17,,141,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,19,18,,151,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,19,18,,153,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,19,18,,136,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,19,18,,145,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,19,18,,160,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,20,18,,142,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,23,21,,165,15,,,,,,,,,,
2020-07-25T16:46:57.223Z,23,21,,166,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,23,21,,169,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,23,21,,154,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,24,22,,160,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,24,21,,161,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,25,22,,140,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,25,22,,148,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,26,23,,163,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,26,22,,131,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,22,,137,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,22,17,137,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,22,0,137,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,26,22,17,153,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,27,23,17,167,11-14,,,,,,,,,,
2020-07-29T04:22:45.457Z,27,23,17,161,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,27,23,17,168,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,27,23,17,185,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,27,23,17,189,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,27,22,17,156,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,27,22,17,162,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,28,21,16,170,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,28,21,16,176,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,28,21,16,149,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,28,21,16,155,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,28,21,16,163,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,28,20,15,169,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,28,20,15,169,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,28,20,15,161,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,28,20,15,163,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,28,20,15,166,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,28,20,15,170,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,28,<15,10,142,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,29,<15,11,150,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,30,15,11,164,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,30,15,11,164,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,30,<15,9,126,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,30,<15,9,127,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,31,<15,10,131,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,31,<15,10,131,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,31,<15,10,96,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,31,<15,10,97,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,31,<15,10,106,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,31,<15,10,117,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,31,<15,10,105,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,31,<15,10,110,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,32,<15,11,131,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,32,<15,11,144,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,32,<15,10,121,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,32,<15,10,127,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,32,<15,10,134,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,32,<15,9,151,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,32,<15,9,151,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,32,<15,9,145,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,32,<15,9,145,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,32,<15,9,148,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,32,<15,9,151,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,32,<15,9,132,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,32,<15,9,135,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,32,<15,9,143,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,32,<15,8,138,1-5,,,,,,,,,,
