Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,441,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,448,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,448,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,448,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,449,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,450,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,458,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,464,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,465,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,467,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,467,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,467,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,469,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,470,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,474,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,476,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,478,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,478,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,478,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,487,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,487,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,488,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,488,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,488,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,488,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,494,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,495,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,496,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,499,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,504,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,506,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,508,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,508,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,512,,,,,,,,,,,,,,
