Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,333,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,335,0,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,340,0,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,340,0,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,345,0,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,350,0,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,356,0,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,357,0,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,358,0,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,371,0,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,371,0,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,380,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,15,<15,20,38,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,0,37,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,15,<15,20,42,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,15,<15,20,42,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,15,<15,20,39,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,15,<15,20,39,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,15,<15,20,41,0,,,,,,,,,,
