Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,16,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,16,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,16,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,17,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,17,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,18,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,18,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,18,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,18,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,18,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,18,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,18,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,19,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,19,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,19,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,19,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,19,<15,,972,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,19,<15,,986,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,19,<15,,991,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,19,<15,,993,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,19,<15,,1010,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,19,<15,,1019,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,20,15,,1022,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,22,17,,1025,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,23,18,,1029,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,23,18,,1038,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,25,20,,1058,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,25,20,,1072,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,25,20,,1075,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,25,20,,1082,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,27,22,,1107,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,27,22,,1107,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,28,23,,1119,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,28,23,,1124,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,28,23,,1148,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,28,23,,1148,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,28,23,,1149,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,29,24,,1155,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,29,23,,149,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,29,23,,138,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,29,23,,154,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,29,23,,160,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,29,23,,136,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,31,25,,149,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,31,25,,153,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,31,25,,140,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,31,25,,145,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,32,26,,131,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,32,26,,120,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,32,26,,121,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,32,26,,128,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,32,26,,114,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,33,27,,125,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,34,28,,129,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,34,27,,118,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,34,25,,122,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,34,24,,126,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,34,24,,96,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,34,24,,102,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,34,24,,104,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,34,24,,79,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,37,26,,88,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,37,26,,92,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,37,25,,82,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,37,25,,84,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,37,25,,80,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,37,25,,81,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,38,26,,75,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,38,26,,77,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,38,26,,80,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,38,26,,66,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,38,26,,71,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,39,27,,72,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,39,22,,62,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,39,22,,63,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,39,22,28,64,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,39,22,0,63,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,41,24,31,75,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,41,24,31,81,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,41,24,31,76,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,41,24,31,78,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,41,24,31,82,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,41,24,31,84,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,41,23,29,70,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,41,23,29,71,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,41,<15,14,74,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,44,<15,18,83,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,44,<15,18,78,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,44,<15,18,79,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,44,<15,17,85,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,47,16,20,90,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,47,16,20,90,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,47,16,20,81,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,47,16,20,81,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,47,16,20,81,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,47,16,20,81,6-10,,,,,,,,,,
