Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,406,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,410,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,421,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,422,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,427,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,429,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,430,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,435,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,439,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,468,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,15,<15,,469,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,15,<15,,477,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,16,<15,,489,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,68,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,19,<15,,58,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,19,<15,,68,<15,,,,,,,,,,
