Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,296,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,298,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,298,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,313,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,317,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,317,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,331,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,337,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,337,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,15,<15,,39,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,21,<15,,41,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,21,<15,,49,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,21,<15,,49,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,22,<15,,55,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,22,<15,,57,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,22,<15,,56,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,22,<15,,58,<15,,,,,,,,,,
