Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,64,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,64,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,64,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,64,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,64,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,64,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,64,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,64,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,64,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,64,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,64,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,64,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,64,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,64,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,64,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,64,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,64,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,64,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,64,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,64,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,64,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,64,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,64,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,64,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,64,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,64,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,64,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,64,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,64,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,64,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,64,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,64,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,64,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,64,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,65,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,65,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,65,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,65,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,65,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,65,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,65,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,65,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,65,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,65,<15,,1550,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,65,<15,,1557,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,65,<15,,1569,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,65,<15,,1569,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,65,<15,,1582,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,65,<15,,1588,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,65,<15,,1603,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,65,<15,,1616,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,67,<15,,1633,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,68,<15,,1640,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,69,<15,,1661,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,69,<15,,1661,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,70,<15,,1677,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,71,<15,,1692,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,74,<15,,120,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,74,<15,,122,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,74,<15,,115,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,76,<15,,123,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,77,<15,,132,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,78,<15,,124,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,80,16,,134,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,81,17,,149,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,81,17,,134,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,84,20,,142,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,84,20,,145,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,86,22,,133,15,,,,,,,,,,
2020-07-20T16:08:51.117Z,86,22,,149,15,,,,,,,,,,
2020-07-20T19:37:52.507Z,86,22,,167,15,,,,,,,,,,
2020-07-21T07:10:01.260Z,88,24,,156,15,,,,,,,,,,
2020-07-21T15:44:09.447Z,89,25,,172,16,,,,,,,,,,
2020-07-21T19:34:08.533Z,90,26,,176,17,,,,,,,,,,
2020-07-22T07:21:49.913Z,90,26,,158,16,,,,,,,,,,
2020-07-22T16:17:18.653Z,91,27,,167,17,,,,,,,,,,
2020-07-22T19:32:45.860Z,91,27,,169,17,,,,,,,,,,
2020-07-23T07:43:44.770Z,91,27,,157,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,91,27,,166,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,92,28,,182,15,,,,,,,,,,
2020-07-24T07:25:49.703Z,92,28,,169,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,92,27,,194,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,92,27,,188,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,92,27,,195,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,92,27,,180,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,92,27,,183,<15,,,,,,,,,,
