Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,16,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,19,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,23,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,23,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,23,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,23,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,23,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,23,16,,1860,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,24,17,,1880,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,25,18,,1894,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,25,18,,1897,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,25,18,,1912,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,25,18,,1918,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,25,18,,1926,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,25,18,,1940,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,26,19,,1951,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,29,21,,1975,16,,,,,,,,,,
2020-07-09T15:38:11.660Z,30,22,,2000,17,,,,,,,,,,
2020-07-10T04:16:29.737Z,32,24,,2041,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,32,24,,2043,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,32,24,,2065,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,33,25,,2130,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,33,25,,2130,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,36,27,,2180,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,36,27,,2200,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,39,30,,2278,15,,,,,,,,,,
2020-07-13T13:19:16.637Z,39,30,,2286,15,,,,,,,,,,
2020-07-13T19:28:55.597Z,41,32,,2325,17,,,,,,,,,,
2020-07-14T07:14:06.710Z,44,35,,2344,20,,,,,,,,,,
2020-07-14T20:02:00.000Z,46,37,,467,22,,,,,,,,,,
2020-07-15T07:32:13.567Z,53,44,,476,26,,,,,,,,,,
2020-07-15T15:35:31.323Z,57,48,,547,30,,,,,,,,,,
2020-07-15T19:29:13.910Z,59,50,,572,32,,,,,,,,,,
2020-07-16T07:40:17.937Z,62,53,,506,31,,,,,,,,,,
2020-07-16T15:42:35.290Z,69,60,,555,37,,,,,,,,,,
2020-07-16T19:09:09.317Z,71,62,,579,39,,,,,,,,,,
