Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,40,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,41,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,41,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,41,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,41,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,41,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,41,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,41,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,41,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,41,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,42,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,42,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,42,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,42,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,43,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,43,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,44,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,46,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,46,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,46,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,46,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,46,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,46,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,46,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,47,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,47,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,47,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,47,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,47,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,47,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,47,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,47,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,47,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,47,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,47,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,47,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,47,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,47,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,47,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,47,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,47,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,47,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,47,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,47,<15,,1393,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,48,<15,,1407,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,49,<15,,1415,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,49,<15,,1415,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,49,<15,,1433,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,50,15,,1454,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,50,15,,1464,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,51,16,,1486,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,51,16,,1501,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,52,17,,1508,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,52,17,,1547,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,52,17,,1558,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,53,18,,1563,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,53,18,,1569,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,53,18,,1616,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,54,19,,1618,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,54,18,,1632,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,57,21,,1657,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,58,21,,1687,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,58,21,,1690,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,59,22,,1710,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,59,22,,1726,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,61,24,,318,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,61,24,,276,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,62,24,,320,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,62,24,,325,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,62,23,,296,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,62,23,,314,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,62,23,,327,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,62,23,,298,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,66,26,,322,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,69,29,,321,16,,,,,,,,,,
2020-07-19T07:20:25.537Z,71,31,,277,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,72,32,,284,15,,,,,,,,,,
2020-07-19T19:39:30.623Z,72,32,,291,15,,,,,,,,,,
2020-07-20T07:39:43.380Z,71,31,,266,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,73,33,,288,16,,,,,,,,,,
