Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-15T19:29:13.910Z,<15,<15,,93,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,<15,<15,,96,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,100,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,94,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,<15,<15,,101,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,<15,<15,,96,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,<15,<15,,90,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,<15,<15,,97,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,<15,<15,,98,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,<15,<15,,87,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,<15,<15,,92,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,<15,<15,,93,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,<15,<15,,79,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,<15,<15,,81,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,<15,<15,,60,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,<15,<15,,47,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,<15,<15,,53,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,16,<15,,47,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,16,<15,26,47,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,16,<15,0,47,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,26,50,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,26,53,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,17,<15,27,52,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,17,<15,27,54,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,17,<15,27,61,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,17,<15,27,64,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,18,15,29,61,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,18,15,29,61,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,18,<15,18,66,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,18,<15,18,69,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,18,<15,18,68,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,18,<15,18,71,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,18,<15,18,74,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,18,<15,18,73,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,18,<15,18,74,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,18,<15,18,68,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,18,<15,18,68,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,18,<15,18,69,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,18,<15,18,74,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,19,<15,20,62,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,19,<15,20,63,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,20,<15,22,67,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,20,<15,22,69,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,20,<15,22,59,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,20,<15,22,60,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,20,<15,20,66,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,20,<15,20,67,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,20,<15,20,52,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,20,<15,20,52,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,20,<15,20,58,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,20,<15,20,58,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,20,<15,20,51,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,20,<15,20,53,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,20,<15,20,59,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,20,<15,20,59,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,20,<15,18,50,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,20,<15,18,50,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,20,<15,18,53,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,20,<15,18,54,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,20,<15,18,54,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,20,<15,18,43,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,20,<15,18,44,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,20,<15,18,45,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,20,<15,18,45,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,20,<15,18,40,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,20,<15,18,45,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,20,<15,18,46,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,21,<15,20,43,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,21,<15,20,44,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,21,<15,20,47,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,21,<15,20,47,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,21,<15,20,44,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,21,<15,20,45,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,22,<15,22,48,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,22,<15,20,49,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,22,<15,14,40,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,22,<15,14,40,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,22,<15,14,48,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,23,<15,16,50,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,23,<15,16,46,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,23,<15,16,46,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,23,<15,16,49,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,23,<15,14,56,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,23,<15,14,56,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,23,<15,14,53,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,23,<15,14,54,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,23,<15,14,57,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,23,<15,14,50,1-5,,,,,,,,,,
