Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,287,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,301,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,304,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,308,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,308,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,308,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,321,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,325,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,332,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,334,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,345,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,347,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,349,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,351,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,370,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,373,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,379,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,398,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,404,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,431,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,435,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,436,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,436,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,437,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,445,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,452,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,456,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,465,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,472,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,478,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,496,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,512,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,517,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,529,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,549,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,553,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,554,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,570,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,596,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,598,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,604,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,609,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,612,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,612,385,,18942,145,,,,,,,,,,
2020-07-06T15:56:00.557Z,625,398,,19193,157,,,,,,,,,,
2020-07-07T05:00:26.417Z,630,402,,19351,142,,,,,,,,,,
2020-07-07T07:17:42.693Z,630,401,,19378,142,,,,,,,,,,
2020-07-07T15:43:32.247Z,644,412,,19616,156,,,,,,,,,,
2020-07-07T19:25:00.177Z,654,420,,19728,166,,,,,,,,,,
2020-07-08T07:31:44.197Z,663,429,,19831,132,,,,,,,,,,
2020-07-08T15:51:46.940Z,674,437,,20111,140,,,,,,,,,,
2020-07-08T19:34:17.600Z,685,448,,20309,151,,,,,,,,,,
2020-07-09T07:16:21.100Z,692,453,,20434,128,,,,,,,,,,
2020-07-09T15:38:11.660Z,697,456,,20630,131,,,,,,,,,,
2020-07-10T04:16:29.737Z,706,461,,20812,108,,,,,,,,,,
2020-07-10T07:28:43.630Z,707,461,,20888,108,,,,,,,,,,
2020-07-10T14:20:07.117Z,715,464,,21176,115,,,,,,,,,,
2020-07-11T17:08:38.350Z,735,477,,21881,122,,,,,,,,,,
2020-07-11T19:41:22.557Z,735,477,,21881,122,,,,,,,,,,
2020-07-12T07:32:17.937Z,741,478,,22016,115,,,,,,,,,,
2020-07-12T15:55:03.303Z,750,480,,22235,124,,,,,,,,,,
2020-07-13T12:16:23.697Z,763,485,,22474,117,,,,,,,,,,
2020-07-13T13:19:16.637Z,764,485,,22487,118,,,,,,,,,,
2020-07-13T19:28:55.597Z,772,490,,22619,125,,,,,,,,,,
2020-07-14T07:14:06.710Z,775,493,,22747,102,,,,,,,,,,
2020-07-14T20:02:00.000Z,787,502,,3209,114,,,,,,,,,,
2020-07-15T07:32:13.567Z,801,509,,2697,105,,,,,,,,,,
2020-07-15T15:35:31.323Z,805,506,,2814,109,,,,,,,,,,
2020-07-15T19:29:13.910Z,814,513,,2994,119,,,,,,,,,,
2020-07-16T07:40:17.937Z,822,516,,2657,113,,,,,,,,,,
2020-07-16T15:42:35.290Z,834,523,,2816,127,,,,,,,,,,
2020-07-16T19:09:09.317Z,838,523,,2898,132,,,,,,,,,,
2020-07-17T07:18:52.977Z,842,513,,2232,123,,,,,,,,,,
2020-07-17T15:27:31.690Z,844,511,,2364,127,,,,,,,,,,
2020-07-18T19:46:54.420Z,857,499,,2238,120,,,,,,,,,,
2020-07-19T07:20:25.537Z,859,500,,1915,104,,,,,,,,,,
2020-07-19T15:47:25.010Z,865,499,,2006,111,,,,,,,,,,
2020-07-19T19:39:30.623Z,868,499,,2073,114,,,,,,,,,,
2020-07-20T07:39:43.380Z,875,496,,1840,108,,,,,,,,,,
2020-07-20T16:08:51.117Z,880,498,,2021,114,,,,,,,,,,
2020-07-20T19:37:52.507Z,883,497,,2092,117,,,,,,,,,,
2020-07-21T07:10:01.260Z,893,495,,1846,103,,,,,,,,,,
2020-07-21T15:44:09.447Z,897,488,,1987,107,,,,,,,,,,
2020-07-21T19:34:08.533Z,903,494,,2042,113,,,,,,,,,,
2020-07-22T07:21:49.913Z,915,496,,1761,103,,,,,,,,,,
2020-07-22T16:17:18.653Z,922,497,,1947,110,,,,,,,,,,
2020-07-22T19:32:45.860Z,928,501,,2118,116,,,,,,,,,,
2020-07-23T07:43:44.770Z,938,505,,2019,107,,,,,,,,,,
2020-07-23T15:47:26.380Z,951,510,,2271,120,,,,,,,,,,
2020-07-23T19:45:09.340Z,955,513,,2342,124,,,,,,,,,,
2020-07-24T07:25:49.703Z,968,505,,2192,121,,,,,,,,,,
2020-07-24T14:58:49.413Z,977,507,,2486,130,,,,,,,,,,
2020-07-25T16:46:57.223Z,992,518,,2455,141,,,,,,,,,,
2020-07-25T19:33:21.280Z,993,516,,2473,142,,,,,,,,,,
2020-07-26T07:34:22.503Z,998,520,,2325,133,,,,,,,,,,
2020-07-26T16:24:05.187Z,1002,524,,2381,136,,,,,,,,,,
2020-07-26T19:12:10.287Z,1002,524,,2409,136,,,,,,,,,,
2020-07-27T07:17:01.273Z,1008,528,,2140,122,,,,,,,,,,
2020-07-27T16:04:20.010Z,1025,543,,2304,139,,,,,,,,,,
2020-07-27T19:25:32.007Z,1032,549,,2353,145,,,,,,,,,,
2020-07-28T04:31:31.657Z,1036,394,,2133,130,,,,,,,,,,
2020-07-28T07:41:01.270Z,1038,396,,2197,132,,,,,,,,,,
2020-07-28T08:57:27.217Z,1043,400,31,2224,137,,,,,,,,,,
2020-07-28T07:41:01.270Z,1038,396,0,2197,132,,,,,,,,,,
2020-07-28T15:57:37.887Z,1053,409,31,2327,147,,,,,,,,,,
2020-07-28T19:05:30.067Z,1059,414,32,2379,153,,,,,,,,,,
2020-07-29T04:22:45.457Z,1063,418,32,1900,133,,,,,,,,,,
2020-07-29T07:43:55.003Z,1065,420,32,1969,135,,,,,,,,,,
2020-07-29T15:54:50.897Z,1069,422,32,2078,139,,,,,,,,,,
2020-07-29T19:47:41.590Z,1075,428,33,2199,145,,,,,,,,,,
2020-07-30T03:34:45.407Z,1078,407,31,1787,110,,,,,,,,,,
2020-07-30T07:55:24.147Z,1080,409,31,1800,112,,,,,,,,,,
2020-07-30T15:43:54.137Z,1084,325,25,1920,116,,,,,,,,,,
2020-07-30T19:25:51.573Z,1086,327,25,2004,118,,,,,,,,,,
2020-07-31T03:50:21.007Z,1088,323,25,1670,101,,,,,,,,,,
2020-07-31T07:43:12.217Z,1090,325,25,1737,103,,,,,,,,,,
2020-07-31T14:53:21.500Z,1093,327,25,1788,106,,,,,,,,,,
2020-08-01T16:50:00.920Z,1109,336,26,1815,110,,,,,,,,,,
2020-08-01T19:55:08.933Z,1112,339,26,1823,113,,,,,,,,,,
2020-08-02T03:33:43.373Z,1112,324,25,1699,104,,,,,,,,,,
2020-08-02T07:36:18.830Z,1112,324,25,1703,104,,,,,,,,,,
2020-08-02T14:56:26.230Z,1113,325,25,1727,105,,,,,,,,,,
2020-08-02T19:40:45.250Z,1120,332,26,1828,111,,,,,,,,,,
2020-08-03T04:12:58.747Z,1120,318,24,1488,80,,,,,,,,,,
2020-08-03T07:31:19.470Z,1121,319,25,1506,81,,,,,,,,,,
2020-08-03T15:51:59.413Z,1124,322,25,1562,84,,,,,,,,,,
2020-08-03T19:19:51.413Z,1124,322,25,1650,84,,,,,,,,,,
2020-08-04T04:24:01.137Z,1126,304,23,1453,60,,,,,,,,,,
2020-08-04T07:09:49.710Z,1129,307,24,1487,63,,,,,,,,,,
2020-08-04T16:04:10.740Z,1134,311,24,1677,67,,,,,,,,,,
2020-08-04T19:23:52.547Z,1134,311,24,1732,67,,,,,,,,,,
2020-08-05T04:07:11.650Z,1145,307,24,1573,63,,,,,,,,,,
2020-08-05T07:07:34.267Z,1145,307,24,1610,63,,,,,,,,,,
2020-08-05T15:57:55.180Z,1152,311,24,1731,69,,,,,,,,,,
2020-08-05T19:15:38.693Z,1155,314,24,1788,72,,,,,,,,,,
2020-08-06T03:52:50.220Z,1158,283,22,1664,67,,,,,,,,,,
2020-08-06T07:26:05.917Z,1158,283,22,1701,67,,,,,,,,,,
2020-08-06T15:55:31.993Z,1159,282,22,1767,68,,,,,,,,,,
2020-08-06T19:15:44.523Z,1161,282,22,1813,70,,,,,,,,,,
2020-08-07T03:46:04.500Z,1162,265,20,1728,55,,,,,,,,,,
2020-08-07T08:10:09.393Z,1166,269,21,1789,59,,,,,,,,,,
2020-08-07T14:40:50.180Z,1168,270,21,1876,61,,,,,,,,,,
2020-08-08T16:45:50.553Z,1183,276,21,1958,65,,,,,,,,,,
2020-08-08T19:27:22.153Z,1184,277,21,1965,66,,,,,,,,,,
2020-08-09T04:06:23.703Z,1185,271,21,1833,61,,,,,,,,,,
2020-08-09T07:14:20.263Z,1185,271,21,1839,61,,,,,,,,,,
2020-08-09T16:06:33.187Z,1185,271,21,1855,61,,,,,,,,,,
2020-08-09T19:26:37.877Z,1185,271,21,1917,61,,,,,,,,,,
2020-08-10T07:20:10.150Z,1192,264,20,1791,63,,,,,,,,,,
2020-08-10T15:48:14.683Z,1200,270,21,1901,72,,,,,,,,,,
2020-08-10T19:33:40.523Z,1201,271,21,1925,73,,,,,,,,,,
2020-08-11T03:33:09.120Z,1207,261,20,1578,62,,,,,,,,,,
2020-08-11T07:23:01.417Z,1208,262,20,1742,63,,,,,,,,,,
2020-08-11T16:01:33.767Z,1212,265,20,1826,66,,,,,,,,,,
2020-08-11T19:11:26.837Z,1216,269,21,1880,69,,,,,,,,,,
2020-08-12T03:47:07.760Z,1220,265,20,1757,62,,,,,,,,,,
2020-08-12T07:25:05.527Z,1220,265,20,1789,62,,,,,,,,,,
2020-08-12T15:17:58.400Z,1227,270,21,1886,69,,,,,,,,,,
2020-08-12T19:11:10.037Z,1228,259,20,1930,70,,,,,,,,,,
2020-08-13T03:25:43.083Z,1229,225,17,1708,64,,,,,,,,,,
2020-08-13T07:09:54.410Z,1230,226,17,1745,65,,,,,,,,,,
2020-08-13T16:00:11.437Z,1239,234,18,1913,74,,,,,,,,,,
2020-08-13T19:08:43.847Z,1242,237,18,1934,77,,,,,,,,,,
2020-08-14T04:07:12.977Z,1243,223,17,1643,65,,,,,,,,,,
2020-08-14T07:09:23.630Z,1243,223,17,1710,65,,,,,,,,,,
2020-08-14T14:40:20.690Z,1248,224,17,1760,70,,,,,,,,,,
2020-08-15T17:25:39.157Z,1251,224,17,1800,65,,,,,,,,,,
2020-08-15T19:20:16.850Z,1251,224,17,1804,65,,,,,,,,,,
2020-08-16T03:40:33.850Z,1251,221,17,1590,58,,,,,,,,,,
2020-08-16T07:05:21.820Z,1253,223,17,1598,59,,,,,,,,,,
2020-08-16T15:53:14.997Z,1255,225,17,1632,61,,,,,,,,,,
2020-08-17T07:41:16.500Z,1265,235,18,1519,56,,,,,,,,,,
2020-08-17T15:51:53.560Z,1269,232,18,1671,60,,,,,,,,,,
2020-08-17T19:45:07.133Z,1274,237,18,1735,65,,,,,,,,,,
2020-08-18T03:43:43.340Z,1278,221,17,1459,58,,,,,,,,,,
2020-08-18T07:12:06.963Z,1278,221,17,1557,58,,,,,,,,,,
2020-08-18T16:09:29.920Z,1264,207,16,1610,50,,,,,,,,,,
2020-08-18T18:55:23.410Z,1265,208,16,1634,51,,,,,,,,,,
2020-08-19T04:45:32.057Z,1282,216,17,1608,54,,,,,,,,,,
2020-08-19T07:38:12.840Z,1281,216,17,1624,54,,,,,,,,,,
2020-08-19T17:09:53.377Z,1289,219,17,1696,62,,,,,,,,,,
2020-08-19T19:17:48.483Z,1290,220,17,1713,63,,,,,,,,,,
2020-08-20T04:10:29.010Z,1297,223,17,1595,61,,,,,,,,,,
2020-08-20T07:18:04.130Z,1298,223,17,1614,62,,,,,,,,,,
2020-08-20T15:31:52.293Z,1310,234,18,1737,74,,,,,,,,,,
2020-08-20T20:06:10.983Z,1313,236,18,1782,78,,,,,,,,,,
2020-08-21T14:16:16.233Z,1324,213,16,1734,83,,,,,,,,,,
2020-08-22T16:59:01.583Z,1332,210,16,1884,88,,,,,,,,,,
2020-08-22T19:30:43.107Z,1332,210,16,1886,88,,,,,,,,,,
2020-08-23T03:21:42.033Z,1332,204,16,1755,78,,,,,,,,,,
2020-08-23T07:36:27.623Z,1332,204,16,1758,78,,,,,,,,,,
2020-08-23T16:06:03.420Z,1334,207,16,1800,81,,,,,,,,,,
2020-08-23T19:24:52.200Z,1337,210,16,1826,84,,,,,,,,,,
2020-08-24T03:42:44.113Z,1344,211,16,1674,77,,,,,,,,,,
2020-08-24T06:59:28.390Z,1347,211,16,1706,77,,,,,,,,,,
2020-08-24T15:46:46.347Z,1356,217,17,1830,87,,,,,,,,,,
2020-08-24T19:04:20.180Z,1356,217,17,1872,87,,,,,,,,,,
2020-08-25T04:04:12.517Z,1368,200,15,1538,83,,,,,,,,,,
2020-08-25T07:23:14.767Z,1368,198,15,1568,83,,,,,,,,,,
2020-08-25T15:24:02.787Z,1373,191,15,1772,88,,,,,,,,,,
2020-08-25T18:55:55.140Z,1373,191,15,1852,88,,,,,,,,,,
2020-08-26T03:18:59.150Z,1382,184,14,1826,81,,,,,,,,,,
2020-08-26T07:35:29.937Z,1388,190,15,1883,87,,,,,,,,,,
2020-08-26T19:35:18.907Z,1395,192,15,2215,93,,,,,,,,,,
2020-08-27T04:08:48.710Z,1403,195,15,2049,83,,,,,,,,,,
2020-08-27T07:26:57.270Z,1405,195,15,2179,84,,,,,,,,,,
2020-08-27T16:50:40.630Z,1426,213,16,2366,105,,,,,,,,,,
2020-08-27T18:51:47.520Z,1429,216,17,2403,108,,,,,,,,,,
2020-08-28T08:08:31.860Z,1437,198,15,2322,105,,,,,,,,,,
2020-08-28T14:24:05.103Z,1442,199,15,2457,110,,,,,,,,,,
2020-08-29T17:06:08.920Z,1452,206,16,2506,116,,,,,,,,,,
2020-08-29T19:08:02.117Z,1452,206,16,2514,116,,,,,,,,,,
2020-08-30T04:31:21.867Z,1455,205,16,2407,107,,,,,,,,,,
2020-08-30T07:15:32.680Z,1455,205,16,2407,107,,,,,,,,,,
2020-08-30T15:55:07.603Z,1456,201,15,2441,108,,,,,,,,,,
2020-08-31T07:06:04.153Z,1468,201,15,2291,97,,,,,,,,,,
2020-08-31T19:12:35.257Z,1480,210,16,2439,109,,,,,,,,,,
2020-09-01T03:44:24.423Z,1485,209,16,2016,101,,,,,,,,,,
2020-09-01T07:26:50.713Z,1488,212,16,2052,104,,,,,,,,,,
2020-09-01T15:48:54.947Z,1495,216,17,2173,111,,,,,,,,,,
2020-09-01T19:29:10.310Z,1499,220,17,2234,115,,,,,,,,,,
2020-09-02T03:48:16.603Z,1507,223,17,1884,103,,,,,,,,,,
2020-09-02T07:29:52.750Z,1507,223,17,1914,103,,,,,,,,,,
2020-09-02T16:16:58.493Z,1515,227,17,2053,111,,,,,,,,,,
2020-09-02T19:22:21.383Z,1520,231,18,2100,116,,,,,,,,,,
2020-09-03T03:39:09.817Z,1530,235,18,1745,90,,,,,,,,,,
2020-09-03T07:25:59.323Z,1532,237,18,1756,92,,,,,,,,,,
2020-09-03T15:44:32.453Z,1548,249,19,1914,109,,,,,,,,,,
2020-09-03T19:31:18.930Z,1550,250,19,1983,111,,,,,,,,,,
2020-09-04T04:02:27.220Z,1564,248,19,1830,112,,,,,,,,,,
2020-09-04T08:33:32.257Z,1565,248,19,1839,113,,,,,,,,,,
2020-09-04T14:23:25.623Z,1571,244,19,1921,119,,,,,,,,,,
2020-09-05T16:20:27.527Z,1592,257,20,2156,136,,,,,,,,,,
2020-09-05T19:40:21.500Z,1592,257,20,2167,136,,,,,,,,,,
2020-09-06T03:42:26.243Z,1595,247,19,2027,128,,,,,,,,,,
2020-09-06T06:59:52.613Z,1595,247,19,2030,128,,,,,,,,,,
2020-09-06T15:33:44.957Z,1598,250,19,2075,131,,,,,,,,,,
2020-09-06T19:27:55.423Z,1598,250,19,2139,131,,,,,,,,,,
2020-09-07T04:31:30.613Z,1613,254,20,2036,124,,,,,,,,,,
2020-09-07T07:38:04.493Z,1613,253,19,2061,124,,,,,,,,,,
2020-09-07T15:38:31.557Z,1620,247,19,2139,131,,,,,,,,,,
2020-09-07T17:31:07.610Z,1627,254,20,2208,138,,,,,,,,,,
2020-09-07T19:26:33.937Z,1634,260,20,2240,145,,,,,,,,,,
