Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,62,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,65,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,65,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,65,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,65,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,65,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,69,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,69,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,69,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,70,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,71,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,71,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,74,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,78,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,80,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,80,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,81,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,85,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,96,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,102,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,102,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,102,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,102,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,103,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,107,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,106,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,106,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,109,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,112,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,114,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,114,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,118,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,119,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,119,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,121,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,125,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,125,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,128,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,134,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,134,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,134,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,136,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,138,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,138,107,,3838,31,,,,,,,,,,
2020-07-06T15:56:00.557Z,141,108,,3907,34,,,,,,,,,,
2020-07-07T05:00:26.417Z,142,108,,3945,28,,,,,,,,,,
2020-07-07T07:17:42.693Z,143,107,,3961,29,,,,,,,,,,
2020-07-07T15:43:32.247Z,150,114,,4001,36,,,,,,,,,,
2020-07-07T19:25:00.177Z,154,118,,4016,40,,,,,,,,,,
2020-07-08T07:31:44.197Z,154,117,,4045,36,,,,,,,,,,
2020-07-08T15:51:46.940Z,159,122,,4111,41,,,,,,,,,,
2020-07-08T19:34:17.600Z,160,123,,4129,42,,,,,,,,,,
2020-07-09T07:16:21.100Z,168,129,,4165,44,,,,,,,,,,
2020-07-09T15:38:11.660Z,176,136,,4229,52,,,,,,,,,,
2020-07-10T04:16:29.737Z,180,139,,4297,49,,,,,,,,,,
2020-07-10T07:28:43.630Z,180,139,,4303,49,,,,,,,,,,
2020-07-10T14:20:07.117Z,189,148,,4342,58,,,,,,,,,,
2020-07-11T17:08:38.350Z,194,152,,4396,60,,,,,,,,,,
2020-07-11T19:41:22.557Z,194,152,,4396,60,,,,,,,,,,
2020-07-12T07:32:17.937Z,194,151,,4425,56,,,,,,,,,,
2020-07-12T15:55:03.303Z,196,152,,4458,58,,,,,,,,,,
2020-07-13T12:16:23.697Z,197,146,,4588,55,,,,,,,,,,
2020-07-13T13:19:16.637Z,198,146,,4597,56,,,,,,,,,,
2020-07-13T19:28:55.597Z,199,147,,4672,57,,,,,,,,,,
2020-07-14T07:14:06.710Z,206,153,,4696,51,,,,,,,,,,
2020-07-14T20:02:00.000Z,214,161,,748,59,,,,,,,,,,
2020-07-15T07:32:13.567Z,214,161,,651,53,,,,,,,,,,
2020-07-15T15:35:31.323Z,215,162,,678,54,,,,,,,,,,
2020-07-15T19:29:13.910Z,216,163,,687,55,,,,,,,,,,
2020-07-16T07:40:17.937Z,222,167,,608,42,,,,,,,,,,
2020-07-16T15:42:35.290Z,224,168,,657,44,,,,,,,,,,
2020-07-16T19:09:09.317Z,225,169,,676,45,,,,,,,,,,
2020-07-17T07:18:52.977Z,228,171,,610,32,,,,,,,,,,
2020-07-17T15:27:31.690Z,238,180,,674,41,,,,,,,,,,
2020-07-18T19:46:54.420Z,243,184,,682,44,,,,,,,,,,
2020-07-19T07:20:25.537Z,243,184,,610,42,,,,,,,,,,
2020-07-19T15:47:25.010Z,243,183,,640,42,,,,,,,,,,
2020-07-19T19:39:30.623Z,244,184,,657,42,,,,,,,,,,
2020-07-20T07:39:43.380Z,248,184,,526,38,,,,,,,,,,
2020-07-20T16:08:51.117Z,253,188,,553,42,,,,,,,,,,
2020-07-20T19:37:52.507Z,253,188,,567,42,,,,,,,,,,
2020-07-21T07:10:01.260Z,259,193,,489,39,,,,,,,,,,
2020-07-21T15:44:09.447Z,266,196,,533,46,,,,,,,,,,
2020-07-21T19:34:08.533Z,267,197,,548,47,,,,,,,,,,
2020-07-22T07:21:49.913Z,270,198,,517,46,,,,,,,,,,
2020-07-22T16:17:18.653Z,274,200,,591,49,,,,,,,,,,
