Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,303,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,321,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,323,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,324,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,324,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,324,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,325,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,327,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,330,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,338,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,340,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,340,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,353,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,354,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,358,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,359,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,365,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,368,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,370,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,381,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,382,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,378,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,379,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,380,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,389,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,396,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,398,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,402,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,405,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,409,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,415,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,422,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,426,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,430,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,438,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,448,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,449,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,449,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,464,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,468,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,470,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,473,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,475,,,,,,,,,,,,,,
