Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,38,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,38,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,38,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,38,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,38,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,38,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,38,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,39,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,39,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,39,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,39,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,39,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,39,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,39,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,39,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,39,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,39,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,39,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,39,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,40,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,40,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,40,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,40,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,40,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,40,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,40,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,40,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,40,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,40,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,40,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,40,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,40,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,40,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,40,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,41,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,41,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,41,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,41,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,42,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,43,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,43,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,43,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,43,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,43,<15,,2041,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,44,<15,,2079,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,44,<15,,2090,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,44,<15,,2094,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,44,<15,,2105,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,44,<15,,2108,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,44,<15,,2110,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,44,<15,,2116,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,44,<15,,2119,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,45,<15,,2123,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,45,<15,,2131,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,45,<15,,2138,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,45,<15,,2146,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,45,<15,,2146,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,46,<15,,2149,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,46,<15,,2149,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,47,<15,,2157,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,47,<15,,2159,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,47,<15,,2167,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,48,<15,,2171,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,49,<15,,58,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,49,<15,,63,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,49,<15,5,45,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,49,<15,0,45,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,49,<15,5,47,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,49,<15,5,48,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,49,<15,5,46,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,49,<15,5,52,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,49,<15,5,58,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,49,<15,5,61,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,49,<15,4,43,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,49,<15,4,45,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,49,0,0,47,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,49,0,0,52,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,49,0,0,48,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,49,0,0,50,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,49,0,0,52,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,49,0,0,52,0,,,,,,,,,,
2020-08-01T19:55:08.933Z,49,0,0,52,0,,,,,,,,,,
2020-08-02T03:33:43.373Z,49,0,0,49,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,49,0,0,49,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,49,0,0,49,0,,,,,,,,,,
2020-08-02T19:40:45.250Z,49,0,0,49,0,,,,,,,,,,
2020-08-03T04:12:58.747Z,49,0,0,46,0,,,,,,,,,,
2020-08-03T07:31:19.470Z,49,0,0,47,0,,,,,,,,,,
2020-08-03T15:51:59.413Z,49,0,0,47,0,,,,,,,,,,
2020-08-03T19:19:51.413Z,49,0,0,48,0,,,,,,,,,,
2020-08-04T04:24:01.137Z,49,0,0,43,0,,,,,,,,,,
2020-08-04T07:09:49.710Z,49,0,0,44,0,,,,,,,,,,
2020-08-04T16:04:10.740Z,49,0,0,44,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,49,0,0,44,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,49,0,0,28,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,49,0,0,28,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,49,0,0,35,0,,,,,,,,,,
2020-08-05T19:15:38.693Z,49,0,0,38,0,,,,,,,,,,
2020-08-06T03:52:50.220Z,49,0,0,33,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,49,0,0,34,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,50,<15,1,39,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,50,<15,1,41,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,50,<15,1,33,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,50,<15,1,33,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,51,<15,2,48,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,51,<15,2,61,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,51,<15,2,61,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,51,<15,2,68,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,51,<15,2,68,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,50,<15,2,69,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,52,<15,5,74,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,52,<15,5,78,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,53,<15,6,93,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,53,<15,6,94,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,53,<15,6,94,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,53,<15,6,97,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,54,<15,7,101,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,55,<15,8,106,6-10,,,,,,,,,,
2020-08-12T03:47:07.760Z,55,<15,8,92,6-10,,,,,,,,,,
2020-08-12T07:25:05.527Z,55,<15,8,96,6-10,,,,,,,,,,
2020-08-12T15:17:58.400Z,55,<15,8,104,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,55,<15,8,111,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,56,<15,9,109,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,56,<15,9,112,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,56,<15,9,118,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,56,<15,9,120,6-10,,,,,,,,,,
2020-08-14T04:07:12.977Z,56,<15,9,100,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,56,<15,9,108,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,58,<15,12,128,6-10,,,,,,,,,,
2020-08-15T17:25:39.157Z,59,<15,13,125,6-10,,,,,,,,,,
2020-08-15T19:20:16.850Z,59,<15,13,125,6-10,,,,,,,,,,
2020-08-16T03:40:33.850Z,59,<15,13,121,6-10,,,,,,,,,,
2020-08-16T07:05:21.820Z,59,<15,13,121,6-10,,,,,,,,,,
2020-08-16T15:53:14.997Z,59,<15,13,122,6-10,,,,,,,,,,
2020-08-17T07:41:16.500Z,61,<15,15,112,6-10,,,,,,,,,,
2020-08-17T15:51:53.560Z,61,<15,15,125,6-10,,,,,,,,,,
2020-08-17T19:45:07.133Z,64,16,19,134,6-10,,,,,,,,,,
2020-08-18T03:43:43.340Z,64,16,19,120,6-10,,,,,,,,,,
2020-08-18T07:12:06.963Z,64,16,19,121,6-10,,,,,,,,,,
2020-08-18T16:09:29.920Z,68,19,23,130,11-14,,,,,,,,,,
2020-08-18T18:55:23.410Z,69,20,24,142,11-14,,,,,,,,,,
2020-08-19T04:45:32.057Z,70,21,25,119,15,,,,,,,,,,
