Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,1222,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,15,<15,,1234,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,15,<15,,1235,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,15,<15,,1237,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,17,<15,,123,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,17,<15,,110,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,19,<15,,116,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,20,<15,,118,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,20,<15,,101,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,21,15,,106,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,21,15,,110,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,21,15,,94,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,21,15,,96,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,21,15,,98,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,21,15,,88,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,23,17,,97,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,23,17,,100,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,23,17,,76,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,23,17,,81,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,23,17,,83,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,24,18,,74,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,23,17,,87,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,25,19,,92,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,27,19,,90,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,27,19,,99,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,27,19,,97,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,27,19,,98,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,27,19,,88,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,27,19,,92,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,27,19,,92,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,27,19,,77,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,27,19,,82,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,29,21,,84,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,29,20,,70,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,29,20,,70,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,29,20,30,71,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,29,20,0,70,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,27,18,27,85,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,27,18,27,89,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,27,18,27,72,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,27,18,27,73,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,28,19,28,74,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,28,19,28,77,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,28,17,25,59,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,29,18,27,64,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,29,<15,21,75,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,29,<15,21,76,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,29,<15,21,67,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,29,<15,21,67,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,29,<15,21,72,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,29,<15,21,74,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,29,<15,21,74,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,29,<15,21,69,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,29,<15,21,69,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,30,15,22,72,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,30,15,22,75,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,30,<15,21,53,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,30,<15,21,54,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,30,<15,21,61,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,28,<15,19,63,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,28,<15,18,58,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,28,<15,18,58,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,29,<15,18,86,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,29,<15,18,86,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,29,<15,18,78,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,29,<15,18,79,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,29,<15,18,90,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,29,<15,18,90,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,29,<15,16,72,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,29,<15,16,73,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,29,<15,16,79,0,,,,,,,,,,
2020-08-06T19:15:44.523Z,29,<15,16,80,0,,,,,,,,,,
2020-08-07T03:46:04.500Z,29,<15,13,76,0,,,,,,,,,,
2020-08-07T08:10:09.393Z,29,<15,13,78,0,,,,,,,,,,
2020-08-07T14:40:50.180Z,29,<15,13,81,0,,,,,,,,,,
2020-08-08T16:45:50.553Z,29,<15,12,86,0,,,,,,,,,,
2020-08-08T19:27:22.153Z,29,<15,12,86,0,,,,,,,,,,
2020-08-09T04:06:23.703Z,29,<15,12,78,0,,,,,,,,,,
2020-08-09T07:14:20.263Z,29,<15,12,78,0,,,,,,,,,,
2020-08-09T16:06:33.187Z,29,<15,12,78,0,,,,,,,,,,
2020-08-09T19:26:37.877Z,29,<15,12,80,0,,,,,,,,,,
2020-08-10T07:20:10.150Z,29,<15,12,44,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,29,<15,12,47,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,29,<15,12,48,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,30,<15,13,36,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,30,<15,13,38,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,34,<15,19,48,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,33,<15,18,64,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,33,<15,18,63,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,33,<15,18,63,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,33,<15,18,69,1-5,,,,,,,,,,
