Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-06T06:40:39.527Z,<15,<15,,1229,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,1239,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,1245,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,1246,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,1254,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,1259,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,1276,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,1340,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,1357,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,1357,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,17,<15,,211,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,17,<15,,189,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,19,<15,,215,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,20,<15,,227,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,20,<15,,186,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,21,<15,,203,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,22,15,,211,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,25,18,,205,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,26,19,,220,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,26,19,,225,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,29,22,,197,15,,,,,,,,,,
2020-07-22T16:17:18.653Z,29,22,,205,15,,,,,,,,,,
2020-07-22T19:32:45.860Z,29,22,,210,15,,,,,,,,,,
2020-07-23T07:43:44.770Z,31,24,,191,16,,,,,,,,,,
