Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-08-01T16:50:00.920Z,<15,<15,4,9,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,4,9,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,<15,<15,4,6,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,<15,<15,4,6,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,<15,<15,4,7,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,<15,<15,11,11,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,<15,<15,11,11,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,11,16,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,11,17,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,11,16,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,11,16,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,11,18,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,11,19,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,11,17,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,11,18,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,11,18,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,<15,<15,11,18,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,<15,<15,11,16,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,<15,<15,11,17,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,<15,<15,11,18,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,<15,<15,18,20,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,<15,<15,18,20,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,<15,<15,18,20,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,<15,<15,18,20,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,<15,<15,18,21,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,<15,<15,18,22,1-5,,,,,,,,,,
