Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-12-07T17:19:19.367Z,,,,,,<15,,9.6,0,0.0555555555555,5.2,green,,,
2020-12-07T20:41:13.183Z,,,,,,<15,,9.6,0,0.0555555555555,5.2,green,,,
2020-12-08T04:41:42.923Z,,,,,,<15,,4.8,0,0.0181818181818,5,green,,,
2020-12-08T08:16:14.790Z,,,,,,<15,,4.8,0,0.0181818181818,5,green,,,
2020-12-08T15:13:19.677Z,,,,,,<15,,4.8,0,0.0181818181818,5,green,,,
2020-12-08T20:17:59.030Z,,,,,,<15,,4.8,0,0.0181818181818,5,green,,,
2020-12-09T04:08:33.523Z,,,,,,<15,,0.0,0,0,4.5,green,,,
2020-12-09T07:49:39.820Z,,,,,,<15,,0.0,0,0,4.5,green,,,
2020-12-09T17:01:55.990Z,,,,,,<15,,0.0,0,0,3.9,green,,,
2020-12-09T20:46:55.280Z,,,,,,<15,,0.0,0,0,3.9,green,,,
2020-12-10T05:18:36.153Z,,,,,,<15,,4.8,0,0.0208333333333,3.6,green,,,
2020-12-10T10:48:57.087Z,,,,,,<15,,4.8,0,0.0208333333333,3.6,green,green,,
2020-12-10T17:11:36.463Z,,,,,,<15,,4.8,0,0.0208333333333,3.6,green,green,,
2020-12-10T20:48:12.903Z,,,,,,<15,,4.8,0,0.0208333333333,3.6,green,green,,
2020-12-11T05:54:20.180Z,,,,,,<15,,4.8,0,0.0322580645161,3.6,green,green,,
2020-12-11T08:51:27.507Z,,,,,,<15,,4.8,0,0.0322580645161,3.6,green,green,,
2020-12-11T11:40:43.183Z,,,,,,<15,,4.8,0,0.0322580645161,3.6,green,green,,
2020-12-12T13:42:25.367Z,,,,,,<15,,9.6,0,0.0465116279069,3.7,green,green,,
2020-12-12T19:49:13.440Z,,,,,,<15,,9.6,0,0.0465116279069,3.7,green,green,,
2020-12-13T03:58:20.980Z,,,,,,<15,,9.6,0,0.051282051282,3.7,green,green,,
2020-12-13T07:58:55.543Z,,,,,,<15,,9.6,0,0.051282051282,3.7,green,green,,
2020-12-13T16:21:49.793Z,,,,,,<15,,9.6,0,0.051282051282,3.7,green,green,,
2020-12-13T19:55:14.330Z,,,,,,<15,,9.6,0,0.051282051282,3.7,green,green,,
2020-12-14T04:43:13.087Z,,,,,,<15,,9.6,0,0.0526315789473,3.6,green,green,,
2020-12-14T08:13:31.700Z,,,,,,<15,,9.6,0,0.0526315789473,3.6,green,green,,
2020-12-14T16:19:28.703Z,,,,,,<15,,9.6,0,0.0526315789473,3.6,green,green,,
2020-12-14T19:50:07.697Z,,,,,,<15,,9.6,0,0.0526315789473,3.6,green,green,,
2020-12-15T03:52:05.163Z,,,,,,<15,,19.1,0,0.095238095238,3.7,green,green,,
2020-12-15T08:33:01.617Z,,,,,,<15,,19.1,0,0.095238095238,3.7,green,green,,
2020-12-16T05:04:52.817Z,,,,,,<15,,23.9,0,0.113636363636,4,green,green,,
2020-12-16T07:26:35.617Z,,,,,,<15,,23.9,0,0.113636363636,4,green,green,,
2020-12-16T16:13:51.950Z,,,,,,<15,,23.9,0,0.102040816327,4,green,green,,
2020-12-16T20:11:43.260Z,,,,,,<15,,23.9,0,0.102040816327,4,green,green,,
2020-12-17T07:59:35.357Z,,,,,,<15,,23.9,0,0.0833333333333,4,green,green,,
2020-12-17T16:39:19.050Z,,,,,,<15,,23.9,0,0.0847457627118,4,green,green,,
2020-12-17T19:49:35.037Z,,,,,,<15,,23.9,0,0.0847457627118,4,green,green,,
2020-12-18T08:00:03.750Z,,,,,,<15,,23.9,0,0.0531914893617,4,green,green,,
