Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,16,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,16,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,25,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,29,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,29,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,29,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,29,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,30,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,31,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,31,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,33,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,37,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,37,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,38,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,41,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,43,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,43,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,43,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,46,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,46,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,48,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,49,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,59,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,60,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,63,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,70,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,71,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,71,69,,2143,35,,,,,,,,,,
2020-07-06T15:56:00.557Z,74,72,,2186,38,,,,,,,,,,
2020-07-07T05:00:26.417Z,76,74,,2269,35,,,,,,,,,,
2020-07-07T07:17:42.693Z,76,74,,2294,35,,,,,,,,,,
2020-07-07T15:43:32.247Z,81,79,,2321,40,,,,,,,,,,
2020-07-07T19:25:00.177Z,81,79,,2368,40,,,,,,,,,,
