Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,592,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,592,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,592,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,590,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,590,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,590,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,591,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,591,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,591,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,596,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,597,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,597,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,597,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,597,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,599,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,601,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,606,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,614,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,614,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,616,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,617,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,619,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,619,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,621,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,633,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,639,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,641,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,644,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,653,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,653,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,658,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,661,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,668,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,671,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,688,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,705,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,709,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,719,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,735,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,736,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,737,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,746,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,746,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,753,196,,11323,111,,,,,,,,,,
2020-07-06T15:56:00.557Z,764,205,,11456,122,,,,,,,,,,
2020-07-07T05:00:26.417Z,771,209,,11570,118,,,,,,,,,,
2020-07-07T07:17:42.693Z,771,209,,11585,118,,,,,,,,,,
2020-07-07T15:43:32.247Z,800,237,,11760,147,,,,,,,,,,
2020-07-07T19:25:00.177Z,810,247,,11853,157,,,,,,,,,,
2020-07-08T07:31:44.197Z,817,253,,11960,144,,,,,,,,,,
2020-07-08T15:51:46.940Z,829,267,,12071,157,,,,,,,,,,
2020-07-08T19:34:17.600Z,833,272,,12149,162,,,,,,,,,,
2020-07-09T07:16:21.100Z,837,277,,12261,136,,,,,,,,,,
2020-07-09T15:38:11.660Z,853,293,,12441,152,,,,,,,,,,
2020-07-10T04:16:29.737Z,870,310,,12649,148,,,,,,,,,,
2020-07-10T07:28:43.630Z,870,310,,12667,148,,,,,,,,,,
2020-07-10T14:20:07.117Z,885,324,,12841,163,,,,,,,,,,
2020-07-11T17:08:38.350Z,908,346,,13057,179,,,,,,,,,,
2020-07-11T19:41:22.557Z,908,346,,13057,179,,,,,,,,,,
2020-07-12T07:32:17.937Z,935,371,,13184,193,,,,,,,,,,
2020-07-12T15:55:03.303Z,944,380,,13275,202,,,,,,,,,,
2020-07-13T12:16:23.697Z,965,399,,13425,200,,,,,,,,,,
2020-07-13T13:19:16.637Z,966,400,,13444,201,,,,,,,,,,
2020-07-13T19:28:55.597Z,983,416,,13546,218,,,,,,,,,,
2020-07-14T07:14:06.710Z,1003,434,,13688,186,,,,,,,,,,
2020-07-14T20:02:00.000Z,1022,452,,1876,205,,,,,,,,,,
2020-07-15T07:32:13.567Z,1035,462,,1677,197,,,,,,,,,,
2020-07-15T15:35:31.323Z,1070,492,,1892,232,,,,,,,,,,
2020-07-15T19:29:13.910Z,1082,502,,1987,244,,,,,,,,,,
2020-07-16T07:40:17.937Z,1107,525,,1760,234,,,,,,,,,,
2020-07-16T15:42:35.290Z,1129,545,,1933,255,,,,,,,,,,
2020-07-16T19:09:09.317Z,1146,561,,1982,271,,,,,,,,,,
2020-07-17T07:18:52.977Z,1157,571,,1796,261,,,,,,,,,,
2020-07-17T15:27:31.690Z,1176,588,,1967,280,,,,,,,,,,
2020-07-18T19:46:54.420Z,1249,649,,2069,328,,,,,,,,,,
2020-07-19T07:20:25.537Z,1253,653,,1876,290,,,,,,,,,,
2020-07-19T15:47:25.010Z,1272,672,,1967,309,,,,,,,,,,
2020-07-19T19:39:30.623Z,1282,682,,2029,317,,,,,,,,,,
2020-07-20T07:39:43.380Z,1291,690,,1818,290,,,,,,,,,,
2020-07-20T16:08:51.117Z,1333,730,,1994,333,,,,,,,,,,
2020-07-20T19:37:52.507Z,1340,733,,2065,340,,,,,,,,,,
2020-07-21T07:10:01.260Z,1364,750,,1898,330,,,,,,,,,,
2020-07-21T15:44:09.447Z,1400,775,,2123,366,,,,,,,,,,
