Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,16,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,16,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,16,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,17,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,17,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,17,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,16,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,16,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,16,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,17,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,17,,,,,,,,,,,,,,
2020-07-10T07:28:43.630Z,21,<15,,735,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,21,<15,,744,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,24,<15,,765,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,24,<15,,765,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,25,<15,,773,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,25,<15,,779,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,27,16,,792,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,27,16,,792,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,27,16,,795,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,27,16,,802,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,27,15,,134,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,27,15,,110,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,28,16,,124,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,28,16,,125,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,28,16,,104,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,30,18,,112,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,30,18,,122,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,30,18,,109,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,34,22,,120,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,34,22,,112,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,34,22,,99,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,34,22,,103,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,34,22,,105,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,34,22,,103,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,35,23,,124,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,35,23,,128,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,35,23,,121,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,36,24,,137,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,36,24,,144,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,36,24,,126,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,36,24,,131,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,36,24,,139,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,37,25,,125,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,37,24,,135,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,38,24,,153,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,38,23,,141,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,38,21,,148,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,38,21,,144,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,38,21,,146,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,38,21,,135,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,37,20,,133,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,37,20,,139,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,38,21,,114,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,38,21,,118,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,38,21,,120,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,38,<15,18,103,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,38,<15,0,103,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,39,<15,20,114,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,39,<15,20,116,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,40,<15,20,96,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,40,<15,20,97,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,41,<15,21,100,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,41,<15,21,104,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,41,<15,20,72,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,41,<15,20,78,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,42,<15,20,80,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,42,<15,20,87,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,43,<15,21,77,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,43,<15,21,83,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,43,<15,21,86,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,46,17,26,92,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,46,17,26,92,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,46,17,26,86,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,46,17,26,88,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,46,17,26,92,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,46,17,26,99,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,46,17,26,84,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,46,17,26,85,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,46,17,26,93,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,48,19,29,99,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,49,19,29,86,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,49,19,29,86,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,49,19,29,103,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,49,19,29,108,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,49,19,29,95,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,49,19,29,96,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,49,19,29,101,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,50,20,30,105,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,50,19,29,96,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,50,19,29,96,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,50,19,29,98,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,50,19,29,99,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,51,20,30,88,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,51,20,30,89,6-10,,,,,,,,,,
