Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,702,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,758,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,758,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,<15,<15,,790,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,15,<15,,800,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,15,<15,,208,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,15,<15,,192,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,16,15,,209,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,15,,218,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,16,15,,189,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,16,15,,193,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,16,15,,204,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,16,15,,166,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,16,<15,,178,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,16,<15,,173,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,16,<15,,173,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,16,<15,,174,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,16,<15,,174,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,17,<15,,103,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,17,<15,,106,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,17,<15,,107,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,17,<15,,100,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,17,<15,,104,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,17,<15,,76,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,18,<15,,86,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,18,<15,,65,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,18,<15,,69,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,18,<15,,72,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,18,<15,,66,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,18,<15,,78,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,18,<15,,78,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,18,<15,,76,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,18,<15,,78,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,18,<15,,80,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,21,<15,8,82,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,21,<15,0,81,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,22,<15,8,94,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,22,<15,8,97,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,22,<15,8,82,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,22,<15,8,86,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,27,15,13,108,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,27,15,13,110,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,28,16,13,101,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,28,16,13,102,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,29,16,13,110,11-14,,,,,,,,,,
2020-07-30T19:25:51.573Z,29,16,13,116,11-14,,,,,,,,,,
2020-07-31T03:50:21.007Z,29,16,13,100,11-14,,,,,,,,,,
2020-07-31T07:43:12.217Z,29,16,13,103,11-14,,,,,,,,,,
2020-07-31T14:53:21.500Z,29,16,13,106,11-14,,,,,,,,,,
2020-08-01T16:50:00.920Z,29,16,13,114,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,29,16,13,114,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,29,16,13,107,11-14,,,,,,,,,,
2020-08-02T07:36:18.830Z,29,16,13,107,11-14,,,,,,,,,,
2020-08-02T14:56:26.230Z,29,16,13,107,11-14,,,,,,,,,,
2020-08-02T19:40:45.250Z,29,16,13,108,11-14,,,,,,,,,,
2020-08-03T04:12:58.747Z,29,16,13,89,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,30,17,14,92,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,32,19,16,106,11-14,,,,,,,,,,
2020-08-03T19:19:51.413Z,32,19,16,112,11-14,,,,,,,,,,
2020-08-04T04:24:01.137Z,32,19,16,103,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,32,19,16,108,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,32,19,16,113,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,32,19,16,138,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,32,19,16,113,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,32,19,16,114,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,33,20,17,161,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,33,20,17,172,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,33,20,17,161,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,34,21,18,171,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,34,21,18,197,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,35,22,18,201,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,35,21,18,198,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,36,22,18,210,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,37,23,19,238,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,39,24,20,249,6-10,,,,,,,,,,
2020-08-08T19:27:22.153Z,39,24,20,249,6-10,,,,,,,,,,
2020-08-09T04:06:23.703Z,39,24,20,250,6-10,,,,,,,,,,
2020-08-09T07:14:20.263Z,39,24,20,250,6-10,,,,,,,,,,
2020-08-09T16:06:33.187Z,39,24,20,252,6-10,,,,,,,,,,
2020-08-09T19:26:37.877Z,40,25,21,257,11-14,,,,,,,,,,
2020-08-10T07:20:10.150Z,40,20,17,226,6-10,,,,,,,,,,
2020-08-10T15:48:14.683Z,43,23,19,270,11-14,,,,,,,,,,
2020-08-10T19:33:40.523Z,43,23,19,278,11-14,,,,,,,,,,
2020-08-11T03:33:09.120Z,43,21,18,244,11-14,,,,,,,,,,
2020-08-11T07:23:01.417Z,43,21,18,245,11-14,,,,,,,,,,
2020-08-11T16:01:33.767Z,46,24,20,271,11-14,,,,,,,,,,
2020-08-11T19:11:26.837Z,46,24,20,289,11-14,,,,,,,,,,
2020-08-12T03:47:07.760Z,47,23,19,227,11-14,,,,,,,,,,
2020-08-12T07:25:05.527Z,47,23,19,237,11-14,,,,,,,,,,
2020-08-12T15:17:58.400Z,47,22,18,248,11-14,,,,,,,,,,
2020-08-12T19:11:10.037Z,47,22,18,251,11-14,,,,,,,,,,
2020-08-13T03:25:43.083Z,47,22,18,200,11-14,,,,,,,,,,
2020-08-13T07:09:54.410Z,48,23,19,209,11-14,,,,,,,,,,
2020-08-13T16:00:11.437Z,48,23,19,221,11-14,,,,,,,,,,
2020-08-13T19:08:43.847Z,48,23,19,228,11-14,,,,,,,,,,
2020-08-14T04:07:12.977Z,50,25,21,192,11-14,,,,,,,,,,
2020-08-14T07:09:23.630Z,50,25,21,203,11-14,,,,,,,,,,
2020-08-14T14:40:20.690Z,54,29,24,229,16,,,,,,,,,,
