Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,1257,0,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,1278,0,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,1294,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,1300,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,1334,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,1334,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,15,<15,,1342,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,15,<15,,1346,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,16,<15,,1385,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,16,<15,,1385,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,16,<15,,1415,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,16,<15,,1419,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,16,<15,,183,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,16,<15,,163,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,16,<15,,204,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,212,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,16,<15,,186,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,16,<15,,193,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,16,<15,,196,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,17,<15,,178,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,18,<15,,190,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,18,<15,,192,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,18,<15,,169,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,18,<15,,177,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,18,<15,,185,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,18,<15,,142,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,19,<15,,174,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,21,<15,,188,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,21,<15,,173,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,21,<15,,182,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,21,<15,,150,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,21,<15,,140,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,21,<15,,141,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,21,<15,,146,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,22,<15,,134,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,22,<15,,132,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,23,15,,81,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,23,15,,92,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,<15,,81,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,23,<15,11,82,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,<15,0,81,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,25,16,13,93,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,25,16,13,99,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,25,16,13,91,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,25,16,13,91,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,25,16,13,99,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,25,16,13,104,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,25,15,12,88,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,25,15,12,90,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,25,<15,8,91,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,27,<15,10,101,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,27,<15,10,94,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,27,<15,10,96,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,27,<15,10,100,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,27,<15,9,94,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,27,<15,9,94,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,27,<15,9,89,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,27,<15,9,89,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,27,<15,9,90,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,27,<15,9,92,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,27,<15,6,76,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,27,<15,6,83,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,27,<15,6,85,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,27,<15,6,85,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,27,<15,6,57,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,27,<15,6,58,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,27,<15,6,59,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,27,<15,6,60,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,27,<15,6,49,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,27,<15,6,50,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,27,<15,6,59,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,27,<15,6,65,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,27,<15,6,57,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,28,<15,7,60,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,28,<15,7,73,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,28,<15,7,88,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,28,<15,6,79,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,28,<15,6,82,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,28,<15,6,88,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,29,<15,6,99,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,29,<15,6,99,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,29,<15,6,96,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,29,<15,6,96,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,29,<15,6,100,1-5,,,,,,,,,,
