Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,563,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,563,0,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,568,0,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,569,0,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,573,0,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,577,0,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,583,0,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,590,0,,,,,,,,,,
2020-07-28T08:57:27.217Z,16,<15,7,43,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,16,<15,0,43,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,7,50,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,7,52,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,16,<15,7,43,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,16,<15,7,47,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,16,<15,7,51,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,16,<15,7,57,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,16,<15,7,51,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,16,<15,7,52,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,16,<15,2,52,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,16,<15,2,53,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,16,<15,2,51,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,16,<15,2,53,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,16,<15,2,56,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,16,<15,2,66,0,,,,,,,,,,
2020-08-01T19:55:08.933Z,16,<15,2,66,0,,,,,,,,,,
2020-08-02T03:33:43.373Z,16,<15,2,62,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,16,<15,2,62,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,17,<15,5,67,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,17,<15,5,68,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,17,<15,5,56,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,17,<15,5,58,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,17,<15,5,63,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,17,<15,5,64,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,17,<15,5,51,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,17,<15,5,55,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,17,<15,5,59,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,17,<15,5,61,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,17,<15,5,46,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,17,<15,5,47,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,17,<15,5,48,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,17,<15,5,49,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,18,<15,7,46,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,18,<15,7,46,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,18,<15,7,48,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,18,<15,7,48,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,18,<15,7,34,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,18,<15,7,39,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,18,<15,7,39,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,18,<15,7,39,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,18,<15,7,39,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,18,<15,7,33,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,18,<15,7,34,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,18,<15,7,35,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,18,<15,7,37,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,18,<15,7,29,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,18,<15,7,32,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,18,<15,7,32,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,18,<15,7,25,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,18,<15,7,26,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,18,<15,7,26,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,18,<15,7,29,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,18,<15,7,26,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,19,<15,9,28,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,19,<15,9,31,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,19,<15,9,31,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,19,<15,9,31,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,19,<15,9,31,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,19,<15,9,35,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,19,<15,9,37,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,19,<15,9,32,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,19,<15,9,34,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,19,<15,7,36,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,19,<15,7,42,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,19,<15,7,43,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,19,<15,7,40,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,19,<15,7,40,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,19,<15,7,40,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,19,<15,7,40,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,19,<15,7,42,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,19,<15,7,44,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,19,<15,7,40,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,19,<15,7,41,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,19,<15,7,39,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,19,<15,7,42,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,19,<15,7,41,0,,,,,,,,,,
2020-08-19T07:38:12.840Z,19,<15,7,42,0,,,,,,,,,,
2020-08-19T17:09:53.377Z,19,<15,7,46,0,,,,,,,,,,
2020-08-19T19:17:48.483Z,19,<15,7,47,0,,,,,,,,,,
2020-08-20T04:10:29.010Z,19,<15,7,38,0,,,,,,,,,,
2020-08-20T07:18:04.130Z,19,<15,7,38,0,,,,,,,,,,
2020-08-20T15:31:52.293Z,19,<15,7,42,0,,,,,,,,,,
2020-08-20T20:06:10.983Z,19,<15,7,44,0,,,,,,,,,,
2020-08-21T14:16:16.233Z,19,<15,5,43,0,,,,,,,,,,
2020-08-22T16:59:01.583Z,19,<15,5,41,0,,,,,,,,,,
2020-08-22T19:30:43.107Z,19,<15,5,42,0,,,,,,,,,,
2020-08-23T03:21:42.033Z,19,<15,5,37,0,,,,,,,,,,
2020-08-23T07:36:27.623Z,19,<15,5,37,0,,,,,,,,,,
2020-08-23T16:06:03.420Z,19,<15,5,40,0,,,,,,,,,,
2020-08-23T19:24:52.200Z,19,<15,5,42,0,,,,,,,,,,
2020-08-24T03:42:44.113Z,19,<15,5,38,0,,,,,,,,,,
2020-08-24T06:59:28.390Z,19,<15,5,39,0,,,,,,,,,,
2020-08-24T15:46:46.347Z,19,<15,5,44,0,,,,,,,,,,
2020-08-24T19:04:20.180Z,19,<15,5,46,0,,,,,,,,,,
2020-08-25T04:04:12.517Z,21,<15,9,48,1-5,,,,,,,,,,
2020-08-25T07:23:14.767Z,21,<15,9,48,1-5,,,,,,,,,,
2020-08-25T15:24:02.787Z,22,<15,12,53,1-5,,,,,,,,,,
2020-08-25T18:55:55.140Z,22,<15,12,54,1-5,,,,,,,,,,
2020-08-26T03:18:59.150Z,22,<15,12,51,1-5,,,,,,,,,,
2020-08-26T07:35:29.937Z,23,<15,14,52,1-5,,,,,,,,,,
2020-08-26T19:35:18.907Z,23,<15,14,61,1-5,,,,,,,,,,
2020-08-27T04:08:48.710Z,23,<15,14,55,1-5,,,,,,,,,,
2020-08-27T07:26:57.270Z,23,<15,14,56,1-5,,,,,,,,,,
2020-08-27T16:50:40.630Z,23,<15,14,63,1-5,,,,,,,,,,
2020-08-27T18:51:47.520Z,23,<15,14,65,1-5,,,,,,,,,,
2020-08-28T08:08:31.860Z,23,<15,14,68,1-5,,,,,,,,,,
2020-08-28T14:24:05.103Z,24,<15,16,70,1-5,,,,,,,,,,
2020-08-29T17:06:08.920Z,24,<15,16,67,1-5,,,,,,,,,,
2020-08-29T19:08:02.117Z,24,<15,16,67,1-5,,,,,,,,,,
2020-08-30T04:31:21.867Z,24,<15,16,63,1-5,,,,,,,,,,
2020-08-30T07:15:32.680Z,24,<15,16,64,1-5,,,,,,,,,,
2020-08-30T15:55:07.603Z,24,<15,16,66,1-5,,,,,,,,,,
2020-08-31T07:06:04.153Z,24,<15,16,57,1-5,,,,,,,,,,
