Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,520,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,15,<15,,531,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,15,<15,,535,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,15,<15,,536,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,15,<15,,536,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,537,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,537,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,15,<15,,541,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,15,<15,,548,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,16,<15,,557,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,16,<15,,558,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,16,<15,,564,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,16,<15,,564,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,16,<15,,567,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,17,<15,,572,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,17,<15,,572,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,18,<15,,576,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,18,<15,,576,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,19,15,,585,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,19,15,,586,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,21,17,,590,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,21,17,,592,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,21,17,,57,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,21,17,,39,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,21,17,,40,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,22,18,,43,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,22,17,,40,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,22,17,,42,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,22,17,,43,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,23,18,,47,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,23,16,,48,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,23,16,,46,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,23,15,,49,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,23,<15,,49,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,23,<15,,49,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,23,<15,,39,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,23,<15,,40,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,23,<15,,25,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,23,<15,,27,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,24,<15,24,31,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,24,<15,0,30,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,24,<15,24,36,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,24,<15,24,37,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,24,<15,24,36,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,24,<15,24,38,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,24,<15,24,38,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,24,<15,24,41,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,24,<15,24,34,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,24,<15,24,34,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,24,<15,5,36,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,24,<15,5,37,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,24,<15,5,34,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,24,<15,5,34,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,24,<15,5,35,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,24,<15,5,35,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,24,<15,5,35,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,24,<15,5,30,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,24,<15,5,30,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,24,<15,5,30,0,,,,,,,,,,
2020-08-02T19:40:45.250Z,24,<15,5,30,0,,,,,,,,,,
2020-08-03T04:12:58.747Z,24,<15,5,24,0,,,,,,,,,,
2020-08-03T07:31:19.470Z,24,<15,5,24,0,,,,,,,,,,
2020-08-03T15:51:59.413Z,24,<15,5,28,0,,,,,,,,,,
2020-08-03T19:19:51.413Z,24,<15,5,28,0,,,,,,,,,,
2020-08-04T04:24:01.137Z,24,<15,5,23,0,,,,,,,,,,
2020-08-04T07:09:49.710Z,24,<15,5,23,0,,,,,,,,,,
2020-08-04T16:04:10.740Z,24,<15,5,25,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,24,<15,5,26,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,25,<15,8,26,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,25,<15,8,28,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,25,<15,8,30,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,25,<15,8,30,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,27,<15,13,32,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,27,<15,13,32,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,27,<15,13,32,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,27,<15,13,32,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,31,<15,24,40,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,31,<15,24,40,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,31,<15,24,43,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,31,<15,24,42,6-10,,,,,,,,,,
2020-08-08T19:27:22.153Z,32,<15,26,43,6-10,,,,,,,,,,
2020-08-09T04:06:23.703Z,33,<15,29,44,6-10,,,,,,,,,,
2020-08-09T07:14:20.263Z,33,<15,29,44,6-10,,,,,,,,,,
2020-08-09T16:06:33.187Z,33,<15,29,46,6-10,,,,,,,,,,
2020-08-09T19:26:37.877Z,35,<15,34,50,11-14,,,,,,,,,,
2020-08-10T07:20:10.150Z,36,<15,37,50,11-14,,,,,,,,,,
2020-08-10T15:48:14.683Z,35,<15,34,50,11-14,,,,,,,,,,
2020-08-10T19:33:40.523Z,35,<15,34,53,11-14,,,,,,,,,,
2020-08-11T03:33:09.120Z,36,<15,37,49,11-14,,,,,,,,,,
2020-08-11T07:23:01.417Z,36,<15,37,50,11-14,,,,,,,,,,
2020-08-11T16:01:33.767Z,36,<15,37,61,11-14,,,,,,,,,,
2020-08-11T19:11:26.837Z,38,16,42,74,11-14,,,,,,,,,,
2020-08-12T03:47:07.760Z,39,17,45,71,11-14,,,,,,,,,,
2020-08-12T07:25:05.527Z,41,19,50,82,11-14,,,,,,,,,,
2020-08-12T15:17:58.400Z,41,19,50,85,11-14,,,,,,,,,,
2020-08-12T19:11:10.037Z,42,20,53,86,15,,,,,,,,,,
2020-08-13T03:25:43.083Z,44,20,53,80,11-14,,,,,,,,,,
2020-08-13T07:09:54.410Z,44,20,53,80,11-14,,,,,,,,,,
2020-08-13T16:00:11.437Z,44,20,53,83,11-14,,,,,,,,,,
2020-08-13T19:08:43.847Z,47,23,61,87,16,,,,,,,,,,
2020-08-14T04:07:12.977Z,49,25,66,90,18,,,,,,,,,,
2020-08-14T07:09:23.630Z,49,25,66,91,18,,,,,,,,,,
2020-08-14T14:40:20.690Z,49,25,66,92,18,,,,,,,,,,
2020-08-15T17:25:39.157Z,51,25,66,102,19,,,,,,,,,,
2020-08-15T19:20:16.850Z,51,25,66,102,19,,,,,,,,,,
2020-08-16T03:40:33.850Z,51,25,66,93,17,,,,,,,,,,
2020-08-16T07:05:21.820Z,51,25,66,93,17,,,,,,,,,,
2020-08-16T15:53:14.997Z,51,25,66,94,17,,,,,,,,,,
2020-08-17T07:41:16.500Z,54,28,74,104,18,,,,,,,,,,
2020-08-17T15:51:53.560Z,54,28,74,108,18,,,,,,,,,,
2020-08-17T19:45:07.133Z,56,30,79,113,20,,,,,,,,,,
2020-08-18T03:43:43.340Z,59,33,87,89,20,,,,,,,,,,
2020-08-18T07:12:06.963Z,59,33,87,89,20,,,,,,,,,,
2020-08-18T16:09:29.920Z,66,37,98,102,27,,,,,,,,,,
2020-08-18T18:55:23.410Z,66,37,98,102,27,,,,,,,,,,
2020-08-19T04:45:32.057Z,80,50,132,113,36,,,,,,,,,,
2020-08-19T07:38:12.840Z,80,50,132,113,36,,,,,,,,,,
2020-08-19T17:09:53.377Z,85,55,145,121,40,,,,,,,,,,
2020-08-19T19:17:48.483Z,85,55,145,123,40,,,,,,,,,,
2020-08-20T04:10:29.010Z,90,60,158,139,40,,,,,,,,,,
2020-08-20T07:18:04.130Z,90,60,158,139,40,,,,,,,,,,
2020-08-20T15:31:52.293Z,92,62,163,143,42,,,,,,,,,,
2020-08-20T20:06:10.983Z,92,62,163,144,42,,,,,,,,,,
2020-08-21T14:16:16.233Z,100,67,177,157,49,,,,,,,,,,
2020-08-22T16:59:01.583Z,104,70,185,162,53,,,,,,,,,,
