Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,16,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,16,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,16,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,16,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,16,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,16,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,16,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,16,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,16,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,16,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,16,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,16,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,16,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,17,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,17,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,17,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,17,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,17,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,17,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,17,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,17,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,17,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,17,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,17,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,17,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,17,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,17,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,17,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,17,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,17,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,17,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,17,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,17,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,17,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,17,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,18,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,18,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,18,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,18,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,18,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,19,<15,,1588,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,19,<15,,1594,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,20,<15,,1601,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,20,<15,,1610,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,20,<15,,1647,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,20,<15,,1647,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,20,<15,,1696,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,21,<15,,1720,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,21,<15,,1723,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,21,<15,,1733,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,21,<15,,1737,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,21,<15,,173,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,22,<15,,194,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,27,<15,,159,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,27,<15,,174,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,27,<15,,164,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,28,<15,,181,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,29,<15,,195,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,37,19,,193,15,,,,,,,,,,
2020-07-25T19:33:21.280Z,37,19,,195,15,,,,,,,,,,
2020-07-26T07:34:22.503Z,41,22,,209,18,,,,,,,,,,
2020-07-26T16:24:05.187Z,42,23,,227,19,,,,,,,,,,
2020-07-26T19:12:10.287Z,42,23,,229,19,,,,,,,,,,
2020-07-27T07:17:01.273Z,43,24,,222,20,,,,,,,,,,
2020-07-27T16:04:20.010Z,43,24,,246,20,,,,,,,,,,
2020-07-27T19:25:32.007Z,44,25,,253,21,,,,,,,,,,
2020-07-28T04:31:31.657Z,45,26,,221,20,,,,,,,,,,
2020-07-28T07:41:01.270Z,45,26,,223,20,,,,,,,,,,
2020-07-28T08:57:27.217Z,45,26,11,224,20,,,,,,,,,,
2020-07-28T07:41:01.270Z,45,26,0,223,20,,,,,,,,,,
2020-07-28T15:57:37.887Z,48,29,13,238,23,,,,,,,,,,
2020-07-28T19:05:30.067Z,48,29,13,246,23,,,,,,,,,,
2020-07-29T04:22:45.457Z,49,30,13,218,22,,,,,,,,,,
2020-07-29T07:43:55.003Z,49,30,13,231,22,,,,,,,,,,
2020-07-29T15:54:50.897Z,49,30,13,253,22,,,,,,,,,,
2020-07-29T19:47:41.590Z,49,30,13,262,22,,,,,,,,,,
2020-07-30T03:34:45.407Z,49,30,13,233,21,,,,,,,,,,
2020-07-30T07:55:24.147Z,50,31,14,239,22,,,,,,,,,,
2020-07-30T15:43:54.137Z,53,32,14,259,25,,,,,,,,,,
2020-07-30T19:25:51.573Z,53,32,14,263,25,,,,,,,,,,
2020-07-31T03:50:21.007Z,56,35,15,240,24,,,,,,,,,,
2020-07-31T07:43:12.217Z,56,35,15,241,24,,,,,,,,,,
2020-07-31T14:53:21.500Z,57,36,16,243,25,,,,,,,,,,
2020-08-01T16:50:00.920Z,58,37,16,216,16,,,,,,,,,,
2020-08-01T19:55:08.933Z,58,37,16,216,16,,,,,,,,,,
2020-08-02T03:33:43.373Z,58,37,16,186,15,,,,,,,,,,
2020-08-02T07:36:18.830Z,58,37,16,187,15,,,,,,,,,,
2020-08-02T14:56:26.230Z,58,37,16,189,15,,,,,,,,,,
2020-08-02T19:40:45.250Z,58,37,16,189,15,,,,,,,,,,
2020-08-03T04:12:58.747Z,58,36,16,142,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,58,36,16,142,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,58,36,16,148,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,58,36,16,149,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,58,36,16,123,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,58,36,16,123,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,58,36,16,126,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,58,36,16,127,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,58,35,15,90,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,60,37,16,93,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,61,38,17,107,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,61,38,17,108,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,61,33,14,121,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,61,33,14,122,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,63,35,15,136,6-10,,,,,,,,,,
