Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,591,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,594,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,598,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,598,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,599,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,601,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,603,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,604,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,614,0,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,616,0,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,54,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,59,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,79,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,82,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,15,15,,112,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,15,15,,112,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,15,15,,115,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,15,15,,118,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,16,16,,128,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,24,24,,156,22,,,,,,,,,,
2020-07-20T19:37:52.507Z,24,24,,164,22,,,,,,,,,,
2020-07-21T07:10:01.260Z,25,25,,156,21,,,,,,,,,,
2020-07-21T15:44:09.447Z,27,27,,173,23,,,,,,,,,,
2020-07-21T19:34:08.533Z,29,29,,184,25,,,,,,,,,,
2020-07-22T07:21:49.913Z,31,31,,175,25,,,,,,,,,,
2020-07-22T16:17:18.653Z,33,33,,185,27,,,,,,,,,,
2020-07-22T19:32:45.860Z,34,34,,200,28,,,,,,,,,,
