Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,156,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,159,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,107,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,112,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,<15,<15,,116,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,<15,<15,,106,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,<15,<15,,108,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,109,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,103,0,,,,,,,,,,
2020-07-17T15:27:31.690Z,<15,<15,,106,0,,,,,,,,,,
2020-07-18T19:46:54.420Z,<15,<15,,108,0,,,,,,,,,,
2020-07-19T07:20:25.537Z,<15,<15,,86,0,,,,,,,,,,
2020-07-19T15:47:25.010Z,<15,<15,,87,0,,,,,,,,,,
2020-07-19T19:39:30.623Z,<15,<15,,88,0,,,,,,,,,,
2020-07-20T07:39:43.380Z,<15,<15,,50,0,,,,,,,,,,
2020-07-20T16:08:51.117Z,<15,<15,,50,0,,,,,,,,,,
2020-07-20T19:37:52.507Z,<15,<15,,50,0,,,,,,,,,,
2020-07-21T15:44:09.447Z,<15,<15,,36,0,,,,,,,,,,
2020-07-21T19:34:08.533Z,<15,<15,,36,0,,,,,,,,,,
2020-07-22T07:21:49.913Z,<15,<15,,30,0,,,,,,,,,,
2020-07-23T15:47:26.380Z,<15,<15,,29,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,<15,<15,,29,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,19,<15,,28,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,19,<15,,29,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,19,<15,,29,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,26,17,,60,15,,,,,,,,,,
2020-07-27T19:25:32.007Z,26,17,,61,15,,,,,,,,,,
2020-07-28T04:31:31.657Z,26,16,,61,15,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,16,,61,15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,16,58,61,15,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,16,0,61,15,,,,,,,,,,
2020-07-28T15:57:37.887Z,26,16,58,61,15,,,,,,,,,,
2020-07-28T19:05:30.067Z,26,16,58,61,15,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,16,58,55,15,,,,,,,,,,
2020-07-29T07:43:55.003Z,27,17,61,56,16,,,,,,,,,,
2020-07-29T15:54:50.897Z,27,17,61,57,16,,,,,,,,,,
2020-07-29T19:47:41.590Z,27,17,61,58,16,,,,,,,,,,
2020-07-30T03:34:45.407Z,27,17,61,56,11-14,,,,,,,,,,
2020-07-30T07:55:24.147Z,28,18,65,59,15,,,,,,,,,,
2020-07-30T15:43:54.137Z,36,25,90,81,23,,,,,,,,,,
2020-07-30T19:25:51.573Z,38,27,98,84,25,,,,,,,,,,
2020-07-31T03:50:21.007Z,38,27,98,81,24,,,,,,,,,,
2020-07-31T07:43:12.217Z,38,27,98,82,24,,,,,,,,,,
2020-07-31T14:53:21.500Z,38,27,98,83,24,,,,,,,,,,
2020-08-01T16:50:00.920Z,39,28,101,80,21,,,,,,,,,,
2020-08-01T19:55:08.933Z,40,29,105,85,22,,,,,,,,,,
2020-08-02T03:33:43.373Z,40,29,105,83,21,,,,,,,,,,
2020-08-02T07:36:18.830Z,40,29,105,83,21,,,,,,,,,,
2020-08-02T14:56:26.230Z,40,29,105,84,21,,,,,,,,,,
2020-08-02T19:40:45.250Z,40,29,105,84,21,,,,,,,,,,
2020-08-03T04:12:58.747Z,40,29,105,58,11-14,,,,,,,,,,
2020-08-03T07:31:19.470Z,40,29,105,58,11-14,,,,,,,,,,
2020-08-03T15:51:59.413Z,41,30,108,59,15,,,,,,,,,,
2020-08-03T19:19:51.413Z,41,30,108,59,15,,,,,,,,,,
2020-08-04T04:24:01.137Z,41,30,108,60,15,,,,,,,,,,
2020-08-04T07:09:49.710Z,41,30,108,60,15,,,,,,,,,,
2020-08-04T16:04:10.740Z,41,30,108,60,15,,,,,,,,,,
2020-08-04T19:23:52.547Z,41,30,108,60,15,,,,,,,,,,
2020-08-05T04:07:11.650Z,41,30,108,59,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,41,30,108,59,11-14,,,,,,,,,,
2020-08-05T15:57:55.180Z,41,30,108,60,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,41,30,108,60,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,41,25,90,34,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,41,25,90,37,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,42,26,94,42,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,42,26,94,43,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,42,24,87,37,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,42,24,87,40,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,42,24,87,43,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,42,21,76,34,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,42,15,54,28,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,42,15,54,30,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,42,15,54,30,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,42,15,54,28,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,42,15,54,28,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,42,15,54,29,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,42,15,54,29,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,43,<15,25,27,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,43,<15,25,27,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,43,<15,25,27,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,43,<15,25,27,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,43,<15,25,17,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,43,<15,25,17,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,43,<15,25,18,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,44,<15,29,19,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,44,<15,29,13,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,44,<15,29,14,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,44,<15,29,18,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,44,<15,29,20,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,44,<15,29,20,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,44,<15,29,19,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,44,<15,29,19,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,44,<15,29,19,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,45,<15,33,19,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,45,<15,33,20,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,45,<15,33,20,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,45,<15,33,19,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,45,<15,33,23,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,45,<15,29,24,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,45,<15,29,24,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,45,<15,29,22,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,45,<15,29,22,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,45,<15,29,24,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,45,<15,29,24,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,45,<15,29,22,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,45,<15,29,24,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,45,<15,29,30,1-5,,,,,,,,,,
2020-08-20T20:06:10.983Z,45,<15,29,30,1-5,,,,,,,,,,
2020-08-21T14:16:16.233Z,45,<15,25,26,1-5,,,,,,,,,,
2020-08-22T16:59:01.583Z,46,<15,29,28,1-5,,,,,,,,,,
2020-08-22T19:30:43.107Z,46,<15,29,29,1-5,,,,,,,,,,
2020-08-23T03:21:42.033Z,46,<15,29,28,1-5,,,,,,,,,,
2020-08-23T07:36:27.623Z,46,<15,29,28,1-5,,,,,,,,,,
2020-08-23T16:06:03.420Z,46,<15,25,30,1-5,,,,,,,,,,
2020-08-23T19:24:52.200Z,46,<15,25,30,1-5,,,,,,,,,,
2020-08-24T03:42:44.113Z,46,<15,25,27,1-5,,,,,,,,,,
2020-08-24T06:59:28.390Z,46,<15,25,27,1-5,,,,,,,,,,
2020-08-24T15:46:46.347Z,47,<15,29,29,1-5,,,,,,,,,,
