Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,19,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,19,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,19,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,19,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,19,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,19,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,19,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,19,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,19,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,19,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,20,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,20,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,20,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,21,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,22,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,22,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,22,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,27,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,27,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,34,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,35,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,41,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,45,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,54,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,55,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,57,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,57,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,57,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,60,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,72,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,76,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,84,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,87,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,89,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,92,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,98,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,98,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,108,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,121,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,124,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,125,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,126,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,128,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,128,109,,3004,70,,,,,,,,,,
2020-07-06T15:56:00.557Z,131,112,,3077,73,,,,,,,,,,
2020-07-07T05:00:26.417Z,132,113,,3095,55,,,,,,,,,,
2020-07-07T07:17:42.693Z,132,113,,3100,55,,,,,,,,,,
2020-07-07T15:43:32.247Z,134,115,,3176,57,,,,,,,,,,
2020-07-07T19:25:00.177Z,135,116,,3234,58,,,,,,,,,,
2020-07-08T07:31:44.197Z,136,117,,3247,46,,,,,,,,,,
2020-07-08T15:51:46.940Z,139,120,,3280,51,,,,,,,,,,
2020-07-08T19:34:17.600Z,141,122,,3316,53,,,,,,,,,,
2020-07-09T07:16:21.100Z,141,122,,3325,44,,,,,,,,,,
2020-07-09T15:38:11.660Z,146,127,,3367,49,,,,,,,,,,
2020-07-10T04:16:29.737Z,147,128,,3379,39,,,,,,,,,,
2020-07-10T07:28:43.630Z,147,128,,3381,39,,,,,,,,,,
2020-07-10T14:20:07.117Z,147,128,,3391,39,,,,,,,,,,
2020-07-11T17:08:38.350Z,151,131,,3427,29,,,,,,,,,,
2020-07-11T19:41:22.557Z,151,131,,3427,29,,,,,,,,,,
2020-07-12T07:32:17.937Z,155,134,,3467,29,,,,,,,,,,
2020-07-12T15:55:03.303Z,156,135,,3485,30,,,,,,,,,,
2020-07-13T12:16:23.697Z,160,137,,3524,30,,,,,,,,,,
2020-07-13T13:19:16.637Z,160,137,,3526,30,,,,,,,,,,
2020-07-13T19:28:55.597Z,160,137,,3546,30,,,,,,,,,,
2020-07-14T07:14:06.710Z,163,140,,3569,29,,,,,,,,,,
2020-07-14T20:02:00.000Z,171,148,,366,37,,,,,,,,,,
2020-07-15T07:32:13.567Z,171,148,,291,30,,,,,,,,,,
2020-07-15T15:35:31.323Z,171,147,,304,30,,,,,,,,,,
2020-07-15T19:29:13.910Z,175,149,,329,34,,,,,,,,,,
2020-07-16T07:40:17.937Z,175,149,,278,28,,,,,,,,,,
2020-07-16T15:42:35.290Z,175,148,,291,28,,,,,,,,,,
2020-07-16T19:09:09.317Z,176,149,,298,29,,,,,,,,,,
2020-07-17T07:18:52.977Z,181,150,,312,33,,,,,,,,,,
