Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,83,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,86,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,87,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,87,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,87,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,90,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,91,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,94,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,94,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,96,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,103,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,105,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,106,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,107,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,109,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,109,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,110,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,110,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,110,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,116,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,116,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,117,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,117,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,117,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,117,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,120,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,120,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,122,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,124,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,125,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,127,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,127,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,127,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,129,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,130,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,132,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,132,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,135,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,142,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,142,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,143,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,152,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,152,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,153,77,,11582,30,,,,,,,,,,
2020-07-06T15:56:00.557Z,155,79,,11689,32,,,,,,,,,,
2020-07-07T05:00:26.417Z,159,83,,11776,33,,,,,,,,,,
2020-07-07T07:17:42.693Z,159,83,,11790,33,,,,,,,,,,
2020-07-07T15:43:32.247Z,165,89,,11911,39,,,,,,,,,,
2020-07-07T19:25:00.177Z,169,93,,11983,43,,,,,,,,,,
2020-07-08T07:31:44.197Z,169,92,,12029,41,,,,,,,,,,
2020-07-08T15:51:46.940Z,170,93,,12105,44,,,,,,,,,,
2020-07-08T19:34:17.600Z,171,93,,12176,45,,,,,,,,,,
2020-07-09T07:16:21.100Z,173,96,,12266,44,,,,,,,,,,
2020-07-09T15:38:11.660Z,179,102,,12428,50,,,,,,,,,,
2020-07-10T04:16:29.737Z,180,103,,12565,44,,,,,,,,,,
2020-07-10T07:28:43.630Z,181,104,,12582,45,,,,,,,,,,
2020-07-10T14:20:07.117Z,187,110,,12688,51,,,,,,,,,,
2020-07-11T17:08:38.350Z,194,116,,12887,53,,,,,,,,,,
2020-07-11T19:41:22.557Z,194,116,,12887,53,,,,,,,,,,
2020-07-12T07:32:17.937Z,196,117,,13032,45,,,,,,,,,,
2020-07-12T15:55:03.303Z,195,116,,13098,45,,,,,,,,,,
2020-07-13T12:16:23.697Z,202,120,,13243,47,,,,,,,,,,
2020-07-13T13:19:16.637Z,202,120,,13257,47,,,,,,,,,,
2020-07-13T19:28:55.597Z,207,124,,13331,52,,,,,,,,,,
2020-07-14T07:14:06.710Z,214,131,,13447,48,,,,,,,,,,
2020-07-14T20:02:00.000Z,216,132,,1610,50,,,,,,,,,,
2020-07-15T07:32:13.567Z,217,133,,1452,43,,,,,,,,,,
2020-07-15T15:35:31.323Z,227,143,,1577,53,,,,,,,,,,
2020-07-15T19:29:13.910Z,232,148,,1640,58,,,,,,,,,,
2020-07-16T07:40:17.937Z,237,153,,1499,56,,,,,,,,,,
2020-07-16T15:42:35.290Z,241,157,,1622,60,,,,,,,,,,
2020-07-16T19:09:09.317Z,246,161,,1716,64,,,,,,,,,,
2020-07-17T07:18:52.977Z,248,163,,1521,57,,,,,,,,,,
2020-07-17T15:27:31.690Z,250,163,,1593,59,,,,,,,,,,
2020-07-18T19:46:54.420Z,262,170,,1780,67,,,,,,,,,,
2020-07-19T07:20:25.537Z,261,168,,1728,62,,,,,,,,,,
2020-07-19T15:47:25.010Z,266,172,,1782,67,,,,,,,,,,
2020-07-19T19:39:30.623Z,270,174,,1847,71,,,,,,,,,,
2020-07-20T07:39:43.380Z,274,177,,1677,64,,,,,,,,,,
2020-07-20T16:08:51.117Z,282,185,,1917,72,,,,,,,,,,
2020-07-20T19:37:52.507Z,282,185,,1935,72,,,,,,,,,,
2020-07-21T07:10:01.260Z,288,190,,1761,68,,,,,,,,,,
2020-07-21T15:44:09.447Z,295,194,,1867,75,,,,,,,,,,
2020-07-21T19:34:08.533Z,299,195,,1964,80,,,,,,,,,,
2020-07-22T07:21:49.913Z,304,200,,1752,71,,,,,,,,,,
2020-07-22T16:17:18.653Z,318,213,,1922,85,,,,,,,,,,
2020-07-22T19:32:45.860Z,319,213,,1967,86,,,,,,,,,,
2020-07-23T07:43:44.770Z,322,214,,1731,76,,,,,,,,,,
2020-07-23T15:47:26.380Z,323,213,,1819,77,,,,,,,,,,
2020-07-23T19:45:09.340Z,324,214,,1914,79,,,,,,,,,,
2020-07-24T07:25:49.703Z,325,211,,1811,75,,,,,,,,,,
2020-07-24T14:58:49.413Z,327,212,,1963,77,,,,,,,,,,
2020-07-25T16:46:57.223Z,334,219,,1659,74,,,,,,,,,,
2020-07-25T19:33:21.280Z,335,220,,1679,75,,,,,,,,,,
2020-07-26T07:34:22.503Z,336,221,,1671,66,,,,,,,,,,
2020-07-26T16:24:05.187Z,338,222,,1699,68,,,,,,,,,,
