Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,466,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,494,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,510,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,510,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,16,<15,13,55,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,16,<15,0,55,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,13,57,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,13,57,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,16,<15,13,53,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,16,<15,13,53,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,16,<15,13,55,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,16,<15,13,57,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,16,<15,13,46,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,16,<15,13,47,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,16,<15,13,48,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,16,<15,13,55,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,16,<15,13,38,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,16,<15,13,45,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,16,<15,13,47,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,17,<15,15,47,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,17,<15,15,47,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,17,<15,15,42,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,17,<15,15,42,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,17,<15,15,43,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,17,<15,15,45,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,17,<15,15,39,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,17,<15,15,39,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,18,<15,16,41,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,19,<15,18,42,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,19,<15,16,36,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,19,<15,16,36,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,22,<15,22,43,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,22,<15,22,44,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,22,<15,22,44,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,22,<15,22,46,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,22,<15,22,50,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,22,<15,22,52,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,22,<15,20,47,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,22,<15,20,49,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,22,<15,20,53,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,22,<15,20,53,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,22,<15,20,42,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,22,<15,20,44,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,22,<15,20,49,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,22,<15,18,49,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,22,<15,18,49,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,22,<15,18,45,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,22,<15,18,45,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,22,<15,18,48,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,22,<15,18,48,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,22,<15,18,48,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,22,<15,18,50,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,22,<15,18,50,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,22,<15,18,38,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,22,<15,18,40,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,22,<15,18,43,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,22,<15,18,49,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,22,<15,18,39,0,,,,,,,,,,
2020-08-12T07:25:05.527Z,22,<15,18,39,0,,,,,,,,,,
2020-08-12T15:17:58.400Z,22,<15,18,47,0,,,,,,,,,,
2020-08-12T19:11:10.037Z,22,<15,18,47,0,,,,,,,,,,
2020-08-13T03:25:43.083Z,22,<15,15,45,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,22,<15,15,46,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,22,<15,15,61,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,22,<15,15,62,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,22,<15,15,53,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,22,<15,15,53,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,22,<15,15,65,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,22,<15,15,74,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,22,<15,15,74,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,23,<15,16,73,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,23,<15,16,73,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,23,<15,16,78,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,23,<15,16,79,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,23,<15,16,81,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,24,<15,18,84,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,24,<15,15,73,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,24,<15,15,74,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,24,<15,13,82,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,24,<15,13,83,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,25,<15,15,82,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,26,<15,16,85,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,26,<15,15,91,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,26,<15,15,93,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,26,<15,15,74,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,26,<15,15,74,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,26,<15,15,80,1-5,,,,,,,,,,
2020-08-20T20:06:10.983Z,26,<15,15,80,1-5,,,,,,,,,,
2020-08-21T14:16:16.233Z,26,<15,7,79,1-5,,,,,,,,,,
2020-08-22T16:59:01.583Z,26,<15,7,75,1-5,,,,,,,,,,
2020-08-22T19:30:43.107Z,27,<15,9,76,1-5,,,,,,,,,,
2020-08-23T03:21:42.033Z,27,<15,9,70,1-5,,,,,,,,,,
2020-08-23T07:36:27.623Z,27,<15,9,70,1-5,,,,,,,,,,
2020-08-23T16:06:03.420Z,27,<15,9,73,1-5,,,,,,,,,,
2020-08-23T19:24:52.200Z,27,<15,9,74,1-5,,,,,,,,,,
2020-08-24T03:42:44.113Z,27,<15,9,63,1-5,,,,,,,,,,
2020-08-24T06:59:28.390Z,27,<15,9,64,1-5,,,,,,,,,,
2020-08-24T15:46:46.347Z,27,<15,9,67,1-5,,,,,,,,,,
2020-08-24T19:04:20.180Z,27,<15,9,69,1-5,,,,,,,,,,
2020-08-25T04:04:12.517Z,27,<15,7,54,1-5,,,,,,,,,,
2020-08-25T07:23:14.767Z,27,<15,7,54,1-5,,,,,,,,,,
2020-08-25T15:24:02.787Z,28,<15,7,63,1-5,,,,,,,,,,
2020-08-25T18:55:55.140Z,28,<15,7,69,1-5,,,,,,,,,,
2020-08-26T03:18:59.150Z,28,<15,7,63,1-5,,,,,,,,,,
2020-08-26T07:35:29.937Z,28,<15,7,66,1-5,,,,,,,,,,
2020-08-26T19:35:18.907Z,27,<15,5,69,1-5,,,,,,,,,,
2020-08-27T04:08:48.710Z,27,<15,5,63,1-5,,,,,,,,,,
2020-08-27T07:26:57.270Z,27,<15,5,64,1-5,,,,,,,,,,
2020-08-27T16:50:40.630Z,27,<15,5,68,1-5,,,,,,,,,,
2020-08-27T18:51:47.520Z,27,<15,5,70,1-5,,,,,,,,,,
2020-08-28T08:08:31.860Z,28,<15,7,63,1-5,,,,,,,,,,
2020-08-28T14:24:05.103Z,27,<15,5,64,1-5,,,,,,,,,,
2020-08-29T17:06:08.920Z,27,<15,5,62,0,,,,,,,,,,
2020-08-29T19:08:02.117Z,28,<15,7,63,1-5,,,,,,,,,,
2020-08-30T04:31:21.867Z,28,<15,7,60,1-5,,,,,,,,,,
2020-08-30T07:15:32.680Z,29,<15,7,60,1-5,,,,,,,,,,
2020-08-30T15:55:07.603Z,29,<15,7,65,1-5,,,,,,,,,,
2020-08-31T07:06:04.153Z,29,<15,7,62,1-5,,,,,,,,,,
2020-08-31T19:12:35.257Z,31,<15,9,71,1-5,,,,,,,,,,
2020-09-01T03:44:24.423Z,31,<15,9,48,1-5,,,,,,,,,,
