Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,1259,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,1265,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,1283,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,15,<15,,1292,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,15,<15,,1298,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,15,<15,,1300,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,16,<15,,1307,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,16,<15,,1311,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,16,<15,,1311,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,16,<15,,1316,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,18,<15,,1325,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,18,<15,,1327,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,18,<15,,1327,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,18,<15,,1328,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,18,<15,,1330,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,19,<15,,68,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,18,<15,,63,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,18,<15,,65,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,18,<15,,68,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,18,<15,,68,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,17,<15,,72,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,18,<15,,76,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,20,<15,,95,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,20,<15,,104,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,20,<15,,118,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,20,<15,,107,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,20,<15,,109,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,20,<15,,109,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,20,<15,,116,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,20,<15,,126,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,20,<15,,130,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,20,<15,,128,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,20,<15,,143,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,20,<15,,145,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,20,<15,,144,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,20,<15,,152,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,22,<15,,128,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,22,<15,,139,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,22,<15,10,106,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,22,<15,0,106,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,22,<15,9,106,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,22,<15,9,107,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,22,<15,9,97,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,22,<15,9,98,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,22,<15,9,106,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,22,<15,9,108,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,22,<15,7,88,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,23,<15,8,94,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,26,<15,9,102,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,26,<15,9,107,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,26,<15,9,87,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,26,<15,9,100,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,26,<15,9,108,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,27,<15,9,97,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,27,<15,9,99,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,27,<15,9,93,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,27,<15,9,93,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,27,<15,9,100,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,27,<15,9,121,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,27,<15,8,105,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,27,<15,8,107,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,28,<15,9,113,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,28,<15,9,118,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,28,<15,9,112,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,28,<15,9,114,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,28,<15,9,124,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,28,<15,9,131,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,28,<15,9,121,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,28,<15,9,124,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,28,<15,9,128,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,28,<15,9,133,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,28,<15,9,118,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,28,<15,9,119,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,28,<15,9,151,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,28,<15,9,155,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,28,<15,9,127,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,29,<15,10,137,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,29,<15,10,168,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,29,<15,8,173,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,29,<15,8,173,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,29,<15,8,146,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,29,<15,8,146,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,29,<15,8,150,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,29,<15,8,153,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,29,<15,7,148,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,30,<15,7,164,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,31,<15,8,167,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,31,<15,8,148,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,32,<15,9,156,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,32,<15,9,171,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,32,<15,9,175,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,33,<15,10,159,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,33,<15,10,167,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,34,<15,11,178,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,34,<15,11,180,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,34,<15,11,146,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,35,<15,12,149,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,35,<15,12,178,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,35,<15,12,185,6-10,,,,,,,,,,
2020-08-14T04:07:12.977Z,35,<15,11,138,6-10,,,,,,,,,,
2020-08-14T07:09:23.630Z,35,<15,11,145,6-10,,,,,,,,,,
2020-08-14T14:40:20.690Z,38,15,14,184,6-10,,,,,,,,,,
2020-08-15T17:25:39.157Z,39,16,15,193,6-10,,,,,,,,,,
2020-08-15T19:20:16.850Z,39,16,15,193,6-10,,,,,,,,,,
2020-08-16T03:40:33.850Z,39,16,15,193,6-10,,,,,,,,,,
2020-08-16T07:05:21.820Z,39,16,15,194,6-10,,,,,,,,,,
2020-08-16T15:53:14.997Z,39,16,15,205,6-10,,,,,,,,,,
2020-08-17T07:41:16.500Z,42,19,18,194,11-14,,,,,,,,,,
2020-08-17T15:51:53.560Z,43,20,19,200,11-14,,,,,,,,,,
2020-08-17T19:45:07.133Z,43,20,19,206,11-14,,,,,,,,,,
2020-08-18T03:43:43.340Z,43,20,19,179,6-10,,,,,,,,,,
2020-08-18T07:12:06.963Z,43,20,19,184,6-10,,,,,,,,,,
2020-08-18T16:09:29.920Z,43,18,17,198,6-10,,,,,,,,,,
2020-08-18T18:55:23.410Z,43,18,17,202,6-10,,,,,,,,,,
2020-08-19T04:45:32.057Z,43,18,17,189,6-10,,,,,,,,,,
2020-08-19T07:38:12.840Z,44,19,18,193,6-10,,,,,,,,,,
2020-08-19T17:09:53.377Z,47,22,21,209,11-14,,,,,,,,,,
2020-08-19T19:17:48.483Z,47,22,21,212,11-14,,,,,,,,,,
2020-08-20T04:10:29.010Z,47,22,21,179,11-14,,,,,,,,,,
2020-08-20T07:18:04.130Z,47,22,21,183,11-14,,,,,,,,,,
2020-08-20T15:31:52.293Z,48,22,21,211,11-14,,,,,,,,,,
