Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,553,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,575,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,578,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,579,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,588,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,590,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,594,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,598,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,599,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,624,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,16,<15,,672,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,17,<15,,86,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,17,<15,,79,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,17,<15,,86,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,17,<15,,91,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,18,<15,,84,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,20,<15,,92,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,20,<15,,104,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,20,<15,,96,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,22,15,,106,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,22,15,,101,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,22,15,,95,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,23,16,,109,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,23,16,,109,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,23,16,,96,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,23,16,,98,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,23,16,,101,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,23,16,,100,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,24,17,,105,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,24,17,,111,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,24,17,,96,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,24,17,,99,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,24,17,,102,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,24,17,,75,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,24,17,,80,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,24,17,,82,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,24,17,,73,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,25,18,,81,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,25,18,,75,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,25,18,,76,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,25,18,,64,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,26,19,,65,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,26,19,,67,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,26,18,,50,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,26,18,,56,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,26,18,,58,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,<15,16,47,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,<15,0,47,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,26,<15,16,51,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,26,<15,16,52,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,<15,14,46,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,27,<15,16,47,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,28,<15,17,51,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,28,<15,17,53,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,28,<15,14,40,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,28,<15,14,40,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,28,<15,8,42,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,28,<15,8,45,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,28,<15,8,33,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,28,<15,8,35,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,28,<15,8,36,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,29,<15,10,44,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,29,<15,10,52,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,29,<15,8,49,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,30,<15,10,50,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,30,<15,10,55,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,30,<15,10,58,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,30,<15,10,50,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,30,<15,10,62,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,30,<15,10,70,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,30,<15,10,84,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,30,<15,10,81,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,30,<15,10,83,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,30,<15,10,86,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,30,<15,10,87,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,30,<15,10,84,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,30,<15,10,84,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,34,<15,14,98,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,34,<15,14,104,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,34,<15,13,106,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,34,<15,13,108,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,33,<15,12,111,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,33,<15,12,111,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,33,<15,12,99,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,33,<15,12,101,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,33,<15,12,107,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,33,<15,12,105,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,33,<15,12,105,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,33,<15,12,97,1-5,,,,,,,,,,
