Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,<15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,<15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,210,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,210,0,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,211,0,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,211,0,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,212,0,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,214,0,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,214,0,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,217,0,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,221,0,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,224,0,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,224,0,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,225,0,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,237,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,41,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,<15,<15,,53,<15,,,,,,,,,,
