Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,33,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,34,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,34,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,34,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,34,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,34,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,34,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,34,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,34,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,34,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,34,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,34,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,34,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,34,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,34,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,34,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,37,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,37,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,37,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,37,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,37,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,37,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,37,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,38,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,38,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,39,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,39,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,39,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,39,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,41,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,42,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,43,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,44,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,44,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,46,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,46,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,49,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,49,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,50,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,50,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,50,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,53,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,53,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,55,25,,5026,16,,,,,,,,,,
2020-07-06T15:56:00.557Z,58,28,,5156,19,,,,,,,,,,
2020-07-07T05:00:26.417Z,58,28,,5179,17,,,,,,,,,,
2020-07-07T07:17:42.693Z,58,28,,5198,17,,,,,,,,,,
2020-07-07T15:43:32.247Z,59,28,,5258,18,,,,,,,,,,
2020-07-07T19:25:00.177Z,59,28,,5267,18,,,,,,,,,,
2020-07-08T07:31:44.197Z,59,28,,5274,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,61,30,,5322,16,,,,,,,,,,
2020-07-08T19:34:17.600Z,62,31,,5337,17,,,,,,,,,,
2020-07-09T07:16:21.100Z,63,32,,5352,16,,,,,,,,,,
2020-07-09T15:38:11.660Z,63,32,,5406,16,,,,,,,,,,
2020-07-10T04:16:29.737Z,63,32,,5426,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,63,32,,5426,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,63,32,,5454,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,64,32,,5513,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,64,32,,5513,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,64,32,,5573,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,63,31,,5591,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,64,32,,5651,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,64,32,,5651,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,64,32,,5673,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,64,32,,5683,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,69,37,,472,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,69,37,,423,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,70,36,,463,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,70,35,,473,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,70,35,,409,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,73,38,,447,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,73,38,,470,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,77,40,,450,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,76,38,,613,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,81,43,,610,19,,,,,,,,,,
2020-07-19T07:20:25.537Z,81,43,,569,19,,,,,,,,,,
2020-07-19T15:47:25.010Z,83,45,,584,21,,,,,,,,,,
2020-07-19T19:39:30.623Z,83,44,,601,21,,,,,,,,,,
2020-07-20T07:39:43.380Z,84,44,,571,22,,,,,,,,,,
2020-07-20T16:08:51.117Z,89,47,,633,27,,,,,,,,,,
2020-07-20T19:37:52.507Z,91,49,,654,29,,,,,,,,,,
2020-07-21T07:10:01.260Z,93,50,,616,27,,,,,,,,,,
2020-07-21T15:44:09.447Z,96,53,,659,30,,,,,,,,,,
2020-07-21T19:34:08.533Z,96,52,,668,30,,,,,,,,,,
2020-07-22T07:21:49.913Z,97,53,,629,29,,,,,,,,,,
2020-07-22T16:17:18.653Z,99,55,,677,31,,,,,,,,,,
2020-07-22T19:32:45.860Z,99,55,,686,31,,,,,,,,,,
2020-07-23T07:43:44.770Z,99,55,,600,27,,,,,,,,,,
2020-07-23T15:47:26.380Z,104,60,,719,31,,,,,,,,,,
2020-07-23T19:45:09.340Z,104,60,,841,31,,,,,,,,,,
2020-07-24T07:25:49.703Z,106,61,,662,28,,,,,,,,,,
2020-07-24T14:58:49.413Z,105,59,,692,27,,,,,,,,,,
2020-07-25T16:46:57.223Z,107,61,,690,26,,,,,,,,,,
2020-07-25T19:33:21.280Z,107,61,,717,26,,,,,,,,,,
2020-07-26T07:34:22.503Z,108,62,,731,25,,,,,,,,,,
2020-07-26T16:24:05.187Z,109,63,,741,25,,,,,,,,,,
2020-07-26T19:12:10.287Z,109,62,,750,25,,,,,,,,,,
2020-07-27T07:17:01.273Z,111,64,,670,18,,,,,,,,,,
2020-07-27T16:04:20.010Z,114,67,,706,21,,,,,,,,,,
2020-07-27T19:25:32.007Z,115,67,,717,22,,,,,,,,,,
2020-07-28T04:31:31.657Z,117,69,,625,18,,,,,,,,,,
2020-07-28T07:41:01.270Z,120,72,,636,21,,,,,,,,,,
2020-07-28T08:57:27.217Z,119,71,14,638,20,,,,,,,,,,
2020-07-28T07:41:01.270Z,120,72,0,636,21,,,,,,,,,,
2020-07-28T15:57:37.887Z,122,73,14,677,23,,,,,,,,,,
2020-07-28T19:05:30.067Z,122,73,14,686,23,,,,,,,,,,
2020-07-29T04:22:45.457Z,122,72,14,674,21,,,,,,,,,,
2020-07-29T07:43:55.003Z,123,73,14,678,22,,,,,,,,,,
2020-07-29T15:54:50.897Z,127,77,15,750,26,,,,,,,,,,
2020-07-29T19:47:41.590Z,128,77,15,773,27,,,,,,,,,,
2020-07-30T03:34:45.407Z,128,73,14,521,23,,,,,,,,,,
2020-07-30T07:55:24.147Z,128,73,14,544,23,,,,,,,,,,
2020-07-30T15:43:54.137Z,130,57,11,588,25,,,,,,,,,,
2020-07-30T19:25:51.573Z,133,60,12,659,28,,,,,,,,,,
2020-07-31T03:50:21.007Z,134,61,12,603,26,,,,,,,,,,
2020-07-31T07:43:12.217Z,134,61,12,642,26,,,,,,,,,,
2020-07-31T14:53:21.500Z,135,62,12,683,27,,,,,,,,,,
2020-08-01T16:50:00.920Z,138,62,12,758,29,,,,,,,,,,
2020-08-01T19:55:08.933Z,138,62,12,759,29,,,,,,,,,,
2020-08-02T03:33:43.373Z,139,61,12,735,30,,,,,,,,,,
2020-08-02T07:36:18.830Z,139,61,12,735,30,,,,,,,,,,
2020-08-02T14:56:26.230Z,138,60,12,746,29,,,,,,,,,,
2020-08-02T19:40:45.250Z,139,61,12,779,30,,,,,,,,,,
2020-08-03T04:12:58.747Z,139,54,11,777,24,,,,,,,,,,
2020-08-03T07:31:19.470Z,141,56,11,824,26,,,,,,,,,,
2020-08-03T15:51:59.413Z,143,58,11,851,28,,,,,,,,,,
2020-08-03T19:19:51.413Z,143,57,11,903,28,,,,,,,,,,
2020-08-04T04:24:01.137Z,145,58,11,829,22,,,,,,,,,,
2020-08-04T07:09:49.710Z,145,58,11,845,22,,,,,,,,,,
2020-08-04T16:04:10.740Z,146,59,12,875,22,,,,,,,,,,
2020-08-04T19:23:52.547Z,148,61,12,893,24,,,,,,,,,,
2020-08-05T04:07:11.650Z,148,60,12,813,19,,,,,,,,,,
2020-08-05T07:07:34.267Z,150,62,12,823,21,,,,,,,,,,
2020-08-05T15:57:55.180Z,152,63,12,854,23,,,,,,,,,,
2020-08-05T19:15:38.693Z,157,68,13,877,28,,,,,,,,,,
2020-08-06T03:52:50.220Z,157,66,13,818,23,,,,,,,,,,
2020-08-06T07:26:05.917Z,157,66,13,829,23,,,,,,,,,,
2020-08-06T15:55:31.993Z,160,69,13,921,26,,,,,,,,,,
2020-08-06T19:15:44.523Z,163,72,14,940,29,,,,,,,,,,
2020-08-07T03:46:04.500Z,163,70,14,765,25,,,,,,,,,,
2020-08-07T08:10:09.393Z,165,72,14,787,27,,,,,,,,,,
2020-08-07T14:40:50.180Z,166,73,14,850,28,,,,,,,,,,
2020-08-08T16:45:50.553Z,170,72,14,808,32,,,,,,,,,,
2020-08-08T19:27:22.153Z,170,72,14,808,32,,,,,,,,,,
2020-08-09T04:06:23.703Z,170,71,14,760,30,,,,,,,,,,
2020-08-09T07:14:20.263Z,169,70,14,760,30,,,,,,,,,,
