Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,15,,,,,,,,,,,,,,
2020-07-07T19:25:00.177Z,16,<15,,314,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,19,<15,,339,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,19,<15,,375,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,19,<15,,381,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,19,<15,,386,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,19,<15,,388,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,19,<15,,392,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,19,<15,,75,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,21,<15,,65,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,21,<15,,68,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,21,<15,,68,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,21,<15,,61,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,21,<15,,61,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,22,<15,,55,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,23,<15,,56,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,23,<15,,51,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,23,<15,,52,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,23,<15,,53,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,23,<15,,43,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,23,<15,,46,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,24,<15,,44,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,24,<15,,39,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,24,<15,,39,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,<15,42,40,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,<15,0,39,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,26,<15,42,44,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,26,<15,42,45,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,<15,42,28,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,26,<15,42,30,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,26,<15,42,32,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,28,15,49,37,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,28,<15,46,31,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,28,<15,46,31,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,29,<15,26,35,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,29,<15,26,36,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,29,<15,26,35,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,29,<15,26,37,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,30,<15,29,39,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,31,<15,33,39,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,31,<15,33,39,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,31,<15,33,33,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,31,<15,33,33,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,31,<15,33,35,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,31,<15,33,35,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,31,<15,29,34,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,31,<15,29,34,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,31,<15,29,35,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,31,<15,29,37,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,31,<15,26,31,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,31,<15,26,34,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,31,<15,23,37,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,31,<15,23,40,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,31,<15,23,30,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,31,<15,23,30,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,31,<15,23,32,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,31,<15,23,32,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,31,<15,20,28,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,31,<15,20,28,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,32,<15,23,30,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,32,<15,23,31,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,32,<15,23,24,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,32,<15,23,24,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,33,<15,26,29,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,33,<15,23,29,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,33,<15,23,29,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,33,<15,23,26,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,33,<15,23,27,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,33,<15,23,27,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,33,<15,23,28,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,33,<15,23,22,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,33,<15,23,24,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,33,<15,23,24,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,33,<15,16,15,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,33,<15,16,15,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,33,<15,16,16,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,33,<15,16,17,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,33,<15,16,14,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,33,<15,16,16,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,33,<15,16,20,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,34,<15,20,21,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,34,<15,20,20,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,34,<15,20,20,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,34,<15,20,22,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,34,<15,20,23,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,34,<15,20,18,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,34,<15,20,18,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,34,<15,16,19,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,34,<15,16,24,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,34,<15,16,24,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,34,<15,16,22,0,,,,,,,,,,
2020-08-16T07:05:21.820Z,34,<15,16,23,0,,,,,,,,,,
