Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,67,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,67,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,68,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,68,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,68,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,68,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,68,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,68,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,68,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,69,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,69,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,69,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,70,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,70,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,72,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,72,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,76,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,78,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,78,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,84,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,84,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,84,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,84,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,84,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,84,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,85,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,86,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,87,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,87,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,87,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,87,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,88,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,88,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,89,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,90,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,93,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,95,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,95,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,100,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,101,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,100,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,100,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,100,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,100,34,,4695,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,100,34,,4719,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,100,34,,4744,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,100,34,,4755,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,102,36,,4775,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,102,36,,4802,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,104,38,,4873,15,,,,,,,,,,
2020-07-08T15:51:46.940Z,105,39,,4906,16,,,,,,,,,,
2020-07-08T19:34:17.600Z,106,40,,4927,17,,,,,,,,,,
2020-07-09T07:16:21.100Z,106,40,,4953,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,106,40,,5084,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,107,40,,5158,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,107,40,,5170,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,108,41,,5216,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,108,41,,5275,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,108,41,,5275,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,109,42,,5329,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,109,42,,5351,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,109,42,,5418,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,110,43,,5448,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,114,47,,5476,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,114,47,,5494,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,114,46,,854,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,114,46,,792,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,114,46,,809,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,114,46,,829,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,115,47,,664,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,115,46,,673,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,116,45,,696,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,116,44,,598,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,116,43,,640,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,119,44,,641,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,122,45,,627,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,122,45,,638,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,123,46,,648,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,126,48,,613,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,126,46,,641,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,125,44,,651,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,125,42,,425,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,127,43,,441,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,128,44,,471,15,,,,,,,,,,
2020-07-22T07:21:49.913Z,129,45,,452,15,,,,,,,,,,
