Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,<15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,1212,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,1228,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,1228,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,1235,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,1239,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,1242,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,1251,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,1299,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,1300,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,1307,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,<15,<15,,1315,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,1320,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,<15,<15,,109,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,19,<15,,181,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,20,<15,,194,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,20,<15,,160,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,20,<15,,188,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,20,<15,,197,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,24,16,,202,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,24,16,,217,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,24,16,,240,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,25,16,,255,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,25,15,,278,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,26,15,,284,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,26,15,,285,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,31,20,,300,15,,,,,,,,,,
2020-07-26T16:24:05.187Z,31,20,,310,15,,,,,,,,,,
2020-07-26T19:12:10.287Z,31,20,,313,15,,,,,,,,,,
2020-07-27T07:17:01.273Z,31,20,,263,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,31,19,,300,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,31,19,,322,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,31,19,,284,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,31,18,,288,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,31,18,7,297,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,31,18,0,288,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,31,17,6,309,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,31,17,6,314,11-14,,,,,,,,,,
2020-07-29T04:22:45.457Z,31,17,6,273,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,31,17,6,318,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,32,18,7,380,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,32,18,7,394,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,32,18,7,346,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,32,18,7,348,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,35,18,7,365,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,35,18,7,373,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,35,18,7,320,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,35,18,7,337,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,36,19,7,350,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,36,18,7,328,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,36,18,7,328,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,36,18,7,312,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,36,18,7,312,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,36,18,7,313,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,36,18,7,316,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,36,15,6,256,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,36,15,6,263,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,36,15,6,271,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,36,15,6,272,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,37,<15,5,243,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,39,15,6,246,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,39,15,6,257,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,45,21,8,270,11-14,,,,,,,,,,
2020-08-05T04:07:11.650Z,45,20,8,142,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,45,20,8,143,11-14,,,,,,,,,,
2020-08-05T15:57:55.180Z,49,24,9,186,17,,,,,,,,,,
2020-08-05T19:15:38.693Z,49,24,9,207,17,,,,,,,,,,
2020-08-06T03:52:50.220Z,49,20,8,186,11-14,,,,,,,,,,
2020-08-06T07:26:05.917Z,51,22,8,203,16,,,,,,,,,,
2020-08-06T15:55:31.993Z,51,22,8,229,16,,,,,,,,,,
2020-08-06T19:15:44.523Z,51,22,8,239,16,,,,,,,,,,
2020-08-07T03:46:04.500Z,51,22,8,199,15,,,,,,,,,,
2020-08-07T08:10:09.393Z,51,22,8,215,15,,,,,,,,,,
2020-08-07T14:40:50.180Z,55,26,10,230,19,,,,,,,,,,
2020-08-08T16:45:50.553Z,57,25,10,279,21,,,,,,,,,,
2020-08-08T19:27:22.153Z,57,25,10,281,21,,,,,,,,,,
2020-08-09T04:06:23.703Z,57,25,10,278,21,,,,,,,,,,
2020-08-09T07:14:20.263Z,57,25,10,278,21,,,,,,,,,,
2020-08-09T16:06:33.187Z,57,25,10,284,21,,,,,,,,,,
2020-08-09T19:26:37.877Z,57,25,10,291,21,,,,,,,,,,
2020-08-10T07:20:10.150Z,57,25,10,281,21,,,,,,,,,,
2020-08-10T15:48:14.683Z,57,25,10,311,21,,,,,,,,,,
2020-08-10T19:33:40.523Z,58,26,10,313,21,,,,,,,,,,
2020-08-11T03:33:09.120Z,58,25,10,275,11-14,,,,,,,,,,
2020-08-11T07:23:01.417Z,58,25,10,283,11-14,,,,,,,,,,
2020-08-11T16:01:33.767Z,58,25,10,308,11-14,,,,,,,,,,
2020-08-11T19:11:26.837Z,58,25,10,313,11-14,,,,,,,,,,
2020-08-12T03:47:07.760Z,58,23,9,253,6-10,,,,,,,,,,
2020-08-12T07:25:05.527Z,58,23,9,254,6-10,,,,,,,,,,
2020-08-12T15:17:58.400Z,58,23,9,269,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,58,23,9,272,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,58,23,9,239,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,58,23,9,243,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,59,24,9,258,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,59,24,9,260,6-10,,,,,,,,,,
