Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,<15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,<15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,<15,,,,,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,587,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,594,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,602,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,615,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,615,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,18,<15,,83,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,19,<15,,70,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,19,<15,,76,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,20,<15,,79,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,20,<15,,76,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,35,28,,150,27,,,,,,,,,,
2020-07-18T19:46:54.420Z,39,32,,183,30,,,,,,,,,,
2020-07-19T07:20:25.537Z,41,34,,195,32,,,,,,,,,,
2020-07-19T15:47:25.010Z,41,34,,200,32,,,,,,,,,,
2020-07-19T19:39:30.623Z,42,35,,201,33,,,,,,,,,,
2020-07-20T07:39:43.380Z,43,36,,193,32,,,,,,,,,,
2020-07-20T16:08:51.117Z,52,45,,278,41,,,,,,,,,,
2020-07-20T19:37:52.507Z,55,48,,293,44,,,,,,,,,,
2020-07-21T07:10:01.260Z,55,48,,292,44,,,,,,,,,,
2020-07-21T15:44:09.447Z,60,53,,310,49,,,,,,,,,,
2020-07-21T19:34:08.533Z,60,53,,315,49,,,,,,,,,,
2020-07-22T07:21:49.913Z,65,58,,319,47,,,,,,,,,,
2020-07-22T16:17:18.653Z,67,60,,323,49,,,,,,,,,,
2020-07-22T19:32:45.860Z,72,65,,342,54,,,,,,,,,,
2020-07-23T07:43:44.770Z,73,66,,342,53,,,,,,,,,,
2020-07-23T15:47:26.380Z,74,67,,352,54,,,,,,,,,,
2020-07-23T19:45:09.340Z,84,77,,404,64,,,,,,,,,,
2020-07-24T07:25:49.703Z,91,84,,351,54,,,,,,,,,,
2020-07-24T14:58:49.413Z,93,86,,360,56,,,,,,,,,,
2020-07-25T16:46:57.223Z,104,96,,396,63,,,,,,,,,,
2020-07-25T19:33:21.280Z,104,96,,396,63,,,,,,,,,,
2020-07-26T07:34:22.503Z,112,104,,425,70,,,,,,,,,,
2020-07-26T16:24:05.187Z,112,104,,432,70,,,,,,,,,,
2020-07-26T19:12:10.287Z,112,104,,432,70,,,,,,,,,,
2020-07-27T07:17:01.273Z,124,116,,385,69,,,,,,,,,,
2020-07-27T16:04:20.010Z,134,126,,455,79,,,,,,,,,,
2020-07-27T19:25:32.007Z,145,137,,560,90,,,,,,,,,,
2020-07-28T04:31:31.657Z,149,141,,573,88,,,,,,,,,,
2020-07-28T07:41:01.270Z,149,141,,588,88,,,,,,,,,,
2020-07-28T08:57:27.217Z,150,142,104,591,89,,,,,,,,,,
2020-07-28T07:41:01.270Z,149,141,0,588,88,,,,,,,,,,
2020-07-28T15:57:37.887Z,156,148,109,605,95,,,,,,,,,,
2020-07-28T19:05:30.067Z,157,149,110,626,96,,,,,,,,,,
2020-07-29T04:22:45.457Z,159,145,107,590,87,,,,,,,,,,
2020-07-29T07:43:55.003Z,160,146,107,598,88,,,,,,,,,,
2020-07-29T15:54:50.897Z,162,148,109,646,90,,,,,,,,,,
2020-07-29T19:47:41.590Z,164,150,110,655,92,,,,,,,,,,
2020-07-30T03:34:45.407Z,171,157,116,593,85,,,,,,,,,,
2020-07-30T07:55:24.147Z,171,157,116,594,85,,,,,,,,,,
2020-07-30T15:43:54.137Z,178,153,113,626,92,,,,,,,,,,
2020-07-30T19:25:51.573Z,179,154,113,633,93,,,,,,,,,,
2020-07-31T03:50:21.007Z,181,156,115,594,84,,,,,,,,,,
2020-07-31T07:43:12.217Z,183,158,116,613,86,,,,,,,,,,
2020-07-31T14:53:21.500Z,187,162,119,622,90,,,,,,,,,,
2020-08-01T16:50:00.920Z,192,155,114,577,82,,,,,,,,,,
2020-08-01T19:55:08.933Z,192,155,114,580,82,,,,,,,,,,
2020-08-02T03:33:43.373Z,192,155,114,562,79,,,,,,,,,,
2020-08-02T07:36:18.830Z,192,155,114,563,79,,,,,,,,,,
2020-08-02T14:56:26.230Z,192,155,114,567,79,,,,,,,,,,
2020-08-02T19:40:45.250Z,192,155,114,567,79,,,,,,,,,,
2020-08-03T04:12:58.747Z,192,144,106,283,43,,,,,,,,,,
2020-08-03T07:31:19.470Z,192,144,106,283,43,,,,,,,,,,
2020-08-03T15:51:59.413Z,193,145,107,284,43,,,,,,,,,,
2020-08-03T19:19:51.413Z,193,145,107,284,43,,,,,,,,,,
2020-08-04T04:24:01.137Z,194,140,103,231,33,,,,,,,,,,
2020-08-04T07:09:49.710Z,194,140,103,231,33,,,,,,,,,,
2020-08-04T16:04:10.740Z,197,143,105,236,36,,,,,,,,,,
2020-08-04T19:23:52.547Z,197,143,105,238,36,,,,,,,,,,
2020-08-05T04:07:11.650Z,199,139,102,179,32,,,,,,,,,,
2020-08-05T07:07:34.267Z,199,139,102,184,32,,,,,,,,,,
2020-08-05T15:57:55.180Z,204,144,106,199,37,,,,,,,,,,
2020-08-05T19:15:38.693Z,204,144,106,201,37,,,,,,,,,,
2020-08-06T03:52:50.220Z,210,111,82,165,27,,,,,,,,,,
2020-08-06T07:26:05.917Z,210,111,82,169,27,,,,,,,,,,
2020-08-06T15:55:31.993Z,212,113,83,180,29,,,,,,,,,,
2020-08-06T19:15:44.523Z,212,113,83,184,29,,,,,,,,,,
2020-08-07T03:46:04.500Z,214,109,80,155,22,,,,,,,,,,
2020-08-07T08:10:09.393Z,217,111,82,175,25,,,,,,,,,,
2020-08-07T14:40:50.180Z,217,111,82,190,25,,,,,,,,,,
2020-08-08T16:45:50.553Z,217,103,76,180,24,,,,,,,,,,
2020-08-08T19:27:22.153Z,221,107,79,201,28,,,,,,,,,,
2020-08-09T04:06:23.703Z,221,107,79,197,28,,,,,,,,,,
2020-08-09T07:14:20.263Z,221,107,79,198,28,,,,,,,,,,
2020-08-09T16:06:33.187Z,221,107,79,201,28,,,,,,,,,,
2020-08-09T19:26:37.877Z,222,108,79,221,29,,,,,,,,,,
2020-08-10T07:20:10.150Z,224,98,72,228,31,,,,,,,,,,
2020-08-10T15:48:14.683Z,224,98,72,230,31,,,,,,,,,,
2020-08-10T19:33:40.523Z,225,99,73,230,31,,,,,,,,,,
2020-08-11T03:33:09.120Z,225,89,65,227,25,,,,,,,,,,
2020-08-11T07:23:01.417Z,225,89,65,228,25,,,,,,,,,,
2020-08-11T16:01:33.767Z,227,91,67,243,27,,,,,,,,,,
2020-08-11T19:11:26.837Z,227,91,67,247,27,,,,,,,,,,
2020-08-12T03:47:07.760Z,228,83,61,219,23,,,,,,,,,,
2020-08-12T07:25:05.527Z,229,84,62,226,24,,,,,,,,,,
2020-08-12T15:17:58.400Z,229,84,62,229,24,,,,,,,,,,
2020-08-12T19:11:10.037Z,229,84,62,229,24,,,,,,,,,,
2020-08-13T03:25:43.083Z,229,79,58,183,11-14,,,,,,,,,,
2020-08-13T07:09:54.410Z,230,80,59,188,15,,,,,,,,,,
2020-08-13T16:00:11.437Z,230,79,58,191,15,,,,,,,,,,
2020-08-13T19:08:43.847Z,230,79,58,196,15,,,,,,,,,,
2020-08-14T04:07:12.977Z,231,79,58,154,11-14,,,,,,,,,,
2020-08-14T07:09:23.630Z,233,81,60,168,15,,,,,,,,,,
2020-08-14T14:40:20.690Z,233,78,57,176,15,,,,,,,,,,
2020-08-15T17:25:39.157Z,239,84,62,169,17,,,,,,,,,,
2020-08-15T19:20:16.850Z,239,84,62,169,17,,,,,,,,,,
2020-08-16T03:40:33.850Z,241,86,63,142,17,,,,,,,,,,
