Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,<15,,,,,,,,,,,,,,
2020-07-23T15:47:26.380Z,<15,<15,,60,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,<15,<15,,62,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,<15,<15,,56,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,<15,<15,,57,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,<15,<15,,55,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,<15,<15,,55,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,<15,<15,,54,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,<15,<15,,58,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,<15,<15,,58,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,<15,<15,,51,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,<15,<15,,52,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,<15,<15,,54,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,<15,<15,,38,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,37,43,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,42,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,37,51,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,37,51,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,37,46,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,37,47,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,15,<15,40,49,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,15,<15,40,49,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,15,<15,40,44,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,15,<15,40,44,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,15,<15,37,49,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,20,18,51,55,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,21,19,54,51,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,21,19,54,52,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,21,19,54,52,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,21,17,49,51,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,21,17,49,54,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,21,17,49,50,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,21,17,49,50,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,22,18,51,51,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,23,19,54,52,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,23,16,46,46,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,23,16,46,47,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,23,16,46,49,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,24,17,49,53,11-14,,,,,,,,,,
2020-08-04T04:24:01.137Z,25,17,49,36,11-14,,,,,,,,,,
2020-08-04T07:09:49.710Z,25,17,49,37,11-14,,,,,,,,,,
2020-08-04T16:04:10.740Z,25,17,49,39,11-14,,,,,,,,,,
2020-08-04T19:23:52.547Z,25,17,49,41,11-14,,,,,,,,,,
2020-08-05T04:07:11.650Z,25,17,49,36,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,25,17,49,37,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,27,19,54,39,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,27,19,54,51,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,28,20,57,44,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,28,20,57,44,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,28,20,57,67,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,33,25,71,73,11-14,,,,,,,,,,
2020-08-07T03:46:04.500Z,42,32,91,136,21,,,,,,,,,,
2020-08-07T08:10:09.393Z,42,32,91,136,21,,,,,,,,,,
2020-08-07T14:40:50.180Z,42,32,91,137,21,,,,,,,,,,
2020-08-08T16:45:50.553Z,47,36,103,141,26,,,,,,,,,,
2020-08-08T19:27:22.153Z,47,36,103,142,26,,,,,,,,,,
2020-08-09T04:06:23.703Z,48,37,106,141,25,,,,,,,,,,
2020-08-09T07:14:20.263Z,48,37,106,141,25,,,,,,,,,,
2020-08-09T16:06:33.187Z,48,37,106,142,25,,,,,,,,,,
2020-08-09T19:26:37.877Z,48,37,106,144,25,,,,,,,,,,
2020-08-10T07:20:10.150Z,48,37,106,137,23,,,,,,,,,,
2020-08-10T15:48:14.683Z,50,39,111,144,25,,,,,,,,,,
2020-08-10T19:33:40.523Z,51,40,114,147,26,,,,,,,,,,
2020-08-11T03:33:09.120Z,52,38,109,144,27,,,,,,,,,,
2020-08-11T07:23:01.417Z,53,39,111,156,28,,,,,,,,,,
2020-08-11T16:01:33.767Z,57,43,123,172,32,,,,,,,,,,
2020-08-11T19:11:26.837Z,57,43,123,185,32,,,,,,,,,,
2020-08-12T03:47:07.760Z,58,44,126,173,31,,,,,,,,,,
2020-08-12T07:25:05.527Z,64,50,143,179,37,,,,,,,,,,
2020-08-12T15:17:58.400Z,72,58,166,200,45,,,,,,,,,,
2020-08-12T19:11:10.037Z,75,60,171,210,48,,,,,,,,,,
2020-08-13T03:25:43.083Z,79,64,183,119,37,,,,,,,,,,
2020-08-13T07:09:54.410Z,79,63,180,119,37,,,,,,,,,,
2020-08-13T16:00:11.437Z,79,63,180,122,37,,,,,,,,,,
2020-08-13T19:08:43.847Z,79,63,180,125,37,,,,,,,,,,
2020-08-14T04:07:12.977Z,79,63,180,123,33,,,,,,,,,,
2020-08-14T07:09:23.630Z,79,63,180,128,33,,,,,,,,,,
2020-08-14T14:40:20.690Z,82,66,189,144,36,,,,,,,,,,
2020-08-15T17:25:39.157Z,87,71,203,200,39,,,,,,,,,,
2020-08-15T19:20:16.850Z,87,71,203,200,39,,,,,,,,,,
2020-08-16T03:40:33.850Z,87,71,203,197,39,,,,,,,,,,
2020-08-16T07:05:21.820Z,87,71,203,197,39,,,,,,,,,,
