Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,1383,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,1394,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,1406,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,1418,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,1449,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,15,<15,,1515,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,15,<15,,1539,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,15,<15,,1539,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,15,<15,,1540,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,15,<15,,1547,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,15,<15,,151,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,16,<15,,131,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,16,<15,,141,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,146,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,16,<15,,137,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,17,<15,,146,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,17,<15,,149,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,18,<15,,139,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,19,<15,,157,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,19,<15,,163,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,19,<15,,155,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,19,<15,,162,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,19,<15,,164,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,20,<15,,165,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,20,<15,,179,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,20,<15,,186,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,20,<15,,155,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,20,<15,,176,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,20,<15,,170,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,23,<15,5,135,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,<15,0,135,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,25,<15,6,150,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,25,<15,6,154,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,25,<15,6,145,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,25,<15,6,149,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,27,15,7,177,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,27,15,7,183,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,27,<15,7,155,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,27,<15,7,160,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,28,<15,5,178,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,30,<15,6,195,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,30,<15,6,176,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,32,15,7,194,11-14,,,,,,,,,,
2020-07-31T14:53:21.500Z,31,<15,7,202,11-14,,,,,,,,,,
2020-08-01T16:50:00.920Z,33,16,8,201,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,33,16,8,201,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,33,16,8,193,11-14,,,,,,,,,,
2020-08-02T07:36:18.830Z,33,16,8,194,11-14,,,,,,,,,,
2020-08-02T14:56:26.230Z,35,18,9,201,15,,,,,,,,,,
2020-08-02T19:40:45.250Z,35,18,9,208,15,,,,,,,,,,
2020-08-03T04:12:58.747Z,35,16,8,190,11-14,,,,,,,,,,
2020-08-03T07:31:19.470Z,36,17,8,192,15,,,,,,,,,,
2020-08-03T15:51:59.413Z,36,17,8,196,15,,,,,,,,,,
2020-08-03T19:19:51.413Z,37,18,9,204,16,,,,,,,,,,
2020-08-04T04:24:01.137Z,37,18,9,175,11-14,,,,,,,,,,
2020-08-04T07:09:49.710Z,38,19,9,181,11-14,,,,,,,,,,
2020-08-04T16:04:10.740Z,39,20,10,188,11-14,,,,,,,,,,
2020-08-04T19:23:52.547Z,39,20,10,199,11-14,,,,,,,,,,
2020-08-05T04:07:11.650Z,39,19,9,163,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,39,19,9,175,11-14,,,,,,,,,,
2020-08-05T15:57:55.180Z,39,19,9,187,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,39,19,9,196,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,39,19,9,172,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,39,19,9,176,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,39,19,9,217,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,41,21,10,225,11-14,,,,,,,,,,
2020-08-07T03:46:04.500Z,41,20,10,188,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,43,22,11,208,11-14,,,,,,,,,,
2020-08-07T14:40:50.180Z,46,25,12,238,15,,,,,,,,,,
2020-08-08T16:45:50.553Z,47,24,12,253,11-14,,,,,,,,,,
2020-08-08T19:27:22.153Z,47,24,12,253,11-14,,,,,,,,,,
2020-08-09T04:06:23.703Z,47,24,12,239,11-14,,,,,,,,,,
2020-08-09T07:14:20.263Z,47,24,12,239,11-14,,,,,,,,,,
2020-08-09T16:06:33.187Z,49,26,13,246,11-14,,,,,,,,,,
2020-08-09T19:26:37.877Z,49,26,13,250,11-14,,,,,,,,,,
2020-08-10T07:20:10.150Z,49,23,11,246,11-14,,,,,,,,,,
2020-08-10T15:48:14.683Z,49,23,11,265,11-14,,,,,,,,,,
2020-08-10T19:33:40.523Z,49,23,11,274,11-14,,,,,,,,,,
2020-08-11T03:33:09.120Z,49,21,10,251,6-10,,,,,,,,,,
2020-08-11T07:23:01.417Z,49,21,10,257,6-10,,,,,,,,,,
2020-08-11T16:01:33.767Z,51,23,11,280,11-14,,,,,,,,,,
2020-08-11T19:11:26.837Z,58,30,14,296,19,,,,,,,,,,
2020-08-12T03:47:07.760Z,58,29,14,252,19,,,,,,,,,,
2020-08-12T07:25:05.527Z,58,29,14,271,19,,,,,,,,,,
2020-08-12T15:17:58.400Z,59,30,14,298,20,,,,,,,,,,
2020-08-12T19:11:10.037Z,59,30,14,306,20,,,,,,,,,,
2020-08-13T03:25:43.083Z,59,30,14,248,18,,,,,,,,,,
2020-08-13T07:09:54.410Z,60,31,15,255,19,,,,,,,,,,
2020-08-13T16:00:11.437Z,61,32,15,298,20,,,,,,,,,,
2020-08-13T19:08:43.847Z,61,32,15,303,20,,,,,,,,,,
