Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,16,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,16,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,19,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,19,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,24,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,24,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,24,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,25,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,25,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,25,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,25,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,25,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,25,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,26,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,27,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,26,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,26,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,24,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,25,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,25,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,24,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,25,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,25,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,25,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,25,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,27,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,27,<15,,923,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,27,<15,,924,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,29,16,,935,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,29,16,,937,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,29,16,,939,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,29,16,,941,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,29,16,,946,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,30,17,,989,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,30,17,,1024,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,30,17,,1025,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,34,21,,1048,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,34,21,,1113,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,36,23,,1147,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,40,27,,1239,15,,,,,,,,,,
2020-07-11T17:08:38.350Z,40,27,,1424,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,40,27,,1424,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,40,27,,1514,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,42,29,,1524,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,46,33,,1570,16,,,,,,,,,,
2020-07-13T13:19:16.637Z,47,34,,1575,17,,,,,,,,,,
2020-07-13T19:28:55.597Z,48,35,,1587,18,,,,,,,,,,
2020-07-14T07:14:06.710Z,54,41,,1617,23,,,,,,,,,,
2020-07-14T20:02:00.000Z,59,45,,723,28,,,,,,,,,,
2020-07-15T07:32:13.567Z,59,45,,655,27,,,,,,,,,,
2020-07-15T15:35:31.323Z,59,45,,662,27,,,,,,,,,,
2020-07-15T19:29:13.910Z,61,47,,673,29,,,,,,,,,,
2020-07-16T07:40:17.937Z,62,48,,620,26,,,,,,,,,,
2020-07-16T15:42:35.290Z,63,49,,626,27,,,,,,,,,,
2020-07-16T19:09:09.317Z,64,50,,628,28,,,,,,,,,,
2020-07-17T07:18:52.977Z,66,52,,384,25,,,,,,,,,,
2020-07-17T15:27:31.690Z,67,52,,391,26,,,,,,,,,,
2020-07-18T19:46:54.420Z,67,51,,260,26,,,,,,,,,,
2020-07-19T07:20:25.537Z,67,51,,249,25,,,,,,,,,,
2020-07-19T15:47:25.010Z,68,51,,256,25,,,,,,,,,,
2020-07-19T19:39:30.623Z,69,52,,260,26,,,,,,,,,,
2020-07-20T07:39:43.380Z,69,52,,191,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,70,53,,201,15,,,,,,,,,,
2020-07-20T19:37:52.507Z,70,53,,204,15,,,,,,,,,,
2020-07-21T07:10:01.260Z,70,53,,136,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,71,54,,146,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,72,55,,152,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,74,57,,137,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,74,55,,151,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,74,55,,152,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,74,52,,126,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,77,55,,138,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,77,55,,139,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,77,55,,119,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,79,57,,133,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,83,61,,136,15,,,,,,,,,,
2020-07-25T19:33:21.280Z,83,60,,137,15,,,,,,,,,,
2020-07-26T07:34:22.503Z,83,60,,125,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,83,60,,127,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,83,60,,128,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,83,60,,114,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,84,61,,133,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,84,61,,138,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,84,51,,120,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,84,51,,122,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,85,52,51,123,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,84,51,0,122,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,86,53,52,144,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,87,54,53,145,15,,,,,,,,,,
2020-07-29T04:22:45.457Z,87,53,52,126,11-14,,,,,,,,,,
2020-07-29T07:43:55.003Z,87,53,52,129,11-14,,,,,,,,,,
2020-07-29T15:54:50.897Z,87,53,52,135,11-14,,,,,,,,,,
2020-07-29T19:47:41.590Z,87,53,52,137,11-14,,,,,,,,,,
2020-07-30T03:34:45.407Z,87,50,49,118,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,87,50,49,118,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,92,28,27,128,15,,,,,,,,,,
2020-07-30T19:25:51.573Z,94,30,29,140,17,,,,,,,,,,
2020-07-31T03:50:21.007Z,94,28,27,113,11-14,,,,,,,,,,
2020-07-31T07:43:12.217Z,94,28,27,115,11-14,,,,,,,,,,
