Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,54,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,52,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,53,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,53,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,53,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,53,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,54,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,55,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,55,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,55,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,56,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,56,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,57,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,58,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,61,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,62,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,64,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,64,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,64,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,71,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,71,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,71,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,71,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,71,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,72,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,74,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,76,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,76,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,78,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,78,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,79,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,81,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,80,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,81,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,85,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,85,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,85,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,86,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,94,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,94,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,98,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,101,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,102,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,105,56,,6544,28,,,,,,,,,,
2020-07-06T15:56:00.557Z,109,60,,6600,32,,,,,,,,,,
2020-07-07T05:00:26.417Z,114,65,,6692,35,,,,,,,,,,
2020-07-07T07:17:42.693Z,115,66,,6701,36,,,,,,,,,,
2020-07-07T15:43:32.247Z,121,72,,6777,42,,,,,,,,,,
2020-07-07T19:25:00.177Z,122,73,,6821,43,,,,,,,,,,
2020-07-08T07:31:44.197Z,123,74,,6869,41,,,,,,,,,,
2020-07-08T15:51:46.940Z,124,74,,6929,42,,,,,,,,,,
2020-07-08T19:34:17.600Z,125,75,,6986,43,,,,,,,,,,
2020-07-09T07:16:21.100Z,127,77,,7075,39,,,,,,,,,,
2020-07-09T15:38:11.660Z,129,79,,7170,41,,,,,,,,,,
2020-07-10T04:16:29.737Z,134,84,,7285,42,,,,,,,,,,
2020-07-10T07:28:43.630Z,136,86,,7304,44,,,,,,,,,,
2020-07-10T14:20:07.117Z,138,86,,7351,46,,,,,,,,,,
2020-07-11T17:08:38.350Z,142,90,,7486,47,,,,,,,,,,
2020-07-11T19:41:22.557Z,142,90,,7486,47,,,,,,,,,,
2020-07-12T07:32:17.937Z,148,96,,7567,42,,,,,,,,,,
2020-07-12T15:55:03.303Z,153,100,,7640,47,,,,,,,,,,
2020-07-13T12:16:23.697Z,159,105,,7782,45,,,,,,,,,,
2020-07-13T13:19:16.637Z,159,104,,7796,45,,,,,,,,,,
2020-07-13T19:28:55.597Z,160,105,,7836,47,,,,,,,,,,
2020-07-14T07:14:06.710Z,161,106,,7869,38,,,,,,,,,,
2020-07-14T20:02:00.000Z,165,108,,1132,41,,,,,,,,,,
2020-07-15T07:32:13.567Z,168,111,,982,42,,,,,,,,,,
2020-07-15T15:35:31.323Z,173,115,,1051,47,,,,,,,,,,
2020-07-15T19:29:13.910Z,173,115,,1131,47,,,,,,,,,,
2020-07-16T07:40:17.937Z,173,114,,962,41,,,,,,,,,,
2020-07-16T15:42:35.290Z,182,123,,1036,50,,,,,,,,,,
2020-07-16T19:09:09.317Z,184,124,,1098,53,,,,,,,,,,
2020-07-17T07:18:52.977Z,186,126,,1022,48,,,,,,,,,,
2020-07-17T15:27:31.690Z,188,125,,1084,50,,,,,,,,,,
2020-07-18T19:46:54.420Z,194,129,,1054,49,,,,,,,,,,
2020-07-19T07:20:25.537Z,194,129,,912,38,,,,,,,,,,
2020-07-19T15:47:25.010Z,197,132,,958,41,,,,,,,,,,
2020-07-19T19:39:30.623Z,198,133,,982,41,,,,,,,,,,
2020-07-20T07:39:43.380Z,195,128,,892,37,,,,,,,,,,
2020-07-20T16:08:51.117Z,202,135,,960,44,,,,,,,,,,
2020-07-20T19:37:52.507Z,203,135,,988,45,,,,,,,,,,
2020-07-21T07:10:01.260Z,203,135,,877,40,,,,,,,,,,
2020-07-21T15:44:09.447Z,206,137,,922,43,,,,,,,,,,
2020-07-21T19:34:08.533Z,208,139,,950,45,,,,,,,,,,
2020-07-22T07:21:49.913Z,208,139,,790,40,,,,,,,,,,
2020-07-22T16:17:18.653Z,211,142,,840,43,,,,,,,,,,
2020-07-22T19:32:45.860Z,213,140,,875,45,,,,,,,,,,
2020-07-23T07:43:44.770Z,216,139,,727,36,,,,,,,,,,
2020-07-23T15:47:26.380Z,215,136,,794,35,,,,,,,,,,
2020-07-23T19:45:09.340Z,215,135,,818,35,,,,,,,,,,
2020-07-24T07:25:49.703Z,217,132,,722,26,,,,,,,,,,
2020-07-24T14:58:49.413Z,217,130,,749,26,,,,,,,,,,
