Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,104,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,22,<15,,104,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,22,<15,,110,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,22,<15,,71,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,22,<15,,75,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,22,<15,,75,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,22,<15,,62,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,24,<15,,66,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,24,<15,,69,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,24,<15,,61,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,25,<15,,70,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,26,<15,,73,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,26,<15,,67,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,27,15,,71,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,30,18,,70,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,30,18,,72,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,34,22,,79,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,34,22,,79,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,34,22,,80,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,35,23,,71,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,36,24,,91,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,37,24,,98,15,,,,,,,,,,
2020-07-28T04:31:31.657Z,37,23,,99,15,,,,,,,,,,
2020-07-28T07:41:01.270Z,37,23,,102,15,,,,,,,,,,
2020-07-28T08:57:27.217Z,37,23,42,116,15,,,,,,,,,,
2020-07-28T07:41:01.270Z,37,23,0,102,15,,,,,,,,,,
2020-07-28T15:57:37.887Z,38,24,44,125,16,,,,,,,,,,
2020-07-28T19:05:30.067Z,38,24,44,125,16,,,,,,,,,,
2020-07-29T04:22:45.457Z,38,24,44,121,11-14,,,,,,,,,,
2020-07-29T07:43:55.003Z,38,24,44,124,11-14,,,,,,,,,,
2020-07-29T15:54:50.897Z,38,24,44,136,11-14,,,,,,,,,,
2020-07-29T19:47:41.590Z,42,28,52,154,18,,,,,,,,,,
2020-07-30T03:34:45.407Z,42,26,48,139,16,,,,,,,,,,
2020-07-30T07:55:24.147Z,42,26,48,142,16,,,,,,,,,,
2020-07-30T15:43:54.137Z,42,22,41,148,16,,,,,,,,,,
2020-07-30T19:25:51.573Z,42,22,41,154,16,,,,,,,,,,
2020-07-31T03:50:21.007Z,42,22,41,144,11-14,,,,,,,,,,
2020-07-31T07:43:12.217Z,44,24,44,157,15,,,,,,,,,,
2020-07-31T14:53:21.500Z,44,24,44,160,15,,,,,,,,,,
2020-08-01T16:50:00.920Z,46,26,48,164,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,46,26,48,164,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,46,26,48,155,11-14,,,,,,,,,,
2020-08-02T07:36:18.830Z,46,26,48,155,11-14,,,,,,,,,,
2020-08-02T14:56:26.230Z,46,26,48,159,11-14,,,,,,,,,,
2020-08-02T19:40:45.250Z,46,26,48,161,11-14,,,,,,,,,,
2020-08-03T04:12:58.747Z,46,25,46,130,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,46,25,46,133,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,46,25,46,141,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,47,26,48,142,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,47,23,42,112,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,47,23,42,112,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,47,23,42,121,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,47,23,42,121,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,47,20,37,89,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,47,20,37,91,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,49,22,41,96,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,49,22,41,97,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,49,18,33,81,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,49,18,33,82,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,50,18,33,87,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,50,18,33,89,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,50,18,33,64,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,50,18,33,64,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,51,19,35,68,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,52,16,29,65,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,52,16,29,65,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,52,16,29,58,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,52,16,29,58,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,52,16,29,58,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,52,16,29,60,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,53,17,31,43,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,53,17,31,50,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,53,17,31,50,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,53,15,28,44,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,53,15,28,44,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,53,15,28,46,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,53,15,28,48,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,53,<15,22,34,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,53,<15,22,34,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,53,<15,22,43,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,53,<15,22,46,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,53,<15,22,39,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,53,<15,22,39,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,54,<15,24,42,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,54,<15,24,44,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,54,<15,22,37,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,54,<15,22,39,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,54,<15,18,46,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,54,<15,17,46,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,54,<15,17,46,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,54,<15,15,44,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,54,<15,15,44,1-5,,,,,,,,,,
