Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,56,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,56,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,56,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,56,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,56,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,56,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,56,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,56,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,57,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,57,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,57,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,57,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,57,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,58,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,58,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,58,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,59,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,59,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,59,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,61,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,61,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,61,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,61,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,61,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,61,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,62,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,62,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,62,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,63,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,63,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,63,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,64,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,65,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,65,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,65,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,66,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,66,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,68,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,70,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,72,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,72,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,73,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,75,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,75,20,,4290,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,76,21,,4292,15,,,,,,,,,,
2020-07-07T05:00:26.417Z,75,20,,4305,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,75,20,,4312,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,75,19,,4345,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,77,21,,4467,15,,,,,,,,,,
2020-07-08T07:31:44.197Z,79,23,,4484,15,,,,,,,,,,
2020-07-08T15:51:46.940Z,80,24,,4509,16,,,,,,,,,,
2020-07-08T19:34:17.600Z,83,27,,4551,19,,,,,,,,,,
2020-07-09T07:16:21.100Z,88,31,,4654,20,,,,,,,,,,
2020-07-09T15:38:11.660Z,96,39,,4839,28,,,,,,,,,,
2020-07-10T04:16:29.737Z,98,41,,4896,29,,,,,,,,,,
2020-07-10T07:28:43.630Z,98,41,,4898,29,,,,,,,,,,
2020-07-10T14:20:07.117Z,100,43,,4919,31,,,,,,,,,,
2020-07-11T17:08:38.350Z,101,44,,4972,29,,,,,,,,,,
2020-07-11T19:41:22.557Z,101,44,,4972,29,,,,,,,,,,
2020-07-12T07:32:17.937Z,103,46,,5012,29,,,,,,,,,,
2020-07-12T15:55:03.303Z,104,47,,5035,30,,,,,,,,,,
2020-07-13T12:16:23.697Z,106,49,,5080,30,,,,,,,,,,
2020-07-13T13:19:16.637Z,106,49,,5080,30,,,,,,,,,,
2020-07-13T19:28:55.597Z,106,49,,5102,30,,,,,,,,,,
2020-07-14T07:14:06.710Z,107,50,,5137,30,,,,,,,,,,
2020-07-14T20:02:00.000Z,115,58,,1082,38,,,,,,,,,,
2020-07-15T07:32:13.567Z,115,58,,913,24,,,,,,,,,,
2020-07-15T15:35:31.323Z,119,61,,960,28,,,,,,,,,,
2020-07-15T19:29:13.910Z,119,61,,1001,29,,,,,,,,,,
2020-07-16T07:40:17.937Z,119,61,,881,26,,,,,,,,,,
2020-07-16T15:42:35.290Z,122,64,,946,28,,,,,,,,,,
2020-07-16T19:09:09.317Z,123,63,,963,29,,,,,,,,,,
2020-07-17T07:18:52.977Z,123,63,,919,24,,,,,,,,,,
2020-07-17T15:27:31.690Z,128,68,,946,29,,,,,,,,,,
2020-07-18T19:46:54.420Z,132,70,,965,29,,,,,,,,,,
2020-07-19T07:20:25.537Z,132,69,,900,28,,,,,,,,,,
2020-07-19T15:47:25.010Z,132,69,,921,28,,,,,,,,,,
2020-07-19T19:39:30.623Z,132,69,,954,28,,,,,,,,,,
2020-07-20T07:39:43.380Z,132,68,,576,21,,,,,,,,,,
2020-07-20T16:08:51.117Z,132,68,,602,21,,,,,,,,,,
2020-07-20T19:37:52.507Z,133,69,,612,22,,,,,,,,,,
2020-07-21T07:10:01.260Z,135,70,,566,20,,,,,,,,,,
2020-07-21T15:44:09.447Z,136,71,,588,21,,,,,,,,,,
2020-07-21T19:34:08.533Z,137,72,,607,22,,,,,,,,,,
2020-07-22T07:21:49.913Z,137,72,,496,17,,,,,,,,,,
2020-07-22T16:17:18.653Z,139,72,,511,18,,,,,,,,,,
2020-07-22T19:32:45.860Z,138,71,,521,17,,,,,,,,,,
2020-07-23T07:43:44.770Z,139,72,,413,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,141,73,,655,16,,,,,,,,,,
2020-07-23T19:45:09.340Z,142,74,,670,17,,,,,,,,,,
2020-07-24T07:25:49.703Z,144,74,,636,15,,,,,,,,,,
2020-07-24T14:58:49.413Z,145,73,,749,16,,,,,,,,,,
2020-07-25T16:46:57.223Z,145,73,,718,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,145,72,,723,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,146,73,,819,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,145,72,,819,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,145,72,,826,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,147,74,,726,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,147,73,,736,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,147,73,,741,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,148,65,,698,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,148,64,,704,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,149,65,26,714,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,148,64,0,704,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,149,67,27,820,15,,,,,,,,,,
2020-07-28T19:05:30.067Z,151,68,27,831,17,,,,,,,,,,
2020-07-29T04:22:45.457Z,151,67,27,578,16,,,,,,,,,,
2020-07-29T07:43:55.003Z,151,67,27,585,16,,,,,,,,,,
2020-07-29T15:54:50.897Z,151,67,27,597,16,,,,,,,,,,
2020-07-29T19:47:41.590Z,151,67,27,609,16,,,,,,,,,,
2020-07-30T03:34:45.407Z,151,65,26,470,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,152,64,26,538,11-14,,,,,,,,,,
2020-07-30T15:43:54.137Z,152,51,20,578,11-14,,,,,,,,,,
2020-07-30T19:25:51.573Z,152,51,20,584,11-14,,,,,,,,,,
2020-07-31T03:50:21.007Z,153,51,20,376,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,153,50,20,385,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,156,52,21,407,11-14,,,,,,,,,,
2020-08-01T16:50:00.920Z,161,55,22,472,16,,,,,,,,,,
2020-08-01T19:55:08.933Z,161,55,22,473,16,,,,,,,,,,
2020-08-02T03:33:43.373Z,161,55,22,454,15,,,,,,,,,,
2020-08-02T07:36:18.830Z,161,55,22,457,15,,,,,,,,,,
