Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,16,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,16,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,16,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,16,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,16,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,16,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,16,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,16,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,16,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,16,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,17,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,17,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,17,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,17,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,18,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,18,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,18,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,18,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,18,,,,,,,,,,,,,,
2020-07-07T15:43:32.247Z,19,<15,,850,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,20,<15,,917,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,22,<15,,93,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,22,<15,,95,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,22,<15,,77,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,22,<15,,83,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,23,<15,,55,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,23,<15,,56,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,23,<15,,37,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,23,<15,,42,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,23,<15,,48,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,23,<15,,41,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,23,<15,,55,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,23,<15,17,46,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,<15,0,45,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,23,<15,17,49,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,23,<15,17,49,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,23,<15,17,36,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,23,<15,17,39,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,23,<15,17,41,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,23,<15,17,42,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,23,<15,17,35,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,23,<15,17,36,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,23,<15,7,38,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,23,<15,7,38,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,23,<15,7,32,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,23,<15,7,33,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,23,<15,7,34,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,23,<15,7,38,0,,,,,,,,,,
2020-08-01T19:55:08.933Z,23,<15,7,38,0,,,,,,,,,,
2020-08-02T03:33:43.373Z,23,<15,7,35,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,23,<15,7,35,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,23,<15,7,35,0,,,,,,,,,,
2020-08-02T19:40:45.250Z,23,<15,7,35,0,,,,,,,,,,
2020-08-03T04:12:58.747Z,23,<15,5,25,0,,,,,,,,,,
2020-08-03T07:31:19.470Z,23,<15,5,26,0,,,,,,,,,,
2020-08-03T15:51:59.413Z,24,<15,7,27,0,,,,,,,,,,
2020-08-03T19:19:51.413Z,24,<15,7,27,0,,,,,,,,,,
2020-08-04T04:24:01.137Z,24,<15,7,21,0,,,,,,,,,,
2020-08-04T07:09:49.710Z,24,<15,7,22,0,,,,,,,,,,
2020-08-04T16:04:10.740Z,24,<15,7,25,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,24,<15,7,25,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,24,<15,5,16,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,24,<15,5,18,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,24,<15,5,21,0,,,,,,,,,,
2020-08-05T19:15:38.693Z,25,<15,7,25,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,25,<15,7,28,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,25,<15,7,29,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,25,<15,7,30,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,25,<15,7,32,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,25,<15,5,31,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,25,<15,5,33,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,25,<15,5,34,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,26,<15,7,37,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,26,<15,7,37,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,26,<15,7,37,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,26,<15,7,38,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,26,<15,7,38,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,26,<15,7,40,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,26,<15,7,40,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,26,<15,7,41,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,26,<15,7,42,1-5,,,,,,,,,,
