Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,390,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,394,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,403,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,403,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,406,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,453,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,<15,<15,,96,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,85,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,93,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,<15,<15,,93,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,15,<15,,76,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,<15,<15,,78,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,80,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,73,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,15,<15,,82,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,16,<15,,89,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,16,<15,,79,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,16,<15,,82,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,16,<15,,85,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,17,<15,,77,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,18,<15,,78,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,19,15,,72,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,19,15,,75,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,19,15,,69,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,21,17,,76,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,21,17,,80,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,21,17,,76,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,22,18,,81,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,21,17,,85,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,22,17,,76,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,25,20,,83,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,25,20,,66,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,26,21,,69,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,27,22,,66,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,27,22,,68,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,27,22,,69,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,28,23,,74,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,32,27,,83,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,33,28,,86,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,33,25,,76,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,34,26,,80,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,34,26,86,82,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,34,26,0,80,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,35,27,90,95,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,35,27,90,97,11-14,,,,,,,,,,
2020-07-29T04:22:45.457Z,36,28,93,93,11-14,,,,,,,,,,
2020-07-29T07:43:55.003Z,36,28,93,95,11-14,,,,,,,,,,
2020-07-29T15:54:50.897Z,35,27,90,94,11-14,,,,,,,,,,
2020-07-29T19:47:41.590Z,37,29,96,96,11-14,,,,,,,,,,
2020-07-30T03:34:45.407Z,37,25,83,81,11-14,,,,,,,,,,
2020-07-30T07:55:24.147Z,37,25,83,83,11-14,,,,,,,,,,
2020-07-30T15:43:54.137Z,38,22,73,86,11-14,,,,,,,,,,
2020-07-30T19:25:51.573Z,40,24,80,93,15,,,,,,,,,,
2020-07-31T03:50:21.007Z,40,24,80,82,11-14,,,,,,,,,,
2020-07-31T07:43:12.217Z,39,23,77,84,11-14,,,,,,,,,,
2020-07-31T14:53:21.500Z,39,23,77,84,11-14,,,,,,,,,,
2020-08-01T16:50:00.920Z,39,22,73,89,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,39,22,73,89,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,39,22,73,80,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,40,23,77,81,11-14,,,,,,,,,,
2020-08-02T14:56:26.230Z,41,24,80,82,11-14,,,,,,,,,,
2020-08-02T19:40:45.250Z,41,24,80,85,11-14,,,,,,,,,,
2020-08-03T04:12:58.747Z,41,24,80,69,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,42,25,83,73,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,42,25,83,74,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,42,25,83,77,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,42,24,80,55,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,42,24,80,61,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,42,24,80,64,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,44,26,86,68,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,44,24,80,62,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,44,24,80,63,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,44,24,80,65,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,44,24,80,66,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,44,20,67,55,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,44,20,67,56,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,44,20,67,59,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,44,20,67,59,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,44,18,60,52,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,44,18,60,54,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,44,18,60,56,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,44,17,57,55,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,44,17,57,55,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,44,16,53,50,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,44,16,53,50,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,44,16,53,50,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,44,16,53,51,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,45,16,53,45,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,45,16,53,48,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,45,16,53,50,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,45,16,53,35,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,45,16,53,35,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,46,17,57,39,1-5,,,,,,,,,,
