Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,2,27,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,27,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,2,31,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,2,31,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,2,25,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,2,27,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,<15,2,31,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,<15,2,31,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,<15,2,26,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,<15,2,26,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,<15,2,30,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,<15,2,33,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,<15,2,32,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,<15,2,32,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,<15,2,32,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,<15,2,30,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,2,30,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,2,29,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,<15,2,29,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,<15,<15,2,30,0,,,,,,,,,,
2020-08-02T19:40:45.250Z,<15,<15,2,30,0,,,,,,,,,,
2020-08-03T04:12:58.747Z,<15,<15,2,25,0,,,,,,,,,,
2020-08-03T07:31:19.470Z,<15,<15,2,25,0,,,,,,,,,,
2020-08-03T15:51:59.413Z,<15,<15,2,25,0,,,,,,,,,,
2020-08-03T19:19:51.413Z,<15,<15,2,27,0,,,,,,,,,,
2020-08-04T04:24:01.137Z,<15,<15,3,21,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,<15,<15,3,21,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,5,24,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,6,38,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,6,36,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,6,38,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,6,47,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,6,55,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,6,55,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,6,56,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,6,67,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,<15,<15,8,69,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,<15,<15,9,76,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,<15,<15,16,83,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,<15,<15,19,105,11-14,,,,,,,,,,
2020-08-08T16:45:50.553Z,24,22,34,140,21,,,,,,,,,,
2020-08-08T19:27:22.153Z,24,22,34,141,21,,,,,,,,,,
2020-08-09T04:06:23.703Z,24,22,34,141,21,,,,,,,,,,
2020-08-09T07:14:20.263Z,24,22,34,141,21,,,,,,,,,,
2020-08-09T16:06:33.187Z,24,22,34,144,21,,,,,,,,,,
2020-08-09T19:26:37.877Z,24,22,34,151,21,,,,,,,,,,
2020-08-10T07:20:10.150Z,25,23,36,158,22,,,,,,,,,,
2020-08-10T15:48:14.683Z,25,23,36,175,22,,,,,,,,,,
2020-08-10T19:33:40.523Z,25,23,36,180,22,,,,,,,,,,
2020-08-11T03:33:09.120Z,26,24,38,165,20,,,,,,,,,,
2020-08-11T07:23:01.417Z,26,24,38,165,20,,,,,,,,,,
2020-08-11T16:01:33.767Z,27,25,39,202,21,,,,,,,,,,
2020-08-11T19:11:26.837Z,31,29,45,251,25,,,,,,,,,,
2020-08-12T03:47:07.760Z,33,31,49,232,27,,,,,,,,,,
2020-08-12T07:25:05.527Z,34,32,50,273,28,,,,,,,,,,
2020-08-12T15:17:58.400Z,49,47,74,460,43,,,,,,,,,,
2020-08-12T19:11:10.037Z,51,49,77,477,45,,,,,,,,,,
2020-08-13T03:25:43.083Z,51,49,77,457,43,,,,,,,,,,
2020-08-13T07:09:54.410Z,51,49,77,461,43,,,,,,,,,,
2020-08-13T16:00:11.437Z,51,49,77,473,43,,,,,,,,,,
2020-08-13T19:08:43.847Z,51,49,77,475,43,,,,,,,,,,
2020-08-14T04:07:12.977Z,51,49,77,431,27,,,,,,,,,,
2020-08-14T07:09:23.630Z,51,49,77,440,27,,,,,,,,,,
2020-08-14T14:40:20.690Z,54,52,82,468,30,,,,,,,,,,
2020-08-15T17:25:39.157Z,56,54,85,480,32,,,,,,,,,,
2020-08-15T19:20:16.850Z,56,54,85,480,32,,,,,,,,,,
2020-08-16T03:40:33.850Z,56,54,85,472,32,,,,,,,,,,
2020-08-16T07:05:21.820Z,56,54,85,476,32,,,,,,,,,,
2020-08-16T15:53:14.997Z,57,54,85,492,33,,,,,,,,,,
2020-08-17T07:41:16.500Z,59,56,88,487,33,,,,,,,,,,
2020-08-17T15:51:53.560Z,60,57,89,507,34,,,,,,,,,,
2020-08-17T19:45:07.133Z,62,59,93,529,36,,,,,,,,,,
2020-08-18T03:43:43.340Z,62,57,89,444,31,,,,,,,,,,
2020-08-18T07:12:06.963Z,64,59,93,469,33,,,,,,,,,,
2020-08-18T16:09:29.920Z,64,57,89,482,34,,,,,,,,,,
2020-08-18T18:55:23.410Z,64,57,89,489,34,,,,,,,,,,
2020-08-19T04:45:32.057Z,65,57,89,240,11-14,,,,,,,,,,
2020-08-19T07:38:12.840Z,65,57,89,247,11-14,,,,,,,,,,
2020-08-19T17:09:53.377Z,69,60,94,272,18,,,,,,,,,,
2020-08-19T19:17:48.483Z,69,60,94,274,18,,,,,,,,,,
2020-08-20T04:10:29.010Z,70,61,96,250,19,,,,,,,,,,
2020-08-20T07:18:04.130Z,70,61,96,252,19,,,,,,,,,,
2020-08-20T15:31:52.293Z,71,61,96,270,20,,,,,,,,,,
2020-08-20T20:06:10.983Z,71,61,96,273,20,,,,,,,,,,
2020-08-21T14:16:16.233Z,72,60,94,257,17,,,,,,,,,,
2020-08-22T16:59:01.583Z,72,60,94,261,16,,,,,,,,,,
2020-08-22T19:30:43.107Z,72,60,94,261,16,,,,,,,,,,
2020-08-23T03:21:42.033Z,72,54,85,239,15,,,,,,,,,,
2020-08-23T07:36:27.623Z,72,54,85,240,15,,,,,,,,,,
2020-08-23T16:06:03.420Z,72,53,83,241,15,,,,,,,,,,
2020-08-23T19:24:52.200Z,73,54,85,243,16,,,,,,,,,,
2020-08-24T03:42:44.113Z,73,53,83,175,11-14,,,,,,,,,,
