Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,712,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,713,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,716,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,722,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,16,<15,,750,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,16,<15,,753,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,16,<15,,758,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,17,<15,,765,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,16,<15,,774,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,16,<15,,778,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,16,<15,,779,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,16,<15,,792,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,17,<15,,805,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,16,<15,,803,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,16,<15,,807,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,16,<15,,810,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,18,<15,,821,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,17,<15,,822,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,17,<15,,827,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,17,<15,,827,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,17,<15,,100,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,17,<15,,89,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,18,<15,,103,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,18,<15,,105,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,18,<15,,113,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,17,<15,,122,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,18,<15,,132,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,18,<15,,116,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,18,<15,,123,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,19,15,,178,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,19,15,,170,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,19,15,,172,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,19,15,,175,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,19,15,,162,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,20,16,,163,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,20,16,,165,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,21,17,,151,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,21,17,,154,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,21,16,,154,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,23,17,,141,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,23,17,,146,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,23,17,,151,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,23,17,,121,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,23,17,,126,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,23,17,,126,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,23,17,,83,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,23,17,,86,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,23,17,,69,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,23,17,,70,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,23,17,,71,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,23,17,,73,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,23,17,,73,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,23,17,,66,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,23,17,,68,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,23,17,,68,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,23,16,,64,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,16,,64,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,23,16,16,64,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,16,0,64,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,23,16,16,71,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,23,16,16,73,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,23,16,16,58,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,23,16,16,60,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,24,17,17,62,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,24,17,17,65,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,24,16,16,57,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,24,16,16,57,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,25,<15,12,65,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,25,<15,12,66,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,25,<15,12,57,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,25,<15,12,60,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,25,<15,12,62,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,25,<15,12,63,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,25,<15,12,63,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,25,<15,12,58,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,25,<15,12,58,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,25,<15,12,60,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,25,<15,12,67,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,25,<15,12,60,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,26,<15,13,62,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,27,<15,14,65,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,27,<15,14,71,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,27,<15,14,63,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,27,<15,14,63,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,28,15,15,71,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,28,15,15,71,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,28,15,15,62,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,28,15,15,62,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,28,15,15,73,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,28,15,15,76,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,28,<15,13,65,1-5,,,,,,,,,,
