Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-07T05:00:26.417Z,<15,<15,,235,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,235,<15,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,1,27,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,1,27,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,1,23,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,1,24,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,1,31,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,1,31,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,1,44,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,1,45,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,1,46,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,<15,<15,1,48,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,<15,<15,1,43,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,<15,<15,1,45,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,<15,<15,1,48,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,<15,<15,1,50,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,<15,<15,1,52,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,<15,<15,1,54,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,<15,<15,1,55,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,<15,<15,1,52,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,<15,<15,1,55,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,<15,<15,1,55,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,<15,<15,1,56,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,<15,<15,1,56,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,<15,<15,1,59,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,<15,<15,1,64,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,<15,<15,1,54,0,,,,,,,,,,
2020-08-12T07:25:05.527Z,<15,<15,1,57,0,,,,,,,,,,
2020-08-12T15:17:58.400Z,<15,<15,1,58,0,,,,,,,,,,
2020-08-12T19:11:10.037Z,<15,<15,1,60,0,,,,,,,,,,
2020-08-13T03:25:43.083Z,<15,<15,1,50,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,<15,<15,1,50,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,<15,<15,1,52,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,<15,<15,1,53,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,<15,<15,1,50,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,<15,<15,1,51,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,<15,<15,1,54,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,<15,<15,1,54,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,<15,<15,1,53,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,<15,<15,1,51,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,<15,<15,1,51,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,<15,<15,1,52,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,<15,<15,2,43,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,<15,<15,2,44,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,<15,<15,2,46,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,<15,<15,2,47,1-5,,,,,,,,,,
