Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,263,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,265,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,269,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,269,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,270,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,271,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,272,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,275,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,275,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,281,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,282,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,282,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,289,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,<15,<15,,311,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,312,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,39,0,,,,,,,,,,
2020-07-16T15:42:35.290Z,<15,<15,,44,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,12,36,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,36,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,16,41,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,16,42,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,16,33,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,16,35,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,15,<15,19,41,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,15,<15,19,42,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,15,<15,19,38,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,15,<15,19,38,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,15,<15,16,41,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,15,<15,16,43,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,15,<15,16,38,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,16,<15,19,40,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,16,<15,19,43,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,16,<15,16,43,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,16,<15,16,43,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,16,<15,16,40,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,16,<15,16,40,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,16,<15,16,42,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,16,<15,16,42,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,16,<15,16,35,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,16,<15,16,38,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,16,<15,16,40,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,16,<15,16,41,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,17,<15,19,41,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,17,<15,19,41,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,17,<15,19,43,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,17,<15,19,44,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,17,<15,19,36,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,17,<15,19,36,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,17,<15,19,38,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,17,<15,19,40,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,17,<15,16,33,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,17,<15,16,35,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,17,<15,16,37,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,17,<15,16,37,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,17,<15,16,37,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,17,<15,16,37,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,17,<15,16,38,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,17,<15,16,39,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,17,<15,16,39,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,17,<15,16,36,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,17,<15,16,36,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,17,<15,16,37,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,17,<15,16,39,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,17,<15,16,32,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,17,<15,16,34,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,17,<15,16,36,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,17,<15,12,31,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,17,<15,12,31,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,17,<15,12,32,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,17,<15,12,33,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,17,<15,12,30,0,,,,,,,,,,
2020-08-12T07:25:05.527Z,17,<15,12,31,0,,,,,,,,,,
2020-08-12T15:17:58.400Z,17,<15,12,34,0,,,,,,,,,,
2020-08-12T19:11:10.037Z,17,<15,12,34,0,,,,,,,,,,
2020-08-13T03:25:43.083Z,17,<15,9,27,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,17,<15,9,27,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,17,<15,9,32,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,17,<15,9,33,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,17,<15,9,29,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,17,<15,9,29,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,17,<15,9,31,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,17,<15,9,32,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,17,<15,9,32,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,17,<15,6,28,0,,,,,,,,,,
2020-08-16T07:05:21.820Z,17,<15,6,28,0,,,,,,,,,,
