Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,<15,,,,,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,250,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,252,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,252,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,252,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,258,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,261,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,269,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,271,0,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,271,0,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,278,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,<15,<15,,279,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,281,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,<15,<15,,26,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,<15,<15,,25,0,,,,,,,,,,
2020-07-27T16:04:20.010Z,15,<15,,43,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,15,<15,,47,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,15,<15,,47,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,,48,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,15,<15,47,48,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,0,48,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,18,15,59,62,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,22,19,75,69,15,,,,,,,,,,
2020-07-29T04:22:45.457Z,24,21,83,68,17,,,,,,,,,,
2020-07-29T07:43:55.003Z,24,21,83,70,17,,,,,,,,,,
2020-07-29T15:54:50.897Z,24,21,83,72,17,,,,,,,,,,
2020-07-29T19:47:41.590Z,24,21,83,74,17,,,,,,,,,,
2020-07-30T03:34:45.407Z,24,21,83,66,17,,,,,,,,,,
2020-07-30T07:55:24.147Z,24,21,83,69,17,,,,,,,,,,
2020-07-30T15:43:54.137Z,24,21,83,69,17,,,,,,,,,,
2020-07-30T19:25:51.573Z,24,21,83,69,17,,,,,,,,,,
2020-07-31T03:50:21.007Z,25,22,87,69,17,,,,,,,,,,
2020-07-31T07:43:12.217Z,25,22,87,69,17,,,,,,,,,,
2020-07-31T14:53:21.500Z,25,22,87,70,17,,,,,,,,,,
2020-08-01T16:50:00.920Z,25,22,87,68,16,,,,,,,,,,
2020-08-01T19:55:08.933Z,25,22,87,68,16,,,,,,,,,,
2020-08-02T03:33:43.373Z,25,22,87,61,15,,,,,,,,,,
2020-08-02T07:36:18.830Z,25,22,87,61,15,,,,,,,,,,
2020-08-02T14:56:26.230Z,25,22,87,61,15,,,,,,,,,,
2020-08-02T19:40:45.250Z,25,22,87,63,15,,,,,,,,,,
2020-08-03T04:12:58.747Z,25,22,87,47,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,25,22,87,47,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,25,22,87,48,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,25,22,87,48,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,25,19,75,25,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,25,19,75,25,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,25,19,75,27,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,26,20,79,28,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,26,18,71,21,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,26,18,71,21,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,26,18,71,22,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,26,18,71,22,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,26,16,63,18,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,26,16,63,18,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,26,16,63,18,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,26,16,63,18,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,26,16,63,9,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,26,16,63,9,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,26,16,63,9,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,26,<15,47,9,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,26,<15,47,9,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,26,<15,47,7,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,26,<15,47,7,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,26,<15,47,7,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,26,<15,47,7,1-5,,,,,,,,,,
